ep,cp,avg_sharpe,avg_ret_pct,avg_max_dd_pct,total_trades,pass_count,total_windows
15,5,5.8416,591.7547,57.09,63,2,2
15,6,6.7337,810.1499,52.76,63,2,2
15,7,5.7351,537.1138,51.89,65,2,2
15,8,5.4569,461.1088,54.21,65,2,2
15,9,5.4607,497.4400,52.71,65,2,2
15,10,5.4087,476.6287,56.06,65,2,2
15,11,5.3909,539.8117,48.99,66,2,2
15,12,5.2589,749.9323,48.99,67,2,2
15,13,4.8100,973.3174,47.92,67,1,2
15,14,4.9881,691.6980,45.52,68,2,2
15,15,5.8147,876.4740,45.52,66,2,2
15,16,4.7869,1128.7229,47.95,67,1,2
15,17,4.2432,700.8997,47.95,69,1,2
15,18,4.9798,764.7282,44.17,68,2,2
15,19,4.9482,779.1420,43.38,68,2,2
15,20,5.2399,745.8298,45.61,69,2,2
16,5,5.5644,416.8712,57.09,61,2,2
16,6,6.5353,594.4818,52.76,61,2,2
16,7,5.9432,664.5606,51.89,63,2,2
16,8,5.7251,573.3719,54.21,63,2,2
16,9,5.7203,620.5421,52.71,63,2,2
16,10,5.6697,593.8108,56.06,63,2,2
16,11,5.6300,671.4233,48.99,64,2,2
16,12,5.0362,519.9561,48.99,65,2,2
16,13,4.5646,661.8720,47.92,65,1,2
16,14,4.7235,472.8047,45.52,66,2,2
16,15,5.4529,605.1291,45.52,64,2,2
16,16,4.5404,770.9945,47.95,65,2,2
16,17,4.0050,473.9922,47.95,67,2,2
16,18,4.7529,534.9989,43.14,66,2,2
16,19,4.7076,541.3509,42.34,66,2,2
16,20,4.9222,513.4013,44.50,67,2,2
17,5,6.1945,540.2427,57.09,60,2,2
17,6,7.2115,750.5619,52.76,60,2,2
17,7,6.5675,877.9707,51.89,62,2,2
17,8,6.2582,738.6936,54.21,62,2,2
17,9,6.3081,805.1328,52.71,62,2,2
17,10,6.2266,768.0566,56.06,62,2,2
17,11,6.2406,868.5752,48.99,63,2,2
17,12,6.2615,1035.3811,43.94,63,2,2
17,13,5.2142,877.1037,47.92,64,1,2
17,14,5.4964,650.3443,45.52,65,2,2
17,15,5.8498,763.9095,45.52,64,2,2
17,16,4.8051,978.2497,47.95,65,2,2
17,17,4.3294,648.1463,47.95,67,2,2
17,18,5.0789,713.8286,43.14,66,2,2
17,19,5.0480,725.7139,42.34,66,2,2
17,20,5.3565,692.9783,44.50,67,2,2
18,5,5.3464,350.7171,58.34,60,2,2
18,6,6.2758,522.6842,54.01,59,2,2
18,7,6.0338,823.9659,53.18,61,2,2
18,8,5.7884,672.8188,55.35,61,2,2
18,9,5.7895,754.8348,53.99,61,2,2
18,10,5.7444,698.6259,57.20,61,2,2
18,11,5.7137,790.0173,50.26,62,2,2
18,12,5.6510,969.0869,45.47,62,2,2
18,13,4.6445,818.4565,49.37,63,1,2
18,14,4.8445,607.1390,46.97,64,2,2
18,15,5.1370,714.2607,46.97,63,2,2
18,16,4.4610,883.4809,49.36,64,2,2
18,17,4.0414,583.8194,49.36,66,2,2
18,18,4.8412,678.4162,43.30,65,2,2
18,19,4.7855,689.2058,42.51,65,2,2
18,20,4.8993,657.4179,44.67,66,2,2
19,5,5.0899,334.6333,58.48,60,2,2
19,6,6.0192,486.3705,54.17,59,2,2
19,7,5.7618,820.2121,53.35,61,2,2
