step,ep_10,ep_21,ep_30,ep_35,ep_44
0,1.000000,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.074788,1.074788,1.074788,1.074788,1.074788
3,1.074788,1.074788,1.074788,1.074788,1.074788
4,1.074788,1.074788,1.074788,1.074788,1.074788
5,1.074788,1.074788,1.074788,1.074788,1.074788
6,1.074788,1.074788,1.074788,1.074788,1.074788
7,1.074788,1.074788,1.074788,1.074788,1.074788
8,1.074788,1.074788,1.074788,1.074788,1.074788
9,1.074788,1.074788,1.074788,1.074788,1.074788
10,1.074788,1.074788,1.074788,1.074788,1.074788
11,0.993429,0.993429,0.993429,1.074788,1.074788
12,0.993429,0.993429,0.993429,1.074788,1.074788
13,0.882062,0.993429,0.993429,1.074788,1.074788
14,0.882062,0.993429,0.993429,1.074788,1.074788
15,0.882062,0.993429,0.993429,1.074788,1.074788
16,0.882062,0.993429,0.993429,1.074788,1.074788
17,0.882062,0.993429,0.993429,1.074788,1.074788
18,0.882062,0.993429,0.993429,1.074788,1.074788
19,0.882062,0.993429,0.993429,1.074788,1.074788
20,0.882062,0.993429,0.993429,1.074788,1.074788
21,1.197098,0.993429,0.993429,1.074788,1.074788
22,1.197098,0.993429,0.993429,1.074788,1.074788
23,1.004409,0.993429,0.993429,1.074788,1.074788
24,0.825610,0.993429,0.993429,1.074788,1.074788
25,0.825610,0.993429,0.993429,1.074788,1.074788
26,0.825610,0.993429,0.993429,1.074788,1.074788
27,1.850034,0.993429,0.993429,1.074788,1.074788
28,2.756605,0.993429,0.993429,1.074788,1.074788
29,4.339705,0.993429,0.993429,1.074788,1.074788
30,5.548867,0.993429,0.993429,1.074788,1.074788
31,5.548867,0.993429,0.993429,1.074788,1.074788
32,5.562636,0.993429,0.993429,1.074788,1.074788
33,5.387143,0.993429,0.993429,1.074788,1.074788
34,5.387143,0.993429,0.993429,1.074788,1.074788
35,7.092935,0.993429,0.993429,1.074788,1.074788
36,6.696486,0.993429,0.993429,1.074788,1.074788
37,6.696486,0.993429,0.993429,1.074788,1.074788
38,6.696486,0.993429,0.993429,1.074788,1.074788
39,6.696486,0.993429,0.993429,1.074788,1.074788
40,6.696486,0.993429,0.993429,1.074788,1.074788
41,6.696486,0.982419,0.982419,1.074788,1.074788
42,5.723819,0.982419,0.982419,1.074788,1.074788
43,5.097858,0.982419,0.982419,1.074788,1.074788
44,5.097858,0.982419,0.982419,1.074788,1.074788
45,5.097858,0.982419,0.982419,1.074788,1.074788
46,5.097858,0.982419,0.982419,1.074788,1.074788
47,5.097858,0.982419,0.982419,1.074788,1.074788
48,4.758987,0.982419,0.982419,1.074788,1.074788
49,5.307088,0.807534,0.807534,1.074788,1.074788
50,5.307088,0.807534,0.807534,1.074788,1.074788
51,5.307088,0.807534,0.807534,1.074788,1.074788
52,5.307088,0.807534,0.807534,1.074788,1.074788
53,5.307088,0.807534,0.807534,1.074788,1.074788
