window,bar_idx,equity
0,0,1.00000000
0,1,1.00000000
0,2,1.00000000
0,3,1.00000000
0,4,1.00000000
0,5,1.00000000
0,6,1.00000000
0,7,1.00000000
0,8,1.00000000
0,9,1.00000000
0,10,1.00000000
0,11,1.00000000
0,12,1.00000000
0,13,1.00000000
0,14,1.00000000
0,15,1.00000000
0,16,1.00000000
0,17,1.00000000
0,18,1.00000000
0,19,1.00000000
0,20,1.00000000
0,21,1.00000000
0,22,1.00000000
0,23,1.00000000
0,24,1.00000000
0,25,1.00000000
0,26,1.00000000
0,27,1.21762545
0,28,1.18687471
0,29,2.21094158
0,30,2.21094158
0,31,2.27742579
0,32,2.35132876
0,33,2.35132876
0,34,2.35132876
0,35,2.35132876
0,36,2.27887235
0,37,3.09927198
0,38,3.09927198
0,39,3.09927198
0,40,3.09927198
0,41,3.09927198
0,42,3.09927198
0,43,3.09927198
0,44,3.09927198
0,45,3.09927198
0,46,2.86572643
0,47,2.86572643
0,48,2.86572643
0,49,2.86572643
0,50,2.86572643
0,51,2.86572643
0,52,2.91100883
0,53,2.91100883
0,54,2.91100883
0,55,2.91100883
0,56,2.91100883
0,57,2.91100883
0,58,2.33460823
0,59,2.33460823
0,60,2.33460823
0,61,2.33460823
0,62,2.33460823
0,63,2.33460823
0,64,2.33460823
0,65,2.33460823
0,66,2.33460823
0,67,2.33460823
0,68,2.33460823
0,69,2.33460823
0,70,2.33460823
0,71,2.33460823
0,72,2.33460823
0,73,2.33460823
0,74,2.33460823
0,75,2.33460823
0,76,2.33460823
0,77,2.33460823
0,78,2.22491126
0,79,2.22491126
0,80,2.22491126
0,81,2.22491126
0,82,2.22491126
0,83,2.22491126
0,84,2.22491126
0,85,2.22491126
0,86,2.22491126
0,87,2.22491126
0,88,2.22491126
0,89,2.22491126
0,90,2.22491126
0,91,2.22491126
0,92,2.22491126
0,93,2.22491126
0,94,2.22491126
0,95,2.22491126
0,96,2.22491126
0,97,2.22491126
0,98,2.22491126
0,99,2.22491126
0,100,2.22491126
0,101,2.22491126
0,102,2.22491126
0,103,2.22491126
0,104,2.22491126
0,105,2.22491126
0,106,2.22491126
0,107,2.03792322
1,0,1.00000000
1,1,0.83397094
1,2,0.83397094
1,3,0.74319840
1,4,0.74319840
1,5,0.74319840
1,6,0.74319840
1,7,0.74319840
1,8,0.74319840
1,9,0.74319840
1,10,0.74319840
1,11,0.74319840
1,12,0.78980521
1,13,0.78980521
1,14,0.78980521
1,15,0.78980521
1,16,0.78980521
1,17,0.78980521
1,18,0.78980521
1,19,0.78980521
1,20,0.78980521
1,21,0.78980521
1,22,0.78980521
1,23,0.78980521
1,24,0.84649139
1,25,0.84649139
1,26,0.84649139
1,27,0.84649139
1,28,0.84649139
1,29,0.84649139
1,30,0.84649139
1,31,0.84649139
1,32,0.84649139
1,33,0.84649139
1,34,0.84649139
1,35,0.84649139
1,36,0.84649139
1,37,0.84649139
1,38,0.84649139
1,39,0.84649139
1,40,0.84649139
1,41,0.84649139
1,42,0.84649139
1,43,0.84649139
1,44,0.84649139
1,45,0.84649139
1,46,0.84649139
1,47,0.84649139
1,48,0.84649139
1,49,0.84649139
1,50,0.84649139
1,51,0.84649139
1,52,0.84649139
1,53,0.84649139
1,54,0.84649139
1,55,0.84649139
1,56,0.84649139
1,57,0.84649139
1,58,0.84649139
1,59,0.94756343
1,60,0.94756343
1,61,0.94756343
1,62,0.92024661
1,63,0.97121429
1,64,0.97121429
1,65,0.97121429
1,66,0.97121429
1,67,0.97121429
1,68,0.97121429
1,69,0.97121429
1,70,0.97121429
1,71,0.97121429
1,72,0.97121429
1,73,0.97121429
1,74,0.97121429
1,75,0.97121429
1,76,0.97121429
1,77,0.97121429
1,78,0.97121429
1,79,0.97121429
1,80,0.97121429
1,81,0.97121429
1,82,0.97121429
1,83,0.97121429
1,84,0.97121429
1,85,0.97121429
1,86,0.97121429
1,87,0.97121429
1,88,0.97121429
1,89,0.97121429
1,90,0.97121429
1,91,0.97121429
1,92,0.87743320
1,93,0.87743320
1,94,0.86061116
1,95,0.94769265
1,96,0.94769265
1,97,1.04920000
1,98,1.04920000
1,99,1.04920000
1,100,1.04920000
1,101,1.04920000
1,102,1.04920000
1,103,1.04920000
1,104,1.04920000
1,105,1.04920000
1,106,1.04920000
1,107,1.04920000
2,0,1.00000000
2,1,1.00000000
2,2,1.08606537
2,3,1.08606537
2,4,1.08606537
2,5,1.08606537
2,6,1.08606537
2,7,1.08606537
2,8,1.08606537
2,9,1.08606537
2,10,1.08606537
2,11,1.08606537
2,12,1.08606537
2,13,1.08606537
2,14,1.08606537
2,15,1.08606537
2,16,1.08606537
2,17,1.08606537
2,18,1.08606537
2,19,1.08606537
2,20,1.08606537
2,21,1.08606537
2,22,1.08606537
2,23,1.08606537
2,24,1.08606537
2,25,1.08606537
2,26,1.08606537
2,27,1.08606537
2,28,1.08606537
2,29,1.08606537
2,30,1.07792619
2,31,1.26495178
2,32,1.32930719
2,33,1.32930719
2,34,1.32930719
2,35,1.32930719
2,36,1.32930719
2,37,1.32930719
2,38,1.32930719
2,39,1.32930719
2,40,1.05940123
2,41,1.05940123
2,42,1.05940123
2,43,1.05940123
2,44,1.05940123
2,45,1.05940123
2,46,1.05940123
2,47,1.05940123
2,48,1.05940123
2,49,1.05940123
2,50,1.05940123
2,51,1.05940123
2,52,1.05940123
2,53,1.05940123
2,54,1.05940123
2,55,1.05940123
2,56,1.05940123
2,57,1.05940123
2,58,1.05940123
2,59,1.05940123
2,60,1.05940123
2,61,1.05940123
2,62,1.05940123
2,63,1.05940123
2,64,1.05940123
2,65,1.05940123
2,66,1.05940123
2,67,1.05940123
2,68,1.05940123
2,69,1.05940123
2,70,1.05940123
2,71,1.05940123
2,72,1.20987302
2,73,1.43475065
2,74,1.43475065
2,75,1.43475065
2,76,1.43475065
2,77,1.43475065
2,78,1.65486695
2,79,1.52237548
2,80,2.18467571
2,81,2.18467571
2,82,2.18467571
2,83,3.09070101
2,84,2.56856079
2,85,2.30084075
3,0,1.00000000
3,1,1.04791720
3,2,0.99477530
3,3,0.99477530
3,4,0.99477530
3,5,0.99477530
3,6,0.99477530
3,7,0.99477530
3,8,0.99477530
3,9,0.99477530
3,10,0.99477530
3,11,0.92759145
3,12,0.92759145
3,13,0.92759145
3,14,0.92759145
3,15,0.92759145
3,16,0.92759145
3,17,0.92759145
3,18,0.92759145
3,19,1.34285906
3,20,1.46502258
3,21,1.85875662
3,22,1.85875662
3,23,1.85875662
3,24,1.85875662
3,25,1.85875662
3,26,1.85875662
3,27,1.85875662
3,28,1.85875662
3,29,1.85875662
3,30,1.85875662
3,31,1.85875662
3,32,1.85875662
3,33,1.85875662
3,34,1.85875662
3,35,1.85875662
3,36,1.85875662
3,37,1.85875662
3,38,1.85875662
3,39,1.85875662
3,40,1.85875662
3,41,1.85875662
3,42,1.85875662
3,43,1.85875662
3,44,1.85875662
3,45,1.85875662
3,46,1.85875662
3,47,1.85875662
3,48,1.85875662
3,49,1.85875662
3,50,1.85875662
3,51,1.85875662
3,52,1.85875662
3,53,1.85875662
3,54,1.58875890
3,55,1.58875890
3,56,1.58875890
3,57,1.17289458
3,58,1.17289458
3,59,1.17289458
3,60,1.17289458
3,61,1.17289458
3,62,1.17289458
3,63,1.17289458
3,64,1.17289458
3,65,1.17289458
3,66,1.17289458
3,67,1.17289458
3,68,1.17289458
3,69,1.47464480
3,70,1.47464480
3,71,1.50777707
3,72,1.57372655
3,73,1.40887883
3,74,1.40887883
3,75,1.35270785
3,76,1.62639141
4,0,1.00000000
4,1,1.14299561
4,2,1.14299561
4,3,1.23193649
4,4,1.23193649
4,5,1.23193649
4,6,1.23193649
4,7,1.23193649
4,8,1.23193649
4,9,1.23193649
4,10,1.23193649
4,11,1.23193649
4,12,1.23193649
4,13,1.23193649
4,14,1.23193649
4,15,1.23193649
4,16,1.23193649
4,17,1.07439132
4,18,1.07439132
4,19,1.07439132
4,20,1.07439132
4,21,1.07439132
4,22,1.07439132
4,23,1.07439132
4,24,1.07439132
4,25,1.07439132
4,26,1.07439132
4,27,1.07439132
4,28,1.07439132
