window,bar_idx,equity
0,0,1.00000000
0,1,1.00000000
0,2,1.00000000
0,3,1.00000000
0,4,1.00000000
0,5,1.00000000
0,6,1.00000000
0,7,1.00000000
0,8,1.00000000
0,9,0.92626629
0,10,0.92626629
0,11,0.92626629
0,12,0.92626629
0,13,0.92626629
0,14,0.92626629
0,15,0.92626629
0,16,0.92626629
0,17,0.92626629
0,18,1.12536944
0,19,1.12536944
0,20,1.05415054
0,21,1.05415054
0,22,1.05415054
0,23,1.05415054
0,24,1.15014541
0,25,1.15014541
0,26,1.15014541
0,27,1.15014541
0,28,1.15014541
0,29,1.41085648
0,30,1.41085648
0,31,1.41085648
0,32,1.41085648
0,33,1.41085648
0,34,1.41085648
0,35,1.40739432
0,36,1.40739432
0,37,1.91405972
0,38,1.91405972
0,39,2.10019620
0,40,2.10019620
0,41,2.10019620
0,42,2.10019620
0,43,2.10019620
0,44,2.10019620
0,45,2.10019620
0,46,2.10019620
0,47,2.10019620
0,48,2.10019620
0,49,2.10019620
0,50,2.10019620
0,51,2.10019620
0,52,2.13338218
0,53,2.13338218
0,54,2.13338218
0,55,2.13338218
0,56,2.13338218
0,57,2.13338218
0,58,2.13338218
0,59,2.13338218
0,60,2.13338218
0,61,2.13338218
0,62,2.13338218
0,63,2.13338218
0,64,2.13338218
0,65,2.13338218
0,66,2.13338218
0,67,2.13338218
0,68,2.13338218
0,69,2.13338218
0,70,2.13338218
0,71,2.13338218
0,72,2.13338218
0,73,2.13338218
0,74,2.13338218
0,75,2.13338218
0,76,2.13338218
0,77,2.13338218
0,78,2.13338218
0,79,2.13338218
0,80,2.13338218
0,81,2.13338218
0,82,2.13338218
0,83,2.13338218
0,84,2.13338218
0,85,2.13338218
0,86,2.13338218
0,87,2.13338218
0,88,2.13338218
0,89,2.13338218
0,90,2.13338218
0,91,2.13338218
0,92,1.93862970
0,93,1.93862970
0,94,1.93862970
0,95,1.93862970
0,96,1.93862970
0,97,1.93862970
0,98,1.93862970
0,99,1.93862970
0,100,1.93862970
0,101,1.93862970
0,102,1.93862970
0,103,1.93862970
0,104,1.93862970
0,105,1.93862970
0,106,1.93862970
0,107,1.93862970
0,108,1.93862970
0,109,1.93862970
0,110,1.93862970
0,111,1.93862970
0,112,1.93862970
0,113,1.93862970
0,114,1.93862970
0,115,1.93862970
0,116,1.93862970
0,117,1.93862970
0,118,1.93862970
0,119,1.93862970
0,120,1.93862970
1,0,1.00000000
1,1,1.00000000
1,2,1.00000000
1,3,1.00000000
1,4,1.00000000
1,5,1.00000000
1,6,1.00000000
1,7,1.00000000
1,8,1.00000000
1,9,1.00000000
1,10,1.00000000
1,11,1.00000000
1,12,1.00000000
1,13,1.00000000
1,14,1.00000000
1,15,1.08730526
1,16,1.08730526
1,17,1.08730526
1,18,1.08730526
1,19,1.08730526
1,20,1.33789377
1,21,0.88033352
1,22,0.88033352
1,23,0.88033352
1,24,0.94351714
1,25,0.94351714
1,26,0.94351714
1,27,0.94351714
1,28,0.94351714
1,29,0.94351714
1,30,0.94351714
1,31,0.94351714
1,32,0.94351714
1,33,0.94351714
1,34,0.94351714
1,35,0.94351714
1,36,0.94351714
1,37,0.94351714
1,38,0.94351714
1,39,0.94351714
1,40,0.94351714
1,41,0.94351714
1,42,0.94351714
1,43,0.94351714
1,44,0.94351714
1,45,0.94351714
1,46,0.94351714
1,47,0.94351714
1,48,0.94351714
1,49,0.94351714
1,50,0.94351714
1,51,0.94351714
1,52,0.94351714
1,53,0.94351714
1,54,0.94351714
1,55,0.94351714
1,56,0.94351714
1,57,0.94351714
1,58,0.94351714
1,59,1.05617415
1,60,1.05617415
1,61,1.07404368
1,62,1.07404368
1,63,1.13352938
1,64,1.13352938
1,65,1.13352938
1,66,1.13352938
1,67,1.13352938
1,68,1.13352938
1,69,1.13352938
1,70,1.13352938
1,71,1.13352938
1,72,1.13352938
1,73,1.13352938
1,74,1.13352938
1,75,1.13352938
1,76,1.13352938
1,77,1.13352938
1,78,1.13352938
1,79,1.13352938
1,80,1.13352938
1,81,1.13352938
1,82,1.13352938
1,83,1.13352938
1,84,1.13352938
1,85,1.13352938
1,86,1.13352938
1,87,1.13352938
1,88,1.13352938
1,89,1.13352938
1,90,1.13352938
1,91,1.13352938
1,92,1.13352938
1,93,1.13352938
1,94,1.13352938
1,95,1.13352938
1,96,1.13352938
1,97,1.13352938
1,98,1.13352938
1,99,1.13352938
1,100,1.13352938
1,101,1.13352938
1,102,1.13352938
1,103,1.13352938
1,104,1.13352938
1,105,1.13352938
1,106,1.13352938
1,107,1.11179749
1,108,1.11179749
1,109,1.11179749
1,110,1.11179749
1,111,1.11179749
1,112,1.11179749
1,113,1.11179749
1,114,1.11179749
1,115,1.35581888
1,116,1.28875377
1,117,1.28875377
1,118,1.28875377
1,119,1.28875377
1,120,1.28875377
2,0,1.00000000
2,1,1.00000000
2,2,1.08606537
2,3,1.08606537
2,4,1.08606537
2,5,1.08606537
2,6,1.08606537
2,7,1.08606537
2,8,1.08606537
2,9,1.08606537
2,10,1.08606537
2,11,1.08606537
2,12,1.08606537
2,13,1.08606537
2,14,1.08606537
2,15,1.08606537
2,16,1.08606537
2,17,1.08606537
2,18,1.08606537
2,19,1.08606537
2,20,1.08606537
2,21,1.08606537
2,22,1.08606537
2,23,1.08606537
2,24,1.08606537
2,25,1.08606537
2,26,1.08606537
2,27,1.08606537
2,28,1.08606537
2,29,1.08606537
2,30,1.08606537
2,31,1.08606537
2,32,1.08606537
2,33,1.08606537
2,34,1.08606537
2,35,1.08606537
2,36,1.08606537
2,37,1.08606537
2,38,1.08606537
2,39,1.08606537
2,40,1.08606537
2,41,1.08606537
2,42,1.08606537
2,43,1.08606537
2,44,1.08606537
2,45,1.32561659
2,46,1.32561659
2,47,1.32561659
2,48,1.32561659
2,49,1.32561659
2,50,1.30470128
2,51,1.30470128
2,52,1.30470128
2,53,1.30470128
2,54,2.62740042
2,55,2.62740042
2,56,2.62740042
2,57,2.62740042
2,58,2.62740042
2,59,2.62740042
2,60,2.62740042
2,61,2.62740042
2,62,2.62740042
2,63,2.62740042
2,64,2.62740042
2,65,2.62740042
2,66,2.62740042
2,67,2.62740042
2,68,2.62740042
2,69,2.62740042
2,70,2.62740042
2,71,2.62740042
2,72,2.62740042
2,73,2.62740042
2,74,2.62740042
2,75,2.62740042
2,76,2.62740042
2,77,2.62740042
2,78,2.62740042
2,79,2.62740042
2,80,2.62740042
2,81,2.62740042
2,82,2.62740042
2,83,2.62740042
2,84,2.62740042
2,85,3.00058259
2,86,3.55829722
2,87,3.55829722
2,88,3.55829722
2,89,3.55829722
2,90,3.55829722
2,91,4.10420339
2,92,3.77561386
2,93,3.77561386
2,94,3.77561386
2,95,3.77561386
2,96,3.77561386
2,97,3.77561386
2,98,3.77561386
2,99,3.77561386
2,100,4.51821314
2,101,5.07765775
2,102,5.07765775
2,103,5.07765775
2,104,5.07765775
2,105,10.12028852
2,106,10.12028852
2,107,10.12028852
3,0,1.00000000
3,1,1.04791720
3,2,0.99477530
3,3,0.99477530
3,4,0.99477530
3,5,0.99477530
3,6,0.99477530
3,7,0.99477530
3,8,0.99477530
3,9,0.99477530
3,10,0.99477530
3,11,0.92759145
3,12,0.92759145
3,13,0.92759145
3,14,0.92759145
3,15,0.92759145
3,16,0.92759145
3,17,0.92759145
3,18,0.92759145
3,19,0.92759145
3,20,0.92759145
3,21,0.92759145
3,22,0.92759145
3,23,0.92759145
3,24,0.92759145
3,25,0.92759145
3,26,0.92759145
3,27,0.92759145
3,28,0.92759145
3,29,0.92759145
3,30,0.92759145
3,31,0.78633339
3,32,1.04891532
3,33,0.77968553
3,34,0.77968553
3,35,0.77968553
3,36,0.77968553
3,37,0.77968553
3,38,0.77968553
3,39,0.77968553
3,40,0.77968553
3,41,0.77968553
3,42,0.77968553
3,43,0.77968553
3,44,0.77968553
3,45,0.77968553
3,46,0.77968553
3,47,0.77968553
3,48,0.77968553
3,49,0.77968553
3,50,0.77968553
3,51,0.77968553
3,52,0.77968553
3,53,0.77968553
3,54,0.66643062
3,55,0.66643062
3,56,0.66643062
3,57,0.66643062
