window,bar_idx,equity
0,0,1.00000000
0,1,1.00000000
0,2,0.89807890
0,3,0.89807890
0,4,0.89807890
0,5,0.89807890
0,6,1.04562328
0,7,1.14634866
0,8,1.42515721
0,9,1.44405921
0,10,1.66615648
0,11,1.66615648
0,12,1.66615648
0,13,1.66615648
0,14,1.66615648
0,15,1.66615648
0,16,1.66615648
0,17,1.66615648
0,18,1.66615648
0,19,1.66615648
0,20,1.66615648
0,21,1.66615648
0,22,1.66615648
0,23,1.66615648
0,24,1.66615648
0,25,1.66615648
0,26,1.66615648
0,27,1.66615648
0,28,1.66615648
0,29,1.66615648
0,30,1.66615648
0,31,1.66615648
0,32,1.66615648
0,33,1.66615648
0,34,2.03313486
0,35,2.42179529
0,36,2.42179529
0,37,2.51642918
0,38,2.51642918
0,39,2.51642918
0,40,2.51642918
0,41,2.28884829
0,42,2.68056098
0,43,2.68056098
0,44,2.68056098
0,45,2.68056098
0,46,2.68056098
0,47,2.76678392
0,48,2.71831974
0,49,2.71831974
0,50,2.71831974
0,51,2.71831974
0,52,2.71831974
0,53,2.71831974
0,54,2.71831974
0,55,2.37089468
0,56,2.37089468
0,57,2.37089468
0,58,2.37089468
0,59,2.37089468
0,60,2.37089468
0,61,2.37089468
0,62,2.37089468
0,63,2.37089468
0,64,2.37089468
0,65,2.37089468
0,66,2.37089468
0,67,2.37089468
0,68,2.37089468
1,0,1.00000000
1,1,0.71351820
1,2,0.77581209
1,3,0.89636411
1,4,0.91765958
1,5,1.14316708
1,6,0.79927037
1,7,0.79927037
1,8,0.79927037
1,9,0.79927037
1,10,0.79927037
1,11,0.79927037
1,12,0.79927037
1,13,0.79927037
1,14,0.79927037
1,15,0.79927037
1,16,0.79927037
1,17,0.79927037
1,18,0.79927037
1,19,0.79927037
1,20,0.88468988
1,21,0.88468988
1,22,0.81951402
1,23,0.81951402
1,24,0.81951402
1,25,0.81951402
1,26,0.81951402
1,27,0.81951402
1,28,0.81951402
1,29,0.63480905
1,30,0.55138294
1,31,0.55138294
1,32,0.55138294
1,33,0.55138294
1,34,0.55138294
1,35,0.55138294
1,36,0.55138294
1,37,0.55138294
1,38,0.55138294
1,39,0.55138294
1,40,0.55138294
1,41,0.55138294
1,42,0.55138294
1,43,0.55138294
1,44,0.55138294
1,45,0.55138294
1,46,0.55138294
1,47,0.55138294
1,48,0.55138294
1,49,0.55138294
1,50,0.51267627
1,51,0.51267627
1,52,0.52392728
1,53,0.52392728
1,54,0.52392728
1,55,0.52392728
1,56,0.55593697
1,57,0.55593697
1,58,0.55593697
1,59,0.48197708
1,60,0.48197708
1,61,0.47521277
2,0,1.00000000
2,1,1.00000000
2,2,0.97418035
2,3,0.97418035
2,4,0.97418035
2,5,0.97418035
2,6,0.84134636
2,7,0.84134636
2,8,0.84134636
2,9,0.84134636
2,10,0.84134636
2,11,0.84134636
2,12,0.84134636
2,13,0.84134636
2,14,0.84134636
2,15,0.84134636
2,16,0.84134636
2,17,0.84134636
2,18,0.84134636
2,19,0.84134636
2,20,0.84134636
2,21,0.84134636
2,22,0.84134636
2,23,0.84134636
2,24,0.77444350
2,25,0.77444350
2,26,0.74252509
2,27,0.68284192
2,28,1.37510338
2,29,1.37510338
2,30,1.37510338
2,31,1.37510338
2,32,1.37510338
2,33,1.37510338
2,34,1.37510338
2,35,1.37510338
2,36,2.15675631
2,37,2.15675631
2,38,2.15675631
2,39,2.15675631
2,40,2.15675631
2,41,2.15675631
2,42,2.15675631
2,43,2.15675631
2,44,2.15675631
2,45,2.15675631
2,46,2.15675631
2,47,2.15675631
2,48,2.15675631
2,49,2.15675631
2,50,2.15675631
2,51,2.15675631
2,52,2.15675631
2,53,2.15675631
2,54,2.15675631
2,55,2.15675631
2,56,2.15675631
2,57,2.15675631
2,58,3.56982119
2,59,4.64920880
2,60,4.64920880
2,61,4.89733135
2,62,8.20507441
2,63,8.97314859
2,64,9.92425553
2,65,9.07905814
2,66,5.18891711
3,0,1.00000000
3,1,1.00000000
3,2,1.00000000
3,3,1.00000000
3,4,1.00000000
3,5,1.00000000
3,6,1.00000000
3,7,0.90976338
3,8,0.90976338
3,9,0.90976338
3,10,0.90976338
3,11,0.90976338
3,12,0.90976338
3,13,0.90976338
3,14,0.90976338
3,15,0.90976338
3,16,0.90976338
3,17,0.90976338
3,18,1.13345880
3,19,1.13345880
3,20,1.13345880
3,21,1.13345880
3,22,1.13345880
3,23,1.13345880
3,24,1.13345880
3,25,1.13345880
3,26,1.13345880
3,27,1.13345880
3,28,1.13345880
3,29,1.13345880
3,30,1.13345880
3,31,1.13345880
3,32,1.13345880
3,33,1.13345880
3,34,1.13345880
3,35,1.13345880
3,36,1.31735506
3,37,1.31735506
3,38,1.31735506
3,39,1.31735506
3,40,1.31735506
3,41,1.31735506
3,42,1.31735506
3,43,1.31735506
3,44,1.31735506
3,45,1.31735506
3,46,1.31735506
3,47,1.31735506
3,48,1.31735506
3,49,1.31735506
3,50,1.31735506
3,51,1.31735506
3,52,1.31735506
3,53,1.15509749
3,54,1.15509749
3,55,1.15509749
3,56,1.59512101
3,57,2.03604100
3,58,2.03604100
3,59,2.38815718
3,60,2.01702061
3,61,2.01702061
3,62,2.01702061
3,63,2.01702061
3,64,2.01702061
3,65,2.01702061
3,66,2.01702061
3,67,1.88826290
3,68,1.88826290
3,69,1.88826290
3,70,1.88826290
3,71,2.10658146
3,72,2.61039996
3,73,2.61039996
3,74,2.61039996
3,75,2.61039996
3,76,2.03824117
3,77,2.03824117
3,78,2.03824117
3,79,2.03824117
3,80,2.03824117
3,81,2.03824117
3,82,2.03824117
3,83,2.03824117
3,84,2.03824117
3,85,2.03824117
3,86,2.03824117
3,87,2.03824117
3,88,2.03824117
3,89,2.03824117
3,90,1.58092625
4,0,1.00000000
4,1,1.00000000
4,2,0.98699260
4,3,0.98699260
4,4,0.98699260
4,5,0.98699260
4,6,0.98699260
4,7,0.98699260
4,8,0.98699260
4,9,0.98699260
4,10,0.98699260
4,11,0.98699260
4,12,0.98699260
4,13,0.98699260
4,14,0.95103953
4,15,0.76013465
4,16,0.76013465
4,17,0.76013465
4,18,0.76013465
4,19,0.76013465
4,20,0.76013465
4,21,0.76013465
4,22,0.76013465
4,23,0.76013465
4,24,0.76013465
4,25,0.76013465
4,26,0.76013465
4,27,0.56699592
4,28,0.57159489
4,29,0.57159489
4,30,0.57159489
4,31,0.57159489
4,32,0.57159489
4,33,0.57159489
4,34,0.57159489
4,35,0.70911677
4,36,0.70911677
4,37,0.70911677
4,38,0.70911677
4,39,0.70911677
4,40,0.70911677
4,41,0.70911677
4,42,0.54251945
4,43,0.54251945
4,44,0.54251945
4,45,0.54251945
4,46,0.54251945
4,47,0.54251945
4,48,0.54251945
4,49,0.54251945
4,50,0.54251945
4,51,0.54251945
4,52,0.54251945
4,53,0.54251945
4,54,0.54251945
4,55,0.54251945
4,56,0.54251945
4,57,0.54251945
4,58,0.54251945
4,59,0.54251945
4,60,0.54251945
4,61,0.54251945
4,62,0.54251945
4,63,0.54251945
4,64,0.54251945
4,65,0.54251945
4,66,0.54251945
4,67,0.51901746
4,68,0.51901746
4,69,0.51901746
4,70,0.51901746
4,71,0.51901746
4,72,0.51901746
4,73,0.51901746
4,74,0.38905118
4,75,0.38905118
4,76,0.38905118
4,77,0.38905118
4,78,0.38905118
4,79,0.38905118
4,80,0.38905118
4,81,0.38905118
4,82,0.38905118
4,83,0.38905118
4,84,0.40304803
4,85,0.40304803
4,86,0.40304803
4,87,0.40304803
4,88,0.42332276
4,89,0.42332276
4,90,0.42332276
4,91,0.42332276
4,92,0.42332276
4,93,0.42332276
4,94,0.42332276
4,95,0.36097917
5,0,1.00000000
5,1,1.00000000
5,2,1.00000000
5,3,1.00000000
5,4,0.68575782
5,5,0.68575782
5,6,0.68575782
5,7,0.61716506
5,8,0.61716506
5,9,0.61716506
5,10,0.61716506
5,11,0.59825343
5,12,0.59825343
5,13,0.59825343
5,14,0.59825343
5,15,0.59825343
5,16,0.59825343
5,17,0.59825343
5,18,0.59825343
5,19,0.45026954
5,20,0.45026954
5,21,0.45026954
5,22,0.45026954
