window,bar_idx,equity
0,0,1.00000000
0,1,1.00000000
0,2,0.89807890
0,3,0.89807890
0,4,0.89807890
0,5,0.89807890
0,6,0.89807890
0,7,0.89807890
0,8,0.89807890
0,9,0.89807890
0,10,1.11271812
0,11,0.85276297
0,12,0.85276297
0,13,0.85276297
0,14,0.85276297
0,15,0.85276297
0,16,0.85276297
0,17,0.85276297
0,18,0.85276297
0,19,0.85276297
0,20,0.85276297
0,21,0.91446122
0,22,0.91446122
0,23,1.05510596
0,24,1.07773488
0,25,1.07773488
0,26,1.15960203
0,27,1.15960203
0,28,1.57135970
0,29,1.57135970
0,30,1.57135970
0,31,1.57135970
0,32,1.57135970
0,33,1.71940010
0,34,1.92331535
0,35,1.95083408
0,36,1.95083408
0,37,1.95083408
0,38,1.95083408
0,39,1.95083408
0,40,1.95083408
0,41,1.95083408
0,42,1.95083408
0,43,1.95083408
0,44,1.95083408
0,45,1.95083408
0,46,1.95083408
0,47,2.01358462
0,48,1.97831380
0,49,1.97831380
0,50,1.97831380
0,51,1.97831380
0,52,1.97831380
0,53,1.97831380
0,54,1.97831380
0,55,1.72546798
0,56,1.72546798
0,57,1.72546798
0,58,1.72546798
0,59,1.72546798
0,60,1.72546798
0,61,1.72546798
0,62,1.72546798
0,63,1.72546798
0,64,1.72546798
0,65,1.72546798
0,66,1.72546798
0,67,1.72546798
0,68,1.72546798
1,0,1.00000000
1,1,0.71351820
1,2,0.77581209
1,3,0.89636411
1,4,0.91765958
1,5,0.91765958
1,6,0.91765958
1,7,0.91765958
1,8,0.91765958
1,9,0.91765958
1,10,0.91765958
1,11,0.91765958
1,12,0.88805224
1,13,0.88805224
1,14,0.88805224
1,15,0.88805224
1,16,0.88805224
1,17,0.88805224
1,18,0.88805224
1,19,0.88805224
1,20,0.88805224
1,21,0.88805224
1,22,0.88805224
1,23,0.88805224
1,24,0.88805224
1,25,0.88805224
1,26,0.88805224
1,27,0.88805224
1,28,0.88805224
1,29,0.88805224
1,30,0.88805224
1,31,0.88805224
1,32,0.88805224
1,33,0.88805224
1,34,0.88805224
1,35,0.88805224
1,36,0.88805224
1,37,0.88805224
1,38,0.88805224
1,39,0.88805224
1,40,0.88805224
1,41,0.88805224
1,42,0.88805224
1,43,0.81970437
1,44,0.87312856
1,45,1.03220566
1,46,0.87865956
1,47,0.87865956
1,48,0.87865956
1,49,0.87865956
1,50,0.87865956
1,51,0.87865956
1,52,0.87865956
1,53,0.87865956
1,54,0.87865956
1,55,0.87865956
1,56,0.87865956
1,57,0.87865956
1,58,0.87865956
1,59,0.87865956
1,60,0.87865956
1,61,0.87865956
1,62,0.87865956
1,63,0.81697832
1,64,0.81697832
1,65,0.81697832
1,66,0.81697832
1,67,0.81697832
1,68,0.80131531
1,69,0.85027222
1,70,0.85027222
1,71,0.94134487
1,72,0.96051055
2,0,1.00000000
2,1,1.00000000
2,2,1.00000000
2,3,1.00000000
2,4,1.00000000
2,5,0.89557223
2,6,0.77345682
2,7,0.77345682
2,8,0.77345682
2,9,0.77345682
2,10,0.77345682
2,11,0.77345682
2,12,0.77345682
2,13,0.77345682
2,14,0.77345682
2,15,0.77345682
2,16,0.77345682
2,17,0.77345682
2,18,0.77345682
2,19,0.77345682
2,20,0.77345682
2,21,0.77345682
2,22,0.77345682
2,23,0.77345682
2,24,0.71195246
2,25,0.72919170
2,26,0.72919170
2,27,0.67058025
2,28,1.35041090
2,29,1.35041090
2,30,1.35041090
2,31,1.35041090
2,32,1.35041090
2,33,1.35041090
2,34,1.35041090
2,35,1.35041090
2,36,1.35041090
2,37,1.35041090
2,38,1.35041090
2,39,1.35041090
2,40,1.35041090
2,41,1.35041090
2,42,1.35041090
2,43,1.35041090
2,44,1.35041090
2,45,1.11519824
2,46,1.27359514
2,47,1.51031672
2,48,1.51031672
2,49,1.51031672
2,50,1.51031672
2,51,1.51031672
2,52,1.74202620
2,53,1.60255661
2,54,1.60255661
2,55,1.60255661
2,56,1.60255661
2,57,1.60255661
2,58,1.60255661
2,59,1.60255661
2,60,1.60255661
2,61,1.91775235
2,62,2.15520821
2,63,5.48540835
2,64,5.48540835
2,65,5.48540835
2,66,3.13505309
3,0,1.00000000
3,1,1.00000000
3,2,1.00000000
3,3,1.24057176
3,4,1.12207563
3,5,1.12207563
3,6,1.12207563
3,7,1.12207563
3,8,1.12207563
3,9,1.12207563
3,10,1.12207563
3,11,1.04629434
3,12,1.04629434
3,13,1.04629434
3,14,1.04629434
3,15,1.04629434
3,16,1.04629434
3,17,1.04629434
3,18,1.04629434
3,19,1.04629434
3,20,1.04629434
3,21,1.04629434
3,22,1.04629434
3,23,1.00799360
3,24,1.00799360
3,25,1.00799360
3,26,1.00799360
3,27,1.00799360
3,28,1.00799360
3,29,1.00799360
3,30,1.00799360
3,31,1.00799360
3,32,1.00799360
3,33,1.00799360
3,34,1.00799360
3,35,1.00799360
3,36,1.00799360
3,37,1.00799360
3,38,1.00799360
3,39,1.00799360
3,40,0.88383984
3,41,0.88383984
3,42,0.88383984
3,43,1.22053030
3,44,1.22053030
3,45,1.22053030
3,46,1.22053030
3,47,1.22053030
3,48,1.22053030
3,49,1.22053030
3,50,1.22053030
3,51,1.22053030
3,52,1.22053030
3,53,1.22053030
3,54,1.04323953
3,55,1.04323953
3,56,1.04323953
3,57,1.04323953
3,58,1.04323953
3,59,1.04323953
3,60,1.04323953
3,61,1.04323953
3,62,1.04323953
3,63,1.04323953
3,64,1.04323953
3,65,1.04323953
3,66,1.04323953
3,67,1.04323953
3,68,1.04323953
3,69,1.04323953
3,70,1.04323953
3,71,1.04323953
3,72,1.04323953
3,73,1.04323953
3,74,1.04323953
3,75,1.04323953
3,76,1.04323953
3,77,1.04323953
3,78,1.04323953
3,79,1.04323953
3,80,0.97664372
3,81,1.06397176
3,82,1.06021343
3,83,1.01024046
3,84,0.90779752
3,85,0.90779752
3,86,0.90779752
3,87,0.90779752
3,88,1.13242731
4,0,1.00000000
4,1,1.00000000
4,2,0.98699260
4,3,0.98699260
4,4,0.98699260
4,5,0.98699260
4,6,0.98699260
4,7,0.98699260
4,8,0.98699260
4,9,0.98699260
4,10,0.98699260
4,11,0.98699260
4,12,0.98699260
4,13,0.98699260
4,14,0.85513790
4,15,0.68348363
4,16,0.68348363
4,17,0.68348363
4,18,0.68348363
4,19,0.68348363
4,20,0.68348363
4,21,0.68348363
4,22,0.68348363
4,23,0.68348363
4,24,0.68348363
4,25,0.68348363
4,26,0.68348363
4,27,0.50982077
4,28,0.51395599
4,29,0.51395599
4,30,0.51395599
4,31,0.51395599
4,32,0.51395599
4,33,0.51395599
4,34,0.51395599
4,35,0.51395599
4,36,0.51395599
4,37,0.51395599
4,38,0.51395599
4,39,0.51395599
4,40,0.51395599
4,41,0.51395599
4,42,0.51395599
4,43,0.51395599
4,44,0.51395599
4,45,0.51395599
4,46,0.51395599
4,47,0.51395599
4,48,0.51395599
4,49,0.51395599
4,50,0.51395599
4,51,0.51395599
4,52,0.51395599
4,53,0.44912768
4,54,0.44912768
4,55,0.44912768
4,56,0.44912768
4,57,0.44912768
4,58,0.44912768
4,59,0.44912768
4,60,0.44912768
4,61,0.44912768
4,62,0.44912768
4,63,0.44912768
4,64,0.44912768
4,65,0.44912768
4,66,0.44912768
4,67,0.44912768
4,68,0.44912768
4,69,0.44912768
4,70,0.44912768
4,71,0.44912768
4,72,0.44912768
4,73,0.44912768
4,74,0.44912768
4,75,0.44912768
4,76,0.44912768
4,77,0.44912768
4,78,0.44912768
4,79,0.44912768
4,80,0.42967143
4,81,0.42967143
4,82,0.42967143
4,83,0.42967143
4,84,0.42967143
4,85,0.42967143
4,86,0.42967143
4,87,0.42967143
4,88,0.42967143
4,89,0.42967143
4,90,0.42967143
4,91,0.42967143
4,92,0.42967143
4,93,0.42967143
4,94,0.42967143
4,95,0.42967143
4,96,0.42967143
4,97,0.42967143
4,98,0.42967143
4,99,0.42967143
4,100,0.42967143
4,101,0.42967143
4,102,0.42967143
4,103,0.42967143
4,104,0.42967143
4,105,0.42967143
4,106,0.42967143
4,107,0.42967143
4,108,0.42967143
4,109,0.42967143
