fee_bps,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
0.0,Base5,0,261.28,8.1356,58.56,14,57.14,true
0.0,Base5,1,766.31,7.2958,18.92,11,63.64,true
0.0,Base5,2,45.58,2.7261,29.69,15,60.00,true
0.0,Base5,3,149.62,8.9049,31.91,14,71.43,true
0.0,Base5,4,95.36,9.0769,14.84,12,75.00,true
0.0,Base5,5,-32.85,-4.6633,49.27,13,23.08,false
0.0,NoDOGE,0,261.28,8.1356,58.56,14,57.14,true
0.0,NoDOGE,1,-21.73,-3.2436,24.44,10,40.00,false
0.0,NoDOGE,2,155.28,6.5254,16.38,14,64.29,true
0.0,NoDOGE,3,174.93,9.5425,31.91,14,71.43,true
0.0,NoDOGE,4,95.36,9.0769,14.84,12,75.00,true
0.0,NoDOGE,5,-13.86,-0.9741,36.91,13,38.46,false
0.0,Legacy4,0,116.19,8.0388,19.63,16,62.50,true
0.0,Legacy4,1,-27.20,-1.2469,36.02,14,35.71,false
0.0,Legacy4,2,145.74,6.4317,16.38,13,53.85,true
0.0,Legacy4,3,379.93,8.3882,34.83,14,64.29,true
0.0,Legacy4,4,6.88,1.6491,28.44,12,58.33,true
0.0,Legacy4,5,-20.58,-1.5425,30.48,13,23.08,false
0.0,Legacy5BNB,0,257.27,12.2505,19.63,15,66.67,true
0.0,Legacy5BNB,1,-33.70,-3.0451,38.83,12,25.00,false
0.0,Legacy5BNB,2,26.64,2.6583,17.72,13,53.85,true
0.0,Legacy5BNB,3,593.79,10.5200,17.58,13,69.23,true
0.0,Legacy5BNB,4,40.55,4.7731,32.28,11,63.64,true
0.0,Legacy5BNB,5,-39.05,-4.5081,47.33,13,30.77,false
0.0,OldGuardNoBNB,0,166.48,7.7980,36.23,15,46.67,true
0.0,OldGuardNoBNB,1,-52.94,-10.8382,52.94,12,16.67,false
0.0,OldGuardNoBNB,2,145.74,6.4317,16.38,13,53.85,true
0.0,OldGuardNoBNB,3,379.93,8.3882,34.83,14,64.29,true
0.0,OldGuardNoBNB,4,6.88,1.6491,28.44,12,58.33,true
0.0,OldGuardNoBNB,5,28.01,3.7308,25.20,12,41.67,true
0.0,LargeCaps5,0,261.28,8.1356,58.56,14,57.14,true
0.0,LargeCaps5,1,-32.00,-4.8366,32.00,11,36.36,false
0.0,LargeCaps5,2,155.28,6.5254,16.38,14,64.29,true
0.0,LargeCaps5,3,211.46,12.0185,24.90,13,69.23,true
0.0,LargeCaps5,4,109.88,9.9150,14.84,12,75.00,true
0.0,LargeCaps5,5,-13.86,-0.9741,36.91,13,38.46,false
0.0,Legacy3,0,295.79,12.0284,12.04,15,66.67,true
0.0,Legacy3,1,28.67,3.2402,25.83,13,53.85,true
0.0,Legacy3,2,-39.33,-3.0858,49.22,16,31.25,false
0.0,Legacy3,3,46.29,3.8074,70.27,15,33.33,true
0.0,Legacy3,4,-32.72,-3.4456,51.57,13,46.15,false
0.0,Legacy3,5,-46.46,-4.1582,52.82,17,23.53,false
0.0,LowVolume5,0,206.89,8.2933,24.37,16,56.25,true
0.0,LowVolume5,1,-8.65,0.1881,39.97,14,50.00,false
0.0,LowVolume5,2,464.15,10.7860,31.65,15,60.00,true
0.0,LowVolume5,3,448.56,9.6018,46.40,14,50.00,true
0.0,LowVolume5,4,-48.56,-4.5931,49.42,13,30.77,false
0.0,LowVolume5,5,-71.36,-6.4573,79.33,18,22.22,false
0.0,OldGuard4,0,211.51,8.3144,28.96,17,58.82,true
0.0,OldGuard4,1,-26.47,-2.5760,33.33,13,38.46,false
0.0,OldGuard4,2,-37.01,-2.7791,48.51,16,37.50,false
0.0,OldGuard4,3,46.29,3.8074,70.27,15,33.33,true
0.0,OldGuard4,4,-12.65,-0.6844,34.41,14,50.00,false
0.0,OldGuard4,5,-41.42,-1.9682,59.68,19,26.32,false
1.0,Base5,0,260.27,8.1238,58.60,14,57.14,true
1.0,Base5,1,764.41,7.2931,18.97,11,63.64,true
1.0,Base5,2,45.14,2.7076,29.72,15,60.00,true
1.0,Base5,3,148.92,8.8822,31.92,14,71.43,true
1.0,Base5,4,94.89,9.0443,14.85,12,75.00,true
1.0,Base5,5,-33.02,-4.6983,49.38,13,23.08,false
1.0,NoDOGE,0,260.27,8.1238,58.60,14,57.14,true
1.0,NoDOGE,1,-21.89,-3.2764,24.53,10,40.00,false
1.0,NoDOGE,2,154.56,6.5085,16.39,14,64.29,true
1.0,NoDOGE,3,174.16,9.5209,31.92,14,71.43,true
1.0,NoDOGE,4,94.89,9.0443,14.85,12,75.00,true
1.0,NoDOGE,5,-14.08,-1.0059,37.03,13,38.46,false
1.0,Legacy4,0,115.49,8.0091,19.66,16,62.50,true
1.0,Legacy4,1,-27.40,-1.2673,36.08,14,35.71,false
1.0,Legacy4,2,145.10,6.4165,16.39,13,53.85,true
1.0,Legacy4,3,378.59,8.3777,34.87,14,64.29,true
1.0,Legacy4,4,6.62,1.6185,28.55,12,58.33,true
