fee_bps,fee_per_side,pass,total,pass_rate_pct,avg_return_pct,avg_sharpe,worst_dd_pct,total_trades
0.0,0.000000,34,54,62.96,113.5679,3.392009,79.3294,743
1.0,0.000100,34,54,62.96,112.9824,3.369740,79.3872,743
2.0,0.000200,34,54,62.96,112.3985,3.347486,79.4449,743
3.0,0.000300,34,54,62.96,111.8163,3.325247,79.5023,743
4.0,0.000400,34,54,62.96,111.2357,3.303024,79.5597,743
5.0,0.000500,34,54,62.96,110.6566,3.280816,79.6168,743
6.0,0.000600,34,54,62.96,110.0792,3.258623,79.6738,743
7.0,0.000700,34,54,62.96,109.5034,3.236445,79.7306,743
8.0,0.000800,34,54,62.96,108.9292,3.214283,79.7873,743
9.0,0.000900,34,54,62.96,108.3566,3.192136,79.8438,743
10.0,0.001000,34,54,62.96,107.7856,3.170004,79.9002,743
11.0,0.001100,34,54,62.96,107.2161,3.147888,79.9564,743
12.0,0.001200,34,54,62.96,106.6482,3.125786,80.0124,743
13.0,0.001300,34,54,62.96,106.0819,3.103700,80.0683,743
14.0,0.001400,34,54,62.96,105.5172,3.081629,80.1241,743
15.0,0.001500,34,54,62.96,104.9541,3.059573,80.1796,743
16.0,0.001600,34,54,62.96,104.3925,3.037532,80.2350,743
17.0,0.001700,34,54,62.96,103.8324,3.015506,80.2903,743
18.0,0.001800,34,54,62.96,103.2739,2.993496,80.3454,743
19.0,0.001900,34,54,62.96,102.7170,2.971500,80.4004,743
20.0,0.002000,34,54,62.96,102.1616,2.949520,80.4552,743
