cd,pass,total,pass_pct,avg_sharpe,avg_ret,avg_dd,total_trades
0,6,6,100.00,8.5649,174.73,23.37,78
5,4,6,66.67,5.2865,114.24,28.97,84
10,3,6,50.00,5.4760,145.33,29.51,81
15,5,6,83.33,5.4322,177.95,26.48,81
20,5,6,83.33,6.2339,252.77,21.04,77
25,6,6,100.00,6.8460,214.23,20.22,74
30,6,6,100.00,6.0429,151.70,24.10,77
35,6,6,100.00,7.3171,125.86,24.60,75
40,6,6,100.00,7.1448,113.31,23.78,76
45,6,6,100.00,6.6597,109.62,26.82,71
50,6,6,100.00,6.7443,104.33,25.14,71
55,5,6,83.33,6.6883,126.51,26.42,72
60,6,6,100.00,6.8376,138.08,25.47,72
65,5,6,83.33,5.1160,125.70,28.10,73
70,4,6,66.67,3.6219,92.75,31.12,76
