ts,sym,curr,ann,avg30d_ann,pctile,z,mn,mx,extreme
2026-04-30 00:08 UTC,BTCUSDT,-0.000041,-0.0446,-0.0216,34.44,-0.477,-0.000123,0.000074,None
2026-04-30 00:08 UTC,ETHUSDT,-0.000062,-0.0683,-0.0149,17.78,-0.805,-0.000230,0.000100,None
2026-04-30 00:08 UTC,SOLUSDT,-0.000032,-0.0347,-0.0040,34.44,-0.380,-0.000236,0.000100,None
2026-04-30 00:08 UTC,XRPUSDT,-0.000032,-0.0347,-0.0011,25.56,-0.447,-0.000290,0.000100,None
2026-04-30 00:08 UTC,DOGEUSDT,-0.000036,-0.0398,0.0373,20.00,-1.048,-0.000135,0.000100,None
2026-04-30 00:09 UTC,BTCUSDT,-0.000041,-0.0444,-0.0216,34.44,-0.472,-0.000123,0.000074,None
2026-04-30 00:09 UTC,ETHUSDT,-0.000062,-0.0684,-0.0149,17.78,-0.806,-0.000230,0.000100,None
2026-04-30 00:09 UTC,SOLUSDT,-0.000030,-0.0331,-0.0040,34.44,-0.360,-0.000236,0.000100,None
2026-04-30 00:09 UTC,XRPUSDT,-0.000031,-0.0344,-0.0011,25.56,-0.444,-0.000290,0.000100,None
2026-04-30 00:09 UTC,DOGEUSDT,-0.000036,-0.0398,0.0373,20.00,-1.047,-0.000135,0.000100,None
