threshold_label,threshold_value,pass,total_windows,pass_pct,avg_sharpe,avg_ret_pct,avg_dd_pct,total_trades,total_blocked,positive_universes
no_gate,999.000000,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00000,0.000000,60,90,66.7,2.9042,21.39,5.95,735,15441,6
t_0.00005,0.000050,57,90,63.3,2.4834,21.64,10.30,1307,11253,9
t_0.00010,0.000100,59,90,65.6,0.7900,21.48,14.99,1932,6391,6
t_0.00015,0.000150,66,90,73.3,1.8931,37.32,15.95,2423,3055,9
t_0.00020,0.000200,66,90,73.3,2.0433,42.04,16.16,2501,2436,9
t_0.00025,0.000250,66,90,73.3,1.8556,41.14,16.81,2558,1894,9
t_0.00030,0.000300,67,90,74.4,1.8953,42.93,17.35,2604,1580,9
t_0.00035,0.000350,66,90,73.3,1.8271,40.99,17.82,2624,1326,9
t_0.00040,0.000400,67,90,74.4,1.7215,39.50,17.96,2642,1160,9
t_0.00045,0.000450,65,90,72.2,1.6579,40.83,18.43,2704,928,8
t_0.00050,0.000500,66,90,73.3,1.6257,39.95,18.21,2739,793,8
t_0.00055,0.000550,67,90,74.4,1.8054,49.84,17.99,2768,615,9
t_0.00060,0.000600,67,90,74.4,1.7912,49.57,18.05,2775,529,9
t_0.00065,0.000650,67,90,74.4,1.7837,50.03,18.05,2779,470,9
t_0.00070,0.000700,67,90,74.4,1.7839,50.05,18.05,2779,428,9
t_0.00075,0.000750,67,90,74.4,1.7840,50.05,18.05,2779,359,9
t_0.00080,0.000800,67,90,74.4,1.8346,52.81,17.46,2784,274,9
t_0.00085,0.000850,67,90,74.4,1.8346,52.81,17.46,2784,266,9
t_0.00090,0.000900,67,90,74.4,1.8189,52.68,17.47,2793,244,9
t_0.00095,0.000950,67,90,74.4,1.8189,52.68,17.47,2793,235,9
t_0.00100,0.001000,67,90,74.4,1.8029,52.57,17.47,2808,181,9
t_0.00105,0.001050,67,90,74.4,1.7079,51.32,17.77,2825,145,9
t_0.00110,0.001100,67,90,74.4,1.6600,51.37,17.81,2831,121,9
t_0.00115,0.001150,67,90,74.4,1.6600,51.37,17.81,2831,104,9
t_0.00120,0.001200,67,90,74.4,1.6358,50.52,17.81,2837,93,9
t_0.00125,0.001250,67,90,74.4,1.6255,50.29,17.85,2841,36,9
t_0.00130,0.001300,67,90,74.4,1.6363,50.80,17.81,2843,27,9
t_0.00135,0.001350,67,90,74.4,1.6363,50.80,17.81,2843,27,9
t_0.00140,0.001400,67,90,74.4,1.6388,51.66,17.81,2843,18,9
t_0.00145,0.001450,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00150,0.001500,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00155,0.001550,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00160,0.001600,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00165,0.001650,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00170,0.001700,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00175,0.001750,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00180,0.001800,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00185,0.001850,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00190,0.001900,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00195,0.001950,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00200,0.002000,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00205,0.002050,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00210,0.002100,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00215,0.002150,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00220,0.002200,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00225,0.002250,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00230,0.002300,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00235,0.002350,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00240,0.002400,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00245,0.002450,67,90,74.4,1.6210,50.69,17.81,2849,0,9
t_0.00250,0.002500,67,90,74.4,1.6210,50.69,17.81,2849,0,9
