bar,equity,config,label
0,3.8190325017221594,BASELINE,BASELINE (0.75/252)
1,6.297371708681883,BASELINE,BASELINE (0.75/252)
2,10.29706805393625,BASELINE,BASELINE (0.75/252)
3,43.662535409033524,BASELINE,BASELINE (0.75/252)
4,62.53614020015283,BASELINE,BASELINE (0.75/252)
5,85.6999386204354,BASELINE,BASELINE (0.75/252)
6,102.2966249550434,BASELINE,BASELINE (0.75/252)
0,3.7381461425801747,pct=0.55_lb=252,WINNER
1,6.894248122704528,pct=0.55_lb=252,WINNER
2,11.591281138039287,pct=0.55_lb=252,WINNER
3,47.88576121622022,pct=0.55_lb=252,WINNER
4,68.74404403178465,pct=0.55_lb=252,WINNER
5,94.37249030151344,pct=0.55_lb=252,WINNER
6,107.26262938989576,pct=0.55_lb=252,WINNER
0,3.8190325017221594,pct=0.70_lb=252,RUNNER-UP-1
1,6.297371708681883,pct=0.70_lb=252,RUNNER-UP-1
2,10.587754401480936,pct=0.70_lb=252,RUNNER-UP-1
3,44.89512927712403,pct=0.70_lb=252,RUNNER-UP-1
4,64.30153614481455,pct=0.70_lb=252,RUNNER-UP-1
5,88.1192488563093,pct=0.70_lb=252,RUNNER-UP-1
6,105.18445983372644,pct=0.70_lb=252,RUNNER-UP-1
0,3.4442840166500948,pct=0.55_lb=189,RUNNER-UP-2
1,5.768097490435225,pct=0.55_lb=189,RUNNER-UP-2
2,9.69788705791827,pct=0.55_lb=189,RUNNER-UP-2
3,41.12183534586805,pct=0.55_lb=189,RUNNER-UP-2
4,54.51211121862465,pct=0.55_lb=189,RUNNER-UP-2
5,74.834754919511,pct=0.55_lb=189,RUNNER-UP-2
6,85.05627600553484,pct=0.55_lb=189,RUNNER-UP-2
