hedge_pct,avg_sharpe,avg_return,avg_dd,pass_count,total_runs,pass_pct,avg_trades
0.55,-435300267103697.875000,1.098628,0.229246,255,315,80.95,10.8
0.50,-435300267103697.875000,1.075474,0.228163,254,315,80.63,10.8
0.75,-435300267103697.875000,1.271664,0.240359,252,315,80.00,10.8
0.65,-435300267103697.875000,1.172481,0.235696,251,315,79.68,10.8
0.80,-435300267103697.937500,1.296170,0.242488,251,315,79.68,10.8
0.60,-435300267103697.875000,1.117300,0.233390,250,315,79.37,10.8
0.70,-435300267103697.937500,1.213492,0.239161,250,315,79.37,10.8
0.85,-435300267103698.000000,1.309988,0.245697,249,315,79.05,10.8
0.95,-999509498389278.375000,1.382789,0.251352,248,315,78.73,10.8
0.90,-1434809765492981.250000,1.342546,0.248240,248,315,78.73,10.8
