config,hedge_pct,hedge_lookback,avg_sharpe,avg_return,avg_dd,pass_count,total_runs,pass_pct,avg_trades
pct=0.55_lb=252,0.55,252,5.546714,1.172656,0.233788,53,63,84.13,11.0
pct=0.70_lb=252,0.70,252,5.532048,1.169316,0.242126,53,63,84.13,11.0
pct=0.55_lb=189,0.55,189,5.530540,1.151223,0.234413,53,63,84.13,11.0
pct=0.75_lb=252,0.75,252,5.512773,1.277109,0.242126,53,63,84.13,11.0
pct=0.50_lb=189,0.50,189,5.496920,1.128154,0.234518,53,63,84.13,11.0
pct=0.65_lb=126,0.65,126,5.478614,1.196525,0.235264,53,63,84.13,11.0
pct=0.75_lb=189,0.75,189,5.446213,1.347987,0.241109,53,63,84.13,11.0
pct=0.55_lb=126,0.55,126,5.444681,1.126194,0.234657,53,63,84.13,11.0
pct=0.80_lb=252,0.80,252,5.441717,1.346436,0.242294,53,63,84.13,11.0
pct=0.60_lb=126,0.60,126,5.441622,1.179386,0.234825,53,63,84.13,11.0
pct=0.55_lb=63,0.55,63,5.362687,1.123852,0.226373,53,63,84.13,11.0
pct=0.50_lb=126,0.50,126,5.359842,1.060933,0.234068,53,63,84.13,11.0
pct=0.50_lb=63,0.50,63,5.341496,1.103706,0.225378,53,63,84.13,11.0
pct=0.50_lb=252,0.50,252,5.510909,1.170800,0.230820,52,63,82.54,11.0
pct=0.60_lb=252,0.60,252,5.506734,1.166165,0.237144,52,63,82.54,11.0
pct=0.65_lb=252,0.65,252,5.501293,1.167377,0.241679,52,63,82.54,11.0
pct=0.70_lb=189,0.70,189,5.472912,1.340905,0.240465,52,63,82.54,11.0
pct=0.60_lb=189,0.60,189,5.461473,1.161225,0.238855,52,63,82.54,11.0
pct=0.65_lb=189,0.65,189,5.460187,1.261496,0.239168,52,63,82.54,11.0
pct=0.85_lb=252,0.85,252,5.334494,1.330167,0.248447,52,63,82.54,11.0
pct=0.85_lb=189,0.85,189,5.332994,1.332459,0.248702,52,63,82.54,11.0
pct=0.80_lb=189,0.80,189,5.324615,1.329773,0.248149,52,63,82.54,11.0
pct=0.75_lb=126,0.75,126,5.314638,1.327169,0.245569,52,63,82.54,11.0
pct=0.80_lb=126,0.80,126,5.295561,1.326606,0.247514,52,63,82.54,11.0
pct=0.95_lb=252,0.95,252,5.458200,1.472134,0.252835,51,63,80.95,11.0
pct=0.95_lb=189,0.95,189,5.442423,1.452790,0.250691,51,63,80.95,11.0
pct=0.90_lb=126,0.90,126,5.426574,1.419023,0.250449,51,63,80.95,11.0
pct=0.95_lb=63,0.95,63,5.425051,1.402946,0.252330,51,63,80.95,11.0
pct=0.80_lb=63,0.80,63,5.419558,1.402538,0.244642,51,63,80.95,11.0
pct=0.95_lb=126,0.95,126,5.394712,1.403426,0.254277,51,63,80.95,11.0
pct=0.85_lb=126,0.85,126,5.393552,1.382620,0.249492,51,63,80.95,11.0
pct=0.90_lb=189,0.90,189,5.391683,1.381991,0.250691,51,63,80.95,11.0
pct=0.85_lb=63,0.85,63,5.380578,1.429518,0.248012,51,63,80.95,11.0
pct=0.90_lb=63,0.90,63,5.374802,1.389605,0.251655,51,63,80.95,11.0
pct=0.75_lb=63,0.75,63,5.351519,1.329871,0.243927,51,63,80.95,11.0
pct=0.70_lb=63,0.70,63,5.312948,1.214116,0.241176,51,63,80.95,11.0
pct=0.70_lb=126,0.70,126,5.268024,1.272957,0.244065,51,63,80.95,11.0
pct=0.90_lb=252,0.90,252,5.267599,1.326604,0.251158,51,63,80.95,11.0
pct=0.65_lb=63,0.65,63,5.208515,1.163306,0.239397,51,63,80.95,11.0
pct=0.60_lb=63,0.60,63,5.220271,1.145402,0.235721,50,63,79.37,11.0
pct=0.95_lb=504,0.95,504,-4997547491946413.000000,1.182652,0.246626,44,63,69.84,9.8
pct=0.90_lb=504,0.90,504,-7174048827464927.000000,1.195508,0.237246,44,63,69.84,9.8
pct=0.60_lb=504,0.60,504,-2176501335518511.000000,0.934322,0.220406,43,63,68.25,9.8
pct=0.55_lb=504,0.55,504,-2176501335518511.000000,0.919216,0.217000,43,63,68.25,9.8
pct=0.65_lb=504,0.65,504,-2176501335518511.000000,1.073703,0.222972,43,63,68.25,9.8
pct=0.50_lb=504,0.50,504,-2176501335518511.000000,0.913777,0.216030,43,63,68.25,9.8
pct=0.70_lb=504,0.70,504,-2176501335518511.250000,1.070165,0.227972,43,63,68.25,9.8
pct=0.85_lb=504,0.85,504,-2176501335518511.250000,1.075176,0.233835,43,63,68.25,9.8
pct=0.80_lb=504,0.80,504,-2176501335518511.250000,1.075496,0.229841,43,63,68.25,9.8
pct=0.75_lb=504,0.75,504,-2176501335518511.250000,1.076187,0.229064,43,63,68.25,9.8
