hedge_size_mult,passes,total,pass_rate,avg_sharpe,avg_return,avg_dd,total_trades,base5_equity
0.30,58,63,92.06,7.6507,60.66,14.30,694,32.587518
0.40,59,63,93.65,7.5775,72.41,16.00,694,46.950405
0.50,59,63,93.65,7.4315,85.27,17.71,694,65.221420
0.55,59,63,93.65,7.3464,92.15,18.56,694,75.932984
0.60,58,63,92.06,7.2579,99.32,19.41,694,87.733218
0.65,58,63,92.06,7.1683,106.80,20.29,694,100.634148
0.70,58,63,92.06,7.0790,114.60,21.18,694,114.632453
0.75,58,63,92.06,6.9912,122.72,22.08,694,129.707787
0.80,58,63,92.06,6.9056,131.16,22.97,694,145.821287
0.85,57,63,90.48,6.8227,139.92,23.85,694,162.914334
0.90,57,63,90.48,6.7427,149.02,24.75,694,180.907602
0.95,56,63,88.89,6.6658,158.46,25.66,694,199.700473
1.00,56,63,88.89,6.5920,168.22,26.57,694,219.170834
