hedge_pct,pass_count,total,pass_rate,avg_sharpe,avg_return,avg_dd,total_trades,positive_universes,base5_agg_equity
0,55,63,87.3,4.815043,90.4327,23.6331,706,9,183.464598
1,55,63,87.3,4.815043,90.4327,23.6331,706,9,183.464598
2,55,63,87.3,4.815043,90.4327,23.6331,706,9,183.464598
3,55,63,87.3,4.815043,90.4327,23.6331,706,9,183.464598
4,55,63,87.3,4.815043,90.4327,23.6331,706,9,183.464598
5,55,63,87.3,4.815043,90.4327,23.6331,706,9,183.464598
6,55,63,87.3,4.815043,90.4327,23.6331,706,9,183.464598
7,55,63,87.3,4.815043,90.4327,23.6331,706,9,183.464598
8,56,63,88.9,4.918804,91.3234,23.6331,706,9,194.799476
9,56,63,88.9,4.918804,91.3234,23.6331,706,9,194.799476
10,56,63,88.9,4.918804,91.3234,23.6331,706,9,194.799476
11,56,63,88.9,5.007557,92.1462,23.6331,706,9,204.610680
12,56,63,88.9,5.007557,92.1462,23.6331,706,9,204.610680
13,56,63,88.9,5.004435,92.1148,23.6331,706,9,204.610680
14,56,63,88.9,5.004435,92.1148,23.6331,706,9,204.610680
15,56,63,88.9,5.027767,95.2858,23.6331,706,9,216.339021
16,57,63,90.5,5.040799,95.3789,23.5962,706,9,216.339021
17,57,63,90.5,5.031309,99.1571,23.6343,706,9,253.168401
18,54,63,85.7,4.843678,99.0327,24.8178,706,9,244.205156
19,54,63,85.7,4.843678,99.0327,24.8178,706,9,244.205156
20,54,63,85.7,4.843678,99.0327,24.8178,706,9,244.205156
21,54,63,85.7,4.815648,98.7501,24.9771,706,9,244.205156
22,54,63,85.7,4.841462,98.9674,24.9771,706,9,244.205156
23,54,63,85.7,4.870011,99.1904,25.0058,706,9,253.242324
24,54,63,85.7,4.853013,99.4311,25.2240,706,9,269.805037
25,54,63,85.7,4.736655,98.9137,25.6210,706,9,255.263544
26,54,63,85.7,4.736655,98.9137,25.6210,706,9,255.263544
27,54,63,85.7,4.752711,98.6150,25.6110,706,9,246.607165
28,54,63,85.7,4.752711,98.6150,25.6110,706,9,246.607165
29,54,63,85.7,4.765350,101.4232,25.6723,706,9,274.749986
30,54,63,85.7,4.834222,102.1243,25.5930,706,9,283.832501
31,54,63,85.7,4.859124,102.5246,25.5930,706,9,286.936860
32,54,63,85.7,4.859124,102.5246,25.5930,706,9,286.936860
33,54,63,85.7,4.859124,102.5246,25.5930,706,9,286.936860
34,54,63,85.7,4.871355,102.6022,25.5930,706,9,286.936860
35,54,63,85.7,4.852634,102.4320,25.6329,706,9,286.936860
36,54,63,85.7,4.852634,102.4320,25.6329,706,9,286.936860
37,54,63,85.7,4.969307,105.2606,25.6329,706,9,317.337526
38,54,63,85.7,4.925765,105.1474,25.6550,706,9,315.119952
39,54,63,85.7,4.924289,104.4388,25.8174,706,9,286.670690
40,54,63,85.7,4.957560,107.3991,25.7691,706,9,383.584753
41,54,63,85.7,5.006620,109.4045,25.7691,706,9,398.451360
42,56,63,88.9,5.075857,109.9645,25.7691,706,9,398.451360
43,56,63,88.9,5.049767,109.9199,25.8664,706,9,406.524266
44,55,63,87.3,5.102871,110.9260,25.9273,706,9,432.246568
45,55,63,87.3,5.119311,111.0771,26.0111,706,9,435.004661
46,55,63,87.3,5.085344,110.9377,26.0741,706,9,435.004661
47,55,63,87.3,5.096758,111.0738,26.0741,706,9,435.004661
48,55,63,87.3,5.110868,111.1609,26.0741,706,9,435.004661
49,56,63,88.9,5.178986,112.5628,26.0741,706,9,458.796558
50,56,63,88.9,5.170999,112.4319,26.1478,706,9,458.796558
51,56,63,88.9,5.168116,113.6855,26.1478,706,9,458.796558
52,55,63,87.3,5.081890,116.3728,26.7817,706,9,484.860175
53,55,63,87.3,5.063826,115.6506,26.8001,706,9,484.860175
54,55,63,87.3,5.110529,117.4068,26.9085,706,9,527.328860
55,55,63,87.3,5.111128,117.3675,26.8958,706,9,488.747553
56,55,63,87.3,5.141306,117.4599,26.8790,706,9,488.747553
57,55,63,87.3,5.152772,117.2257,27.1008,706,9,488.747553
58,55,63,87.3,5.109997,116.5881,27.2473,706,9,464.723424
59,55,63,87.3,5.011171,115.8491,27.6443,706,9,431.694432
60,55,63,87.3,5.033385,116.3329,27.6443,706,9,439.386013
61,55,63,87.3,4.957632,115.9508,27.8321,706,9,427.599619
62,55,63,87.3,4.824952,114.6302,28.0384,706,9,419.156223
63,55,63,87.3,4.835058,114.7834,28.0384,706,9,419.156223
64,55,63,87.3,4.860861,115.0257,28.3091,706,9,419.156223
65,55,63,87.3,4.894456,117.8018,28.3091,706,9,467.873375
66,55,63,87.3,4.951140,126.7918,28.5351,706,9,476.700158
67,55,63,87.3,5.016295,127.7268,28.5077,706,9,489.867523
68,55,63,87.3,5.009418,131.0213,28.5077,706,9,628.828701
69,55,63,87.3,5.007258,131.0191,28.5201,706,9,628.828701
70,55,63,87.3,5.001301,130.9587,28.5640,706,9,634.728199
71,55,63,87.3,5.007625,131.8737,28.5640,706,9,634.728199
72,55,63,87.3,4.953667,129.3007,29.0079,706,9,609.790269
73,55,63,87.3,4.971780,129.6818,29.0079,706,9,622.984968
74,55,63,87.3,4.964136,129.6147,29.0422,706,9,622.984968
75,55,63,87.3,4.909673,129.6641,29.3151,706,9,622.984968
76,55,63,87.3,4.920893,132.5080,29.3515,706,9,622.984968
77,55,63,87.3,4.974623,133.0849,29.3515,706,9,644.940177
78,55,63,87.3,4.977953,133.6508,29.3515,706,9,648.440588
79,55,63,87.3,4.874643,131.4042,30.3176,706,9,552.479084
80,55,63,87.3,4.936507,132.7240,30.0309,706,9,611.752979
81,55,63,87.3,4.875318,132.1377,30.2326,706,9,614.499224
82,55,63,87.3,4.881279,133.2765,30.2326,706,9,614.499224
83,55,63,87.3,4.883278,133.1908,30.3524,706,9,632.795261
84,55,63,87.3,4.849547,132.8424,30.4820,706,9,632.795261
85,55,63,87.3,4.782835,130.9305,30.7950,706,9,605.551030
86,55,63,87.3,4.823713,135.3490,30.7950,706,9,640.070418
87,55,63,87.3,4.766270,134.5290,31.0669,706,9,605.634876
88,55,63,87.3,4.806231,137.8544,31.0669,706,9,662.961477
89,55,63,87.3,4.876341,138.6669,31.0669,706,9,662.961477
90,55,63,87.3,4.942902,140.1674,30.9834,706,9,732.247106
91,55,63,87.3,4.871788,138.6934,31.1519,706,9,772.562867
92,55,63,87.3,4.900807,140.3834,31.2254,706,9,744.225918
93,55,63,87.3,5.013186,149.8515,31.3391,706,9,902.309597
94,55,63,87.3,5.016834,152.5511,31.3632,706,9,877.690296
95,55,63,87.3,4.973804,148.7400,31.7146,706,9,784.820407
96,55,63,87.3,4.958200,143.5707,32.0904,706,9,784.820407
97,55,63,87.3,4.815043,156.2513,32.7716,706,9,680.719048
98,55,63,87.3,4.815043,156.2513,32.7716,706,9,680.719048
99,55,63,87.3,4.815043,156.2513,32.7716,706,9,680.719048
100,55,63,87.3,4.815043,156.2513,32.7716,706,9,680.719048
