hm,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass,equity_final
10,Base5,0,672.43,13.2261,17.80,20,55.00,true,7.7243
10,Base5,1,557.36,4.6496,22.40,18,66.67,true,6.5736
10,Base5,2,2.52,0.9266,29.66,19,42.11,true,1.0252
10,Base5,3,22.69,2.2267,39.93,24,50.00,true,1.2269
10,Base5,4,124.21,10.1785,15.55,15,60.00,true,2.2421
10,Base5,5,3.36,1.0049,28.76,21,42.86,true,1.0336
10,Base5,6,48.73,2.6401,26.08,23,34.78,true,1.4873
15,Base5,0,536.55,14.2641,17.80,19,57.89,true,6.3655
15,Base5,1,371.30,3.8831,22.40,18,66.67,true,4.7130
15,Base5,2,-0.48,0.7020,32.82,18,44.44,false,0.9952
15,Base5,3,113.87,5.7830,28.75,20,60.00,true,2.1387
15,Base5,4,95.82,10.1853,9.06,12,58.33,true,1.9582
15,Base5,5,42.21,4.3732,19.19,19,47.37,true,1.4221
15,Base5,6,41.10,2.4363,22.44,23,39.13,true,1.4110
20,Base5,0,646.44,14.4585,17.80,18,55.56,true,7.4644
20,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.8634
20,Base5,2,-19.71,-0.3770,32.82,18,38.89,false,0.8029
20,Base5,3,113.29,5.4974,30.68,20,50.00,true,2.1329
20,Base5,4,69.71,8.2931,9.43,11,54.55,true,1.6971
20,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.2714
20,Base5,6,48.40,2.5704,22.83,21,38.10,true,1.4840
25,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.0102
25,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.8634
25,Base5,2,9.39,1.4907,32.82,17,41.18,true,1.0939
25,Base5,3,102.99,5.2183,28.75,19,52.63,true,2.0299
25,Base5,4,44.08,6.0946,9.43,11,54.55,true,1.4408
25,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.2714
25,Base5,6,42.76,2.4327,24.68,21,33.33,true,1.4276
30,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.0102
30,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.8634
30,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.0397
30,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.1672
30,Base5,4,56.70,6.2086,9.45,11,45.45,true,1.5670
30,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.2714
30,Base5,6,41.15,2.4215,24.68,21,33.33,true,1.4115
35,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.0102
35,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.8634
35,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.0397
35,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.1672
35,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.5298
35,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.2714
35,Base5,6,49.38,2.5951,24.68,20,35.00,true,1.4938
40,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.0102
40,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.8634
40,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.0397
40,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.1672
40,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.5298
40,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.2714
40,Base5,6,49.38,2.5951,24.68,20,35.00,true,1.4938
45,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.0102
45,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.8634
45,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.0397
45,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.1672
45,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.5298
45,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.2714
45,Base5,6,49.38,2.5951,24.68,20,35.00,true,1.4938
50,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.0102
50,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.8634
50,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.0397
50,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.1672
50,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.5298
50,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.2714
50,Base5,6,49.38,2.5951,24.68,20,35.00,true,1.4938
55,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.0102
55,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.8634
55,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.0397
55,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.1672
55,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.5298
55,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.2714
55,Base5,6,49.38,2.5951,24.68,20,35.00,true,1.4938
60,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.0102
60,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.8634
60,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.0397
60,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.1672
60,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.5298
60,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.2714
60,Base5,6,49.38,2.5951,24.68,20,35.00,true,1.4938
70,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.0102
70,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.8634
70,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.0397
70,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.1672
70,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.5298
70,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.2714
70,Base5,6,49.38,2.5951,24.68,20,35.00,true,1.4938
80,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.0102
80,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.8634
80,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.0397
80,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.1672
80,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.5298
80,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.2714
80,Base5,6,49.38,2.5951,24.68,20,35.00,true,1.4938
90,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.0102
90,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.8634
90,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.0397
90,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.1672
90,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.5298
90,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.2714
90,Base5,6,49.38,2.5951,24.68,20,35.00,true,1.4938
105,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.0102
105,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.8634
105,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.0397
105,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.1672
105,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.5298
105,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.2714
105,Base5,6,49.38,2.5951,24.68,20,35.00,true,1.4938
120,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.0102
120,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.8634
120,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.0397
120,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.1672
120,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.5298
120,Base5,5,27.14,3.1719,16.98,18,50.00,true,1.2714
120,Base5,6,49.38,2.5951,24.68,20,35.00,true,1.4938
150,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.0102
150,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.8634
150,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.0397
150,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.1672
150,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.5298
