hm,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass,equity_final
5,Base5,0,312.38,7.5998,17.67,25,52.00,true,4.123770
8,Base5,0,437.01,10.4313,26.77,21,57.14,true,5.370060
10,Base5,0,672.43,13.2261,17.80,20,55.00,true,7.724277
12,Base5,0,567.57,12.0301,17.80,19,57.89,true,6.675680
15,Base5,0,536.55,14.2641,17.80,19,57.89,true,6.365451
18,Base5,0,631.84,14.4393,17.80,18,55.56,true,7.318401
20,Base5,0,646.44,14.4585,17.80,18,55.56,true,7.464414
22,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.010152
25,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.010152
30,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.010152
35,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.010152
40,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.010152
45,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.010152
50,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.010152
60,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.010152
75,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.010152
90,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.010152
120,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.010152
180,Base5,0,601.02,13.8740,17.80,18,55.56,true,7.010152
5,Base5,1,669.62,5.4338,22.40,22,59.09,true,7.696174
8,Base5,1,543.58,4.7529,26.72,19,68.42,true,6.435760
10,Base5,1,557.36,4.6496,22.40,18,66.67,true,6.573602
12,Base5,1,368.68,3.9154,22.40,18,66.67,true,4.686791
15,Base5,1,371.30,3.8831,22.40,18,66.67,true,4.712971
18,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.863405
20,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.863405
22,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.863405
25,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.863405
30,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.863405
35,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.863405
40,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.863405
45,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.863405
50,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.863405
60,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.863405
75,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.863405
90,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.863405
120,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.863405
180,Base5,1,386.34,3.9399,22.40,17,70.59,true,4.863405
5,Base5,2,64.75,3.9203,22.54,21,61.90,true,1.647492
8,Base5,2,-47.18,-2.0414,52.40,22,36.36,false,0.528196
10,Base5,2,2.52,0.9266,29.66,19,42.11,true,1.025228
12,Base5,2,73.71,3.1125,23.62,18,50.00,true,1.737082
15,Base5,2,-0.48,0.7020,32.82,18,44.44,false,0.995197
18,Base5,2,-41.28,-1.4989,50.22,19,36.84,false,0.587161
20,Base5,2,-19.71,-0.3770,32.82,18,38.89,false,0.802914
22,Base5,2,-4.93,0.4577,32.82,17,41.18,false,0.950689
25,Base5,2,9.39,1.4907,32.82,17,41.18,true,1.093871
30,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.039724
35,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.039724
40,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.039724
45,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.039724
50,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.039724
60,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.039724
75,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.039724
90,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.039724
120,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.039724
180,Base5,2,3.97,1.0967,32.82,17,41.18,true,1.039724
5,Base5,3,67.72,3.5555,29.75,29,55.17,true,1.677219
8,Base5,3,99.72,4.5447,39.95,25,64.00,true,1.997245
10,Base5,3,22.69,2.2267,39.93,24,50.00,true,1.226918
12,Base5,3,140.06,6.1089,30.97,22,54.55,true,2.400625
15,Base5,3,113.87,5.7830,28.75,20,60.00,true,2.138726
18,Base5,3,110.56,5.7546,28.75,20,55.00,true,2.105603
20,Base5,3,113.29,5.4974,30.68,20,50.00,true,2.132869
22,Base5,3,68.53,4.3590,37.56,20,50.00,true,1.685287
25,Base5,3,102.99,5.2183,28.75,19,52.63,true,2.029882
30,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.167210
35,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.167210
40,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.167210
45,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.167210
50,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.167210
60,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.167210
75,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.167210
90,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.167210
120,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.167210
180,Base5,3,116.72,6.0656,28.75,18,55.56,true,2.167210
5,Base5,4,52.87,5.7037,18.40,19,52.63,true,1.528696
8,Base5,4,66.68,5.3032,15.87,16,56.25,true,1.666785
10,Base5,4,124.21,10.1785,15.55,15,60.00,true,2.242103
12,Base5,4,95.90,10.9673,9.06,13,69.23,true,1.958999
15,Base5,4,95.82,10.1853,9.06,12,58.33,true,1.958210
18,Base5,4,64.24,7.1021,9.43,12,50.00,true,1.642419
20,Base5,4,69.71,8.2931,9.43,11,54.55,true,1.697097
22,Base5,4,71.01,8.3597,9.43,11,54.55,true,1.710061
25,Base5,4,44.08,6.0946,9.43,11,54.55,true,1.440752
30,Base5,4,56.70,6.2086,9.45,11,45.45,true,1.567016
35,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.529777
40,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.529777
45,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.529777
50,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.529777
60,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.529777
75,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.529777
90,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.529777
120,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.529777
180,Base5,4,52.98,7.0761,9.43,10,50.00,true,1.529777
5,Base5,5,40.86,4.0593,17.19,22,50.00,true,1.408630
8,Base5,5,5.37,1.0759,23.47,21,52.38,true,1.053704
10,Base5,5,3.36,1.0049,28.76,21,42.86,true,1.033648
