hold_max,universe,window,step,equity
1,Base5,0,0,1.00000000
1,Base5,0,1,1.00000000
1,Base5,0,2,1.14855284
1,Base5,0,3,1.23398820
1,Base5,0,4,1.23398820
1,Base5,0,5,1.23398820
1,Base5,0,6,1.23398820
1,Base5,0,7,1.23398820
1,Base5,0,8,1.14062545
1,Base5,0,9,1.14062545
1,Base5,0,10,1.14062545
1,Base5,0,11,1.14062545
1,Base5,0,12,1.14062545
1,Base5,0,13,1.14062545
1,Base5,0,14,1.14062545
1,Base5,0,15,1.14062545
1,Base5,0,16,1.14062545
1,Base5,0,17,1.14062545
1,Base5,0,18,1.14062545
1,Base5,0,19,1.14062545
1,Base5,0,20,1.14062545
1,Base5,0,21,1.14062545
1,Base5,0,22,1.14062545
1,Base5,0,23,0.90513215
1,Base5,0,24,0.90513215
1,Base5,0,25,0.90513215
1,Base5,0,26,0.90513215
1,Base5,0,27,0.90513215
1,Base5,0,28,0.90513215
1,Base5,0,29,0.90513215
1,Base5,0,30,0.90513215
1,Base5,0,31,0.90513215
1,Base5,0,32,0.90513215
1,Base5,0,33,0.90513215
1,Base5,0,34,0.90513215
1,Base5,0,35,0.90513215
1,Base5,0,36,0.90513215
1,Base5,0,37,0.90513215
1,Base5,0,38,0.90513215
1,Base5,0,39,0.90513215
1,Base5,0,40,0.90513215
1,Base5,0,41,0.90513215
1,Base5,0,42,0.90513215
1,Base5,0,43,0.90513215
1,Base5,0,44,0.90513215
1,Base5,0,45,0.90513215
1,Base5,0,46,0.90513215
1,Base5,0,47,0.90513215
1,Base5,0,48,0.90513215
1,Base5,0,49,0.90513215
1,Base5,0,50,0.90513215
1,Base5,0,51,0.89510085
1,Base5,0,52,0.89510085
1,Base5,0,53,0.89510085
1,Base5,0,54,0.89510085
1,Base5,0,55,0.89510085
1,Base5,0,56,0.89510085
1,Base5,0,57,0.89510085
1,Base5,0,58,0.94143246
1,Base5,0,59,0.94143246
1,Base5,0,60,0.91993406
1,Base5,0,61,0.91993406
1,Base5,0,62,0.91993406
1,Base5,0,63,0.91993406
1,Base5,0,64,0.91993406
1,Base5,0,65,0.91993406
1,Base5,0,66,0.91993406
1,Base5,0,67,0.91993406
1,Base5,0,68,0.91993406
1,Base5,0,69,0.91993406
1,Base5,0,70,0.91993406
1,Base5,0,71,0.91993406
1,Base5,0,72,0.91993406
1,Base5,0,73,0.91993406
1,Base5,0,74,0.91993406
1,Base5,0,75,0.91993406
1,Base5,0,76,0.91993406
1,Base5,0,77,0.91993406
1,Base5,0,78,0.91993406
1,Base5,0,79,0.91993406
1,Base5,0,80,0.91993406
1,Base5,0,81,0.91993406
1,Base5,0,82,0.91993406
1,Base5,0,83,0.91993406
1,Base5,0,84,0.91993406
1,Base5,0,85,0.91993406
1,Base5,0,86,0.91993406
1,Base5,0,87,0.91993406
1,Base5,0,88,0.97142694
1,Base5,0,89,0.97142694
1,Base5,0,90,0.97142694
1,Base5,0,91,0.96238106
1,Base5,0,92,0.96238106
1,Base5,0,93,0.96238106
1,Base5,0,94,0.96238106
1,Base5,0,95,0.97332151
1,Base5,0,96,1.16223229
1,Base5,0,97,1.36176608
1,Base5,0,98,1.38117336
1,Base5,0,99,1.38117336
1,Base5,0,100,1.38117336
1,Base5,0,101,1.38117336
1,Base5,0,102,1.38117336
1,Base5,0,103,1.38117336
1,Base5,0,104,1.47929036
1,Base5,0,105,1.48546245
1,Base5,0,106,1.60883589
1,Base5,0,107,1.60883589
1,Base5,0,108,1.87139101
1,Base5,0,109,1.87139101
1,Base5,0,110,1.87139101
1,Base5,0,111,1.85513093
1,Base5,0,112,1.85513093
1,Base5,0,113,1.85513093
1,Base5,0,114,1.85513093
1,Base5,0,115,1.85513093
1,Base5,0,116,1.85513093
1,Base5,0,117,1.85513093
1,Base5,0,118,1.85513093
1,Base5,0,119,1.85544741
1,Base5,0,120,2.20823920
1,Base5,0,121,2.20823920
1,Base5,0,122,2.28118021
1,Base5,0,123,2.31226009
1,Base5,0,124,2.31226009
1,Base5,0,125,2.31226009
1,Base5,0,126,2.31226009
1,Base5,0,127,2.31226009
1,Base5,0,128,2.31226009
1,Base5,0,129,2.31226009
1,Base5,0,130,2.31226009
1,Base5,0,131,2.31226009
1,Base5,0,132,2.31226009
1,Base5,0,133,2.31226009
1,Base5,0,134,2.31226009
