hold_max,global_pass,global_total,pass_rate_pct,avg_sharpe,avg_return_pct,avg_max_dd_pct,total_trades,avg_win_rate_pct
1,43,54,79.6296,2.803700,68.8041,27.3080,2012,52.4658
2,39,54,72.2222,2.299307,48.2713,30.0881,1635,53.9955
3,36,54,66.6667,2.624032,103.5800,34.4866,1417,52.5722
4,39,54,72.2222,3.129767,98.3668,36.4310,1257,50.8235
5,42,54,77.7778,4.483209,122.0407,32.7569,1116,53.5648
6,41,54,75.9259,4.443899,102.5908,33.5192,1042,53.2477
7,37,54,68.5185,3.731274,90.6460,36.3411,976,54.7171
8,38,54,70.3704,3.358720,82.9228,34.5967,910,51.0233
9,41,54,75.9259,3.511691,107.6875,35.0302,861,53.9504
10,36,54,66.6667,3.169552,95.8884,35.7275,817,50.0358
11,38,54,70.3704,4.466321,114.9687,35.6376,771,52.6301
12,41,54,75.9259,5.225968,148.5309,32.6547,743,51.3749
13,34,54,62.9630,3.564569,101.3992,38.0922,712,46.3824
14,31,54,57.4074,2.510702,89.8487,39.1471,704,46.0084
15,35,54,64.8148,3.206814,87.7838,38.9492,685,46.8978
16,34,54,62.9630,3.064699,76.3510,39.0171,666,45.0627
17,30,54,55.5556,2.705745,66.9184,39.1163,654,43.4314
18,34,54,62.9630,3.239156,77.4348,36.8186,630,43.7369
19,34,54,62.9630,3.501833,102.0805,35.8280,626,44.3755
20,33,54,61.1111,2.732262,68.6456,38.3961,629,40.4116
21,36,54,66.6667,2.579794,72.6971,39.5172,619,42.2447
22,33,54,61.1111,3.197356,74.3307,35.6238,598,42.6079
23,36,54,66.6667,4.087460,89.7715,34.8721,593,42.9309
24,39,54,72.2222,3.934906,80.0115,35.8683,587,42.5321
25,36,54,66.6667,4.012640,83.4263,35.1993,582,42.4088
26,36,54,66.6667,4.168789,105.2440,33.3003,577,43.3446
27,37,54,68.5185,4.081961,86.7639,32.9786,573,43.0280
28,37,54,68.5185,3.770014,86.2605,33.3471,575,42.4210
29,33,54,61.1111,3.186389,67.4714,32.7992,574,41.2093
30,38,54,70.3704,3.419953,70.9234,33.8068,574,41.2716
31,34,54,62.9630,2.756682,58.0701,35.6685,574,41.5031
32,35,54,64.8148,2.744232,59.6115,34.8149,570,41.0323
33,34,54,62.9630,2.002086,57.2550,36.4897,575,40.2422
34,35,54,64.8148,2.481660,67.1686,35.8100,572,40.6329
35,33,54,61.1111,2.905181,74.9422,34.6313,562,41.6281
36,34,54,62.9630,2.891329,74.7350,34.7609,562,41.6281
37,35,54,64.8148,3.746943,79.4684,34.0559,549,41.6762
38,37,54,68.5185,3.422615,74.2934,33.9663,549,41.6177
39,38,54,70.3704,4.060758,93.5821,31.1554,543,42.3940
40,38,54,70.3704,4.050937,90.4710,31.1554,543,42.3940
41,37,54,68.5185,3.859526,87.0384,31.1749,543,42.3940
42,37,54,68.5185,3.762056,96.8256,31.6333,540,42.4829
43,37,54,68.5185,3.643056,84.7543,31.6760,541,41.8252
44,37,54,68.5185,3.709176,80.8419,31.7909,541,41.6940
45,37,54,68.5185,3.644604,83.1161,31.6565,539,41.6358
46,37,54,68.5185,3.585649,80.8701,31.8116,539,41.6358
47,35,54,64.8148,3.228226,73.3149,31.8856,539,41.6358
48,34,54,62.9630,3.227277,72.2387,31.8856,539,41.6358
49,34,54,62.9630,3.202778,72.3148,31.9254,539,41.6358
50,35,54,64.8148,3.547234,82.4673,31.8856,536,42.0106
51,34,54,62.9630,3.420759,78.9184,31.8856,536,42.0106
52,34,54,62.9630,3.441047,79.6126,31.8856,536,42.0106
53,34,54,62.9630,3.454656,79.1401,31.8856,536,42.0106
