hold_max,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass,equity_final
1,Base5,0,261.8490,8.892217,30.0752,36,72.2222,true,3.61848953
2,Base5,0,148.2337,5.292087,46.0983,33,66.6667,true,2.48233709
3,Base5,0,117.1843,4.902083,61.6003,27,59.2593,true,2.17184304
4,Base5,0,310.4019,8.304754,67.4043,23,69.5652,true,4.10401852
5,Base5,0,398.1724,8.689983,58.4974,22,63.6364,true,4.98172394
6,Base5,0,155.7798,6.485364,58.7746,20,65.0000,true,2.55779824
7,Base5,0,377.1785,8.844271,50.1785,19,57.8947,true,4.77178482
8,Base5,0,278.7627,7.776234,58.7918,17,52.9412,true,3.78762678
9,Base5,0,312.0690,7.953978,54.5961,17,52.9412,true,4.12068965
10,Base5,0,211.4631,7.420797,54.5961,17,52.9412,true,3.11463119
11,Base5,0,82.7241,5.712940,54.5961,16,62.5000,true,1.82724144
12,Base5,0,379.5913,9.479158,54.5961,14,57.1429,true,4.79591349
13,Base5,0,330.3710,10.067816,54.5961,14,57.1429,true,4.30371032
14,Base5,0,307.1851,9.228554,54.5961,14,57.1429,true,4.07185061
15,Base5,0,149.9929,7.168765,54.5961,14,50.0000,true,2.49992913
16,Base5,0,563.9767,10.784926,54.5961,14,57.1429,true,6.63976719
17,Base5,0,433.8661,11.025223,52.2376,12,66.6667,true,5.33866077
18,Base5,0,314.4518,9.132751,52.2376,12,50.0000,true,4.14451794
19,Base5,0,417.4210,10.523100,52.2376,11,54.5455,true,5.17421031
20,Base5,0,139.7011,7.015279,52.2376,12,50.0000,true,2.39701084
21,Base5,0,113.8228,6.661498,52.2376,12,50.0000,true,2.13822801
22,Base5,0,109.2046,6.706512,52.2376,12,50.0000,true,2.09204622
23,Base5,0,102.6321,6.598082,52.2376,12,50.0000,true,2.02632060
24,Base5,0,221.1747,9.526896,52.2376,11,54.5455,true,3.21174668
25,Base5,0,208.4484,9.180868,52.2376,11,54.5455,true,3.08448423
26,Base5,0,904.0573,18.633985,20.7753,9,66.6667,true,10.04057275
27,Base5,0,573.1849,13.725100,20.7753,9,66.6667,true,6.73184898
28,Base5,0,729.6774,14.683001,20.7753,9,66.6667,true,8.29677376
29,Base5,0,597.2483,13.798782,20.7753,9,66.6667,true,6.97248345
