hm,window,equity
5,0,1.889075
5,1,2.470326
5,2,2.964607
5,3,2.348096
5,4,1.358198
5,5,0.875755
5,6,2.383846
10,0,1.815029
10,1,1.70386
10,2,6.817455
10,3,4.808703
10,4,1.271329
10,5,0.7431
10,6,2.848706
15,0,2.082195
15,1,1.435824
15,2,6.673013
15,3,3.741881
15,4,1.189342
15,5,0.906275
15,6,3.020341
20,0,2.351135
20,1,1.479182
20,2,14.68272
20,3,2.68315
20,4,0.943367
20,5,0.921725
20,6,3.057948
25,0,2.351135
25,1,1.749869
25,2,10.267346
25,3,2.982024
25,4,0.881345
25,5,0.773399
25,6,3.267677
30,0,2.351135
30,1,1.806219
30,2,12.467558
30,3,4.0451
30,4,0.881345
30,5,0.666018
30,6,3.372697
35,0,2.351135
35,1,1.806219
35,2,12.836658
35,3,4.088196
35,4,0.881345
35,5,0.636031
35,6,3.140667
40,0,2.351135
40,1,1.806219
40,2,12.759438
40,3,3.133998
40,4,0.881345
40,5,0.636031
40,6,2.98352
45,0,2.351135
45,1,1.806219
45,2,12.008271
45,3,3.133998
45,4,0.881345
45,5,0.636031
45,6,2.98352
50,0,2.351135
50,1,1.806219
50,2,12.008271
50,3,3.133998
50,4,0.881345
50,5,0.636031
50,6,2.98352
55,0,2.351135
55,1,1.806219
55,2,12.008271
55,3,3.133998
55,4,0.881345
55,5,0.636031
55,6,2.98352
60,0,2.351135
60,1,1.806219
60,2,12.008271
60,3,3.133998
60,4,0.881345
60,5,0.636031
60,6,2.98352
65,0,2.351135
65,1,1.806219
65,2,12.008271
65,3,3.133998
65,4,0.881345
65,5,0.636031
65,6,2.98352
70,0,2.351135
70,1,1.806219
70,2,12.008271
70,3,3.133998
70,4,0.881345
70,5,0.636031
70,6,2.98352
75,0,2.351135
75,1,1.806219
75,2,12.008271
75,3,3.133998
75,4,0.881345
75,5,0.636031
75,6,2.98352
80,0,2.351135
80,1,1.806219
80,2,12.008271
80,3,3.133998
80,4,0.881345
80,5,0.636031
80,6,2.98352
85,0,2.351135
85,1,1.806219
85,2,12.008271
85,3,3.133998
85,4,0.881345
85,5,0.636031
85,6,2.98352
90,0,2.351135
90,1,1.806219
90,2,12.008271
90,3,3.133998
90,4,0.881345
90,5,0.636031
90,6,2.98352
95,0,2.351135
95,1,1.806219
95,2,12.008271
95,3,3.133998
95,4,0.881345
95,5,0.636031
95,6,2.98352
100,0,2.351135
100,1,1.806219
100,2,12.008271
100,3,3.133998
100,4,0.881345
100,5,0.636031
100,6,2.98352
12,0,2.82449
12,1,4.884534
12,2,3.11786
12,3,1.939345
12,4,0.994328
12,5,1.148126
12,6,1.968833
