hm,pass_count,total_windows,total_trades,avg_return_pct,avg_sharpe,avg_dd_pct
5,48,63,4342,72.6845,2.095873,0
10,45,63,4342,265.5505,1.906491,0
15,41,63,4342,250.1509,1.666894,0
20,35,63,4342,424.3232,1.019686,0
25,38,63,4342,539.8764,0.764086,0
30,37,63,4342,478.0906,0.437708,0
35,36,63,4342,536.9978,0.105803,0
40,36,63,4342,536.4062,-0.015971,0
45,36,63,4342,541.7663,-0.013462,0
50,36,63,4342,509.0860,-0.011326,0
55,36,63,4342,509.0860,-0.011326,0
60,36,63,4342,509.0860,-0.011326,0
65,36,63,4342,509.0860,-0.011326,0
70,36,63,4342,509.0860,-0.011326,0
75,36,63,4342,509.0860,-0.011326,0
80,36,63,4342,509.0860,-0.011326,0
85,36,63,4342,509.0860,-0.011326,0
90,36,63,4342,509.0860,-0.011326,0
95,36,63,4342,509.0860,-0.011326,0
100,36,63,4342,509.0860,-0.011326,0
