hm,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass,equity_final
5,Base5,0,749.97,4.8420,73.03,82,52.44,true,8.499680
8,Base5,0,1452.35,5.2811,79.07,80,51.25,true,15.523544
10,Base5,0,5108.59,6.1415,83.28,80,53.75,true,52.085917
12,Base5,0,6160.26,6.2014,83.95,80,55.00,true,62.602640
15,Base5,0,19075.47,6.8317,84.07,80,52.50,false,191.754659
18,Base5,0,28714.15,6.7102,84.07,80,51.25,false,288.141452
20,Base5,0,32821.74,6.5213,84.07,80,51.25,false,329.217446
22,Base5,0,32821.74,6.5213,84.07,80,51.25,false,329.217446
25,Base5,0,32821.74,6.5213,84.07,80,51.25,false,329.217446
30,Base5,0,32821.74,6.5213,84.07,80,51.25,false,329.217446
35,Base5,0,32821.74,6.5213,84.07,80,51.25,false,329.217446
40,Base5,0,32821.74,6.5213,84.07,80,51.25,false,329.217446
45,Base5,0,32821.74,6.5213,84.07,80,51.25,false,329.217446
50,Base5,0,32821.74,6.5213,84.07,80,51.25,false,329.217446
60,Base5,0,32821.74,6.5213,84.07,80,51.25,false,329.217446
75,Base5,0,32821.74,6.5213,84.07,80,51.25,false,329.217446
90,Base5,0,32821.74,6.5213,84.07,80,51.25,false,329.217446
120,Base5,0,32821.74,6.5213,84.07,80,51.25,false,329.217446
180,Base5,0,32821.74,6.5213,84.07,80,51.25,false,329.217446
5,Base5,1,198.71,3.5256,65.34,56,48.21,true,2.987086
8,Base5,1,22.47,2.2102,71.60,56,46.43,true,1.224710
10,Base5,1,-20.08,1.5266,80.00,56,46.43,true,0.799242
12,Base5,1,-34.08,1.2056,83.51,56,46.43,true,0.659201
15,Base5,1,-41.54,1.0005,85.32,56,46.43,true,0.584604
18,Base5,1,-46.25,0.8633,85.32,56,46.43,true,0.537494
20,Base5,1,-46.18,0.8654,85.32,56,46.43,true,0.538176
22,Base5,1,-46.18,0.8654,85.32,56,46.43,true,0.538176
25,Base5,1,-46.18,0.8654,85.32,56,46.43,true,0.538176
30,Base5,1,-46.18,0.8654,85.32,56,46.43,true,0.538176
35,Base5,1,-46.18,0.8654,85.32,56,46.43,true,0.538176
40,Base5,1,-46.18,0.8654,85.32,56,46.43,true,0.538176
