universe,window,bar_idx,equity_HM12
,equity_HM17,equity_HM16,equity_HM18,equity_HM15,equity_HM23
Base5,0,0,1.000000
Base5,0,0,0.657999
Base5,0,0,0.657999
Base5,0,0,0.657999
Base5,0,0,0.657999
Base5,0,0,0.657999
Base5,0,0,0.657999
Base5,1,0,0.314068
Base5,1,0,0.314387
Base5,1,0,0.314387
Base5,1,0,0.314387
Base5,1,0,0.314387
Base5,1,0,0.314387
Base5,2,0,0.278471
Base5,2,0,0.278471
Base5,2,0,0.278471
Base5,2,0,0.278471
Base5,2,0,0.278471
Base5,2,0,0.278471
Base5,3,0,0.622503
Base5,3,0,0.636559
Base5,3,0,0.612397
Base5,3,0,0.667886
Base5,3,0,0.614479
Base5,3,0,0.618814
Base5,4,0,0.961796
Base5,4,0,0.990862
Base5,4,0,0.989827
Base5,4,0,0.991135
Base5,4,0,0.991236
Base5,4,0,0.969823
Base5,5,0,0.757234
Base5,5,0,0.737394
Base5,5,0,0.737394
Base5,5,0,0.737394
Base5,5,0,0.737394
Base5,5,0,0.737394
Base5,6,0,0.816468
Base5,6,0,0.850656
Base5,6,0,0.844079
Base5,6,0,0.854295
Base5,6,0,0.807391
Base5,6,0,0.904631
NoDOGE,0,0,0.706954
NoDOGE,0,0,0.706954
NoDOGE,0,0,0.706954
NoDOGE,0,0,0.706954
NoDOGE,0,0,0.706954
NoDOGE,0,0,0.706954
NoDOGE,1,0,0.828847
NoDOGE,1,0,0.829690
NoDOGE,1,0,0.829690
NoDOGE,1,0,0.829690
NoDOGE,1,0,0.829690
NoDOGE,1,0,0.829690
NoDOGE,2,0,0.260597
NoDOGE,2,0,0.260597
NoDOGE,2,0,0.260597
NoDOGE,2,0,0.260597
NoDOGE,2,0,0.260597
NoDOGE,2,0,0.260597
NoDOGE,3,0,0.649749
NoDOGE,3,0,0.664420
NoDOGE,3,0,0.639201
NoDOGE,3,0,0.697118
NoDOGE,3,0,0.641374
NoDOGE,3,0,0.645899
NoDOGE,4,0,0.961796
NoDOGE,4,0,0.990862
NoDOGE,4,0,0.989827
NoDOGE,4,0,0.991135
NoDOGE,4,0,0.991236
NoDOGE,4,0,0.969823
NoDOGE,5,0,0.813520
NoDOGE,5,0,0.792205
NoDOGE,5,0,0.792205
NoDOGE,5,0,0.792205
NoDOGE,5,0,0.792205
NoDOGE,5,0,0.792205
NoDOGE,6,0,0.785325
NoDOGE,6,0,0.818208
NoDOGE,6,0,0.811882
NoDOGE,6,0,0.821708
NoDOGE,6,0,0.776593
NoDOGE,6,0,0.870124
Legacy4,0,0,0.805596
Legacy4,0,0,0.918839
Legacy4,0,0,0.920941
Legacy4,0,0,0.898858
Legacy4,0,0,0.921281
Legacy4,0,0,0.812155
Legacy4,1,0,0.894773
Legacy4,1,0,0.926066
Legacy4,1,0,0.924739
Legacy4,1,0,0.925782
Legacy4,1,0,0.916289
Legacy4,1,0,0.906313
Legacy4,2,0,0.240844
Legacy4,2,0,0.240844
Legacy4,2,0,0.240844
Legacy4,2,0,0.240844
Legacy4,2,0,0.240844
Legacy4,2,0,0.240844
Legacy4,3,0,0.832239
Legacy4,3,0,0.851031
Legacy4,3,0,0.818728
Legacy4,3,0,0.892913
Legacy4,3,0,0.821512
Legacy4,3,0,0.827307
Legacy4,4,0,0.814832
Legacy4,4,0,0.810314
Legacy4,4,0,0.809468
Legacy4,4,0,0.810537
Legacy4,4,0,0.808445
Legacy4,4,0,0.793109
Legacy4,5,0,0.736229
Legacy4,5,0,0.730273
Legacy4,5,0,0.730273
Legacy4,5,0,0.730273
Legacy4,5,0,0.730273
Legacy4,5,0,0.730273
Legacy4,6,0,0.789544
Legacy4,6,0,0.794516
Legacy4,6,0,0.800502
Legacy4,6,0,0.792794
