hm,global_pass,global_total,pass_rate_pct,avg_sharpe,avg_return_pct,avg_max_dd_pct,total_trades
1,0,63,0.0000,-4.272629,-66.6791,66.67907310562586,0
2,0,63,0.0000,-3.707705,-53.2247,53.08907760018304,1086
3,0,63,0.0000,-3.623136,-45.7301,44.855693410629335,875
4,0,63,0.0000,-3.352878,-41.6920,41.76724031669234,789
5,0,63,0.0000,-3.236473,-39.0972,38.95177604918653,732
6,0,63,0.0000,-3.058117,-36.0806,35.85569167657957,681
7,0,63,0.0000,-2.923696,-34.1798,35.14072144555649,650
8,0,63,0.0000,-2.864519,-33.1676,34.33886816588861,642
9,0,63,0.0000,-2.877623,-32.9448,34.40661184768788,626
10,0,63,0.0000,-2.872024,-33.3680,34.257647251203046,622
11,0,63,0.0000,-2.758033,-32.7172,34.11065226703708,612
12,0,63,0.0000,-2.693690,-32.3174,33.83136713358814,601
13,0,63,0.0000,-2.653562,-31.9720,33.936102898003966,587
14,0,63,0.0000,-2.658029,-31.5677,33.54558559142323,581
15,0,63,0.0000,-2.647365,-31.0634,33.04517135336294,577
16,0,63,0.0000,-2.614073,-30.9548,32.80600357069944,577
17,0,63,0.0000,-2.570761,-30.4814,32.75585631219665,575
18,0,63,0.0000,-2.549054,-30.1806,32.73556090755641,567
19,0,63,0.0000,-2.586378,-30.3839,32.71089657633459,567
20,0,63,0.0000,-2.654001,-31.0839,32.774802654891246,567
21,0,63,0.0000,-2.700218,-31.3933,33.06969333721233,564
22,0,63,0.0000,-2.646052,-31.2268,32.90596713125732,561
23,0,63,0.0000,-2.627485,-31.1110,32.79064212117481,559
24,0,63,0.0000,-2.625477,-31.0958,32.77551844110681,559
25,0,63,0.0000,-2.664880,-31.3192,32.996985410815064,556
26,0,63,0.0000,-2.657761,-31.2754,32.95338436657007,556
27,0,63,0.0000,-2.655245,-31.2589,32.936927585688395,556
28,0,63,0.0000,-2.653750,-31.2482,32.93505418933762,556
29,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
30,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
31,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
32,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
33,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
34,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
35,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
36,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
37,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
38,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
39,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
40,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
41,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
42,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
43,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
44,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
45,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
46,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
47,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
48,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
49,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
50,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
51,0,63,0.0000,-2.653783,-31.2457,32.93505418933762,556
