universe,window,hm,return_pct,sharpe,max_dd_pct,trades,pass
Base5,0,1,-71.8671,-3.543043,71.8671,0,0
Base5,0,2,-48.2305,-3.004015,48.2305,19,0
Base5,0,3,-30.7756,-3.114920,30.7756,14,0
Base5,0,4,-36.9760,-2.791064,36.9760,13,0
Base5,0,5,-28.9406,-2.645822,28.9406,12,0
Base5,0,6,-29.5178,-2.613017,29.5178,11,0
Base5,0,7,-28.8384,-2.120432,28.8384,10,0
Base5,0,8,-32.1331,-2.147466,32.1331,10,0
Base5,0,9,-34.2001,-2.248151,34.2001,10,0
Base5,0,10,-34.2001,-2.248151,34.2001,10,0
Base5,0,11,-34.2001,-2.248151,34.2001,10,0
Base5,0,12,-34.2001,-2.248151,34.2001,10,0
Base5,0,13,-34.2001,-2.248151,34.2001,10,0
Base5,0,14,-34.2001,-2.248151,34.2001,10,0
Base5,0,15,-34.2001,-2.248151,34.2001,10,0
Base5,0,16,-34.2001,-2.248151,34.2001,10,0
Base5,0,17,-34.2001,-2.248151,34.2001,10,0
Base5,0,18,-34.2001,-2.248151,34.2001,10,0
Base5,0,19,-34.2001,-2.248151,34.2001,10,0
Base5,0,20,-34.2001,-2.248151,34.2001,10,0
Base5,0,21,-34.2001,-2.248151,34.2001,10,0
Base5,0,22,-34.2001,-2.248151,34.2001,10,0
Base5,0,23,-34.2001,-2.248151,34.2001,10,0
Base5,0,24,-34.2001,-2.248151,34.2001,10,0
Base5,0,25,-34.2001,-2.248151,34.2001,10,0
Base5,0,26,-34.2001,-2.248151,34.2001,10,0
Base5,0,27,-34.2001,-2.248151,34.2001,10,0
Base5,0,28,-34.2001,-2.248151,34.2001,10,0
Base5,0,29,-34.2001,-2.248151,34.2001,10,0
Base5,0,30,-34.2001,-2.248151,34.2001,10,0
Base5,0,31,-34.2001,-2.248151,34.2001,10,0
Base5,0,32,-34.2001,-2.248151,34.2001,10,0
Base5,0,33,-34.2001,-2.248151,34.2001,10,0
Base5,0,34,-34.2001,-2.248151,34.2001,10,0
Base5,0,35,-34.2001,-2.248151,34.2001,10,0
Base5,0,36,-34.2001,-2.248151,34.2001,10,0
Base5,0,37,-34.2001,-2.248151,34.2001,10,0
Base5,0,38,-34.2001,-2.248151,34.2001,10,0
Base5,0,39,-34.2001,-2.248151,34.2001,10,0
Base5,0,40,-34.2001,-2.248151,34.2001,10,0
Base5,0,41,-34.2001,-2.248151,34.2001,10,0
Base5,0,42,-34.2001,-2.248151,34.2001,10,0
Base5,0,43,-34.2001,-2.248151,34.2001,10,0
Base5,0,44,-34.2001,-2.248151,34.2001,10,0
Base5,0,45,-34.2001,-2.248151,34.2001,10,0
Base5,0,46,-34.2001,-2.248151,34.2001,10,0
Base5,0,47,-34.2001,-2.248151,34.2001,10,0
Base5,0,48,-34.2001,-2.248151,34.2001,10,0
Base5,0,49,-34.2001,-2.248151,34.2001,10,0
Base5,0,50,-34.2001,-2.248151,34.2001,10,0
Base5,0,51,-34.2001,-2.248151,34.2001,10,0
Base5,1,1,-77.7374,-3.958373,77.7374,0,0
Base5,1,2,-75.2188,-3.350749,75.2188,13,0
Base5,1,3,-71.7165,-3.185300,71.7165,10,0
Base5,1,4,-71.0662,-3.123665,71.0662,9,0
Base5,1,5,-70.5513,-3.124752,70.5513,9,0
Base5,1,6,-69.8800,-3.070349,69.8800,9,0
