lb,compound_equity
5,82.537810
6,88.412440
7,82.870768
8,82.521321
9,76.269452
10,76.269452
11,76.269452
12,76.269452
13,117.616638
14,117.616638
15,117.616638
16,117.616638
17,117.616638
18,120.870810
19,120.870810
20,118.004824
21,50.452897
22,63.321296
23,63.321296
24,63.321296
25,63.321296
26,75.582442
27,70.908597
28,70.908597
29,70.908597
30,70.908597
31,74.837943
32,74.837943
33,74.837943
34,74.837943
35,77.936751
36,77.936751
37,77.936751
38,77.936751
39,77.936751
40,77.936751
41,66.157922
42,46.950405
43,46.950405
44,46.417681
45,47.657402
46,40.572542
47,40.572542
48,40.572542
49,40.572542
50,40.572542
51,40.572542
52,40.572542
53,40.572542
54,40.572542
55,43.044136
56,43.044136
57,50.481562
58,50.481562
59,50.481562
60,50.481562
61,39.211966
62,39.211966
63,39.211966
64,39.514686
65,39.514686
66,39.514686
67,39.514686
68,39.514686
69,39.514686
70,39.514686
71,39.514686
72,39.514686
73,39.514686
74,39.514686
75,39.514686
76,39.514686
77,39.189642
78,39.189642
79,39.189642
80,39.189642
81,43.946237
82,43.946237
83,43.946237
84,43.946237
85,43.946237
86,43.946237
87,43.946237
88,43.946237
89,61.239975
90,61.239975
91,61.239975
92,61.239975
93,61.239975
94,61.239975
95,61.239975
96,61.239975
97,61.239975
98,61.239975
99,61.239975
100,61.239975
101,36.245029
102,36.245029
103,36.245029
104,44.471406
105,44.471406
106,44.471406
107,44.471406
108,44.471406
109,44.471406
110,44.471406
111,44.471406
112,44.471406
113,44.471406
114,44.471406
115,44.471406
116,44.471406
117,44.471406
118,44.471406
119,44.471406
120,44.471406
121,60.003762
122,60.003762
123,60.003762
124,60.003762
125,60.003762
126,60.003762
127,60.003762
128,60.003762
129,60.003762
130,57.984067
131,57.984067
132,57.984067
133,57.984067
134,57.984067
135,57.984067
136,57.984067
137,57.984067
138,57.984067
139,57.984067
140,67.344295
141,91.868791
142,91.868791
143,91.868791
144,91.868791
145,91.868791
146,91.868791
147,91.868791
148,91.868791
149,91.868791
150,91.868791
151,91.868791
152,91.868791
153,91.868791
154,91.868791
155,91.868791
156,91.868791
157,91.868791
158,91.868791
159,91.868791
160,91.868791
161,59.071474
162,59.071474
163,59.071474
164,59.071474
165,59.071474
166,52.491874
167,52.491874
168,52.491874
169,52.491874
170,52.491874
171,52.491874
172,52.491874
173,52.491874
174,52.491874
175,52.491874
176,52.491874
177,52.491874
178,52.491874
179,52.491874
180,52.491874
181,77.398754
182,77.398754
183,77.398754
184,77.398754
185,77.398754
186,77.398754
187,77.398754
188,77.398754
189,77.398754
190,67.668422
191,67.668422
192,67.668422
193,67.668422
194,67.668422
195,68.133314
196,68.133314
197,68.133314
198,68.133314
199,68.133314
200,68.133314
