lb,pass,pass_pct,avg_sharpe,avg_ret,avg_dd,total_trades,pos_universes,base5_equity
5,57,90.48,6.2524,69.5343,1.6088,671,9,82.537810
6,57,90.48,6.1937,70.2548,1.6088,672,9,88.412440
7,56,88.89,6.0499,69.0716,1.9016,673,9,82.870768
8,56,88.89,6.0348,68.9635,1.9016,673,9,82.521321
9,56,88.89,5.9087,68.1316,2.0026,676,9,76.269452
10,56,88.89,5.9072,68.1145,2.0026,676,9,76.269452
11,56,88.89,5.8509,67.0621,2.0660,679,9,76.269452
12,56,88.89,5.8405,67.1613,2.0660,679,9,76.269452
13,56,88.89,5.9657,72.1124,2.0660,682,9,117.616638
14,56,88.89,6.0164,72.2167,1.9617,682,9,117.616638
15,56,88.89,6.0454,73.4179,1.9617,682,9,117.616638
16,56,88.89,6.0454,73.4179,1.9617,682,9,117.616638
17,56,88.89,6.0454,73.4179,1.9617,682,9,117.616638
18,56,88.89,6.0768,72.6709,2.0813,683,9,120.870810
19,56,88.89,5.9671,70.7127,2.1020,691,9,120.870810
20,56,88.89,5.9743,70.8561,2.1115,694,9,118.004824
21,56,88.89,6.6795,64.9425,2.0334,658,9,50.452897
22,56,88.89,7.1256,70.7921,2.0334,663,9,63.321296
23,56,88.89,7.2741,78.6411,2.0334,668,9,63.321296
24,56,88.89,7.2235,78.5330,2.0334,673,9,63.321296
25,56,88.89,7.2160,75.9490,2.0632,679,9,63.321296
26,56,88.89,7.4332,77.0534,1.9533,683,9,75.582442
27,56,88.89,7.5345,76.8840,1.9533,688,9,70.908597
28,56,88.89,7.5787,77.4354,1.9533,688,9,70.908597
29,56,88.89,7.5142,77.1837,1.9533,688,9,70.908597
30,56,88.89,7.4448,76.7490,1.9533,688,9,70.908597
31,59,93.65,7.8354,76.4222,1.6916,691,9,74.837943
32,59,93.65,7.8354,76.4222,1.6916,691,9,74.837943
33,59,93.65,7.8354,76.4222,1.6916,691,9,74.837943
34,59,93.65,7.8558,76.5398,1.6916,693,9,74.837943
35,59,93.65,7.8831,76.6074,1.6916,693,9,77.936751
36,59,93.65,7.8831,76.6074,1.6916,693,9,77.936751
37,59,93.65,7.8831,76.6074,1.6916,693,9,77.936751
38,59,93.65,8.0054,76.8398,1.6916,693,9,77.936751
39,59,93.65,8.0054,76.8398,1.6916,693,9,77.936751
40,59,93.65,8.0475,80.0220,1.6916,695,9,77.936751
41,59,93.65,8.1074,79.8726,1.6185,689,9,66.157922
42,59,93.65,7.5775,72.4064,1.6185,694,9,46.950405
43,59,93.65,7.5775,72.4064,1.6185,694,9,46.950405
44,59,93.65,7.5440,72.1802,1.6185,694,9,46.417681
45,59,93.65,7.6224,72.7067,1.6185,694,9,47.657402
46,59,93.65,7.3729,70.9148,1.6185,696,9,40.572542
47,59,93.65,7.3729,70.9148,1.6185,696,9,40.572542
48,59,93.65,7.3729,70.9148,1.6185,696,9,40.572542
49,59,93.65,7.3729,70.9148,1.6185,696,9,40.572542
50,59,93.65,7.3729,70.9148,1.6185,696,9,40.572542
51,59,93.65,7.3729,70.9148,1.6185,696,9,40.572542
52,59,93.65,7.3729,70.9148,1.6185,696,9,40.572542
53,59,93.65,7.3729,70.9148,1.6185,696,9,40.572542
54,59,93.65,7.3729,70.9148,1.6185,696,9,40.572542
55,59,93.65,7.3597,71.3742,1.6185,698,9,43.044136
56,59,93.65,7.3597,71.3742,1.6185,698,9,43.044136
57,59,93.65,7.3943,72.7566,1.6185,698,9,50.481562
58,59,93.65,7.3943,72.7566,1.6185,698,9,50.481562
59,58,92.06,7.3105,72.2897,1.7352,701,9,50.481562
60,58,92.06,7.2605,71.9615,1.7352,703,9,50.481562
61,57,90.48,6.8916,63.6977,2.2867,688,9,39.211966
62,57,90.48,6.8200,63.0752,2.2867,690,9,39.211966
63,57,90.48,6.8200,63.0752,2.2867,690,9,39.211966
64,57,90.48,6.8612,63.1753,2.2867,691,9,39.514686
65,57,90.48,6.8612,63.1753,2.2867,691,9,39.514686
66,57,90.48,6.8612,63.1753,2.2867,691,9,39.514686
67,57,90.48,6.8042,62.9076,2.2867,692,9,39.514686
68,57,90.48,6.8042,62.9076,2.2867,692,9,39.514686
69,57,90.48,6.8042,62.9076,2.2867,692,9,39.514686
70,57,90.48,6.8042,62.9076,2.2867,692,9,39.514686
71,57,90.48,6.8042,62.9076,2.2867,692,9,39.514686
72,57,90.48,6.8042,62.9076,2.2867,692,9,39.514686
73,57,90.48,6.8042,62.9076,2.2867,692,9,39.514686
74,57,90.48,6.8042,62.9076,2.2867,692,9,39.514686
75,57,90.48,6.8042,62.9076,2.2867,692,9,39.514686
76,57,90.48,6.8042,62.9076,2.2867,692,9,39.514686
77,57,90.48,6.7435,62.6774,2.2867,698,9,39.189642
78,57,90.48,6.7493,63.4946,2.2867,700,9,39.189642
79,57,90.48,6.7493,63.4946,2.2867,700,9,39.189642
80,57,90.48,6.7493,63.4946,2.2867,700,9,39.189642
81,57,90.48,6.0149,64.5053,3.1451,686,9,43.946237
82,57,90.48,6.0149,64.5053,3.1451,686,9,43.946237
83,57,90.48,6.0149,64.5053,3.1451,686,9,43.946237
84,57,90.48,5.9857,64.3356,3.1451,687,9,43.946237
85,57,90.48,5.9857,64.3356,3.1451,687,9,43.946237
86,57,90.48,5.9857,64.3356,3.1451,687,9,43.946237
87,57,90.48,5.9857,64.3356,3.1451,687,9,43.946237
88,57,90.48,6.2316,66.1676,2.6983,692,9,43.946237
89,57,90.48,6.2560,68.8454,2.6983,693,9,61.239975
90,57,90.48,6.2418,68.9745,2.6983,696,9,61.239975
91,57,90.48,6.2418,68.9745,2.6983,696,9,61.239975
92,57,90.48,6.2418,68.9745,2.6983,696,9,61.239975
93,57,90.48,6.2418,68.9745,2.6983,696,9,61.239975
94,57,90.48,6.2418,68.9745,2.6983,696,9,61.239975
95,57,90.48,6.2418,68.9745,2.6983,696,9,61.239975
96,57,90.48,6.2418,68.9745,2.6983,696,9,61.239975
