symbol,entry_bar,exit_bar,entry_date,exit_date,bars_held,entry_price,exit_price,size,pct_ret,equity_mult,exit_reason,hedge_active
BTCUSDT,307,311,2021-06-14 00:00:00,2021-06-18 00:00:00,4,40516.29000000,35819.84000000,0.133333,-0.1166220899,0.9844503880,TURTLE_ATR,true
BTCUSDT,349,350,2021-07-26 00:00:00,2021-07-27 00:00:00,1,37237.60000000,39457.87000000,0.333333,0.0587770513,1.0195923504,TURTLE_ATR,false
BTCUSDT,351,353,2021-07-28 00:00:00,2021-07-30 00:00:00,2,40019.56000000,42206.37000000,0.333333,0.0538001518,1.0179333839,TURTLE_ATR,false
ETHUSDT,351,358,2021-07-28 00:00:00,2021-08-04 00:00:00,7,2300.90000000,2724.78000000,0.333333,0.1832765646,1.0610921882,TURTLE_ATR,false
XRPUSDT,351,363,2021-07-28 00:00:00,2021-08-09 00:00:00,12,0.73270000,0.81700000,0.333333,0.1141622237,1.0380540746,HOLD_MAX,false
ADAUSDT,358,364,2021-08-04 00:00:00,2021-08-10 00:00:00,6,1.37650000,1.67800000,0.333333,0.2180589442,1.0726863147,TURTLE_ATR,false
SOLUSDT,353,365,2021-07-30 00:00:00,2021-08-11 00:00:00,12,32.35400000,41.62100000,0.333333,0.2853964429,1.0951321476,HOLD_MAX,false
XRPUSDT,364,365,2021-08-10 00:00:00,2021-08-11 00:00:00,1,0.85110000,1.01050000,0.333333,0.1863375904,1.0621125301,TURTLE_ATR,false
DOGEUSDT,365,366,2021-08-11 00:00:00,2021-08-12 00:00:00,1,0.26445000,0.26401000,0.333333,-0.0024621802,0.9991792733,TURTLE_ATR,false
ADAUSDT,365,366,2021-08-11 00:00:00,2021-08-12 00:00:00,1,1.79340000,1.83240000,0.333333,0.0209293332,1.0069764444,TURTLE_ATR,false
SOLUSDT,367,369,2021-08-13 00:00:00,2021-08-15 00:00:00,2,44.83000000,53.53100000,0.333333,0.1931338908,1.0643779636,TURTLE_ATR,false
XRPUSDT,369,370,2021-08-15 00:00:00,2021-08-16 00:00:00,1,1.28390000,1.18550000,0.133333,-0.0773798744,0.9896826834,TURTLE_ATR,true
SOLUSDT,371,372,2021-08-17 00:00:00,2021-08-18 00:00:00,1,64.12300000,72.66300000,0.333333,0.1322753590,1.0440917863,TURTLE_ATR,false
SOLUSDT,373,378,2021-08-19 00:00:00,2021-08-24 00:00:00,5,72.76400000,70.52700000,0.333333,-0.0315183201,0.9894938933,TURTLE_ATR,false
BTCUSDT,367,379,2021-08-13 00:00:00,2021-08-25 00:00:00,12,47800.00000000,48973.32000000,0.333333,0.0237271341,1.0079090447,HOLD_MAX,false
ETHUSDT,367,379,2021-08-13 00:00:00,2021-08-25 00:00:00,12,3322.32000000,3226.87000000,0.333333,-0.0295066290,0.9901644570,HOLD_MAX,false
SOLUSDT,381,384,2021-08-27 00:00:00,2021-08-30 00:00:00,3,87.98000000,110.25000000,0.333333,0.2521236107,1.0840412036,TURTLE_ATR,false
ADAUSDT,381,392,2021-08-27 00:00:00,2021-09-07 00:00:00,11,2.94600000,2.51400000,0.333333,-0.1473219266,0.9508926911,TURTLE_ATR,false
SOLUSDT,392,393,2021-09-07 00:00:00,2021-09-08 00:00:00,1,173.46000000,191.02000000,0.333333,0.1003530791,1.0334510264,TURTLE_ATR,false
DOGEUSDT,420,422,2021-10-05 00:00:00,2021-10-07 00:00:00,2,0.25160000,0.24280000,0.333333,-0.0357478630,0.9880840457,TURTLE_ATR,false
SOLUSDT,418,426,2021-10-03 00:00:00,2021-10-11 00:00:00,8,172.98000000,144.77000000,0.333333,-0.1637517036,0.9454160988,TURTLE_ATR,false
XRPUSDT,424,427,2021-10-09 00:00:00,2021-10-12 00:00:00,3,1.16040000,1.10180000,0.133333,-0.0512591241,0.9931654501,TURTLE_ATR,true
BTCUSDT,419,430,2021-10-04 00:00:00,2021-10-15 00:00:00,11,49224.94000000,61672.42000000,0.333333,0.2518674841,1.0839558280,TURTLE_ATR,false
BTCUSDT,435,437,2021-10-20 00:00:00,2021-10-22 00:00:00,2,66001.41000000,60688.22000000,0.133333,-0.0812364639,0.9891684715,TURTLE_ATR,true
ETHUSDT,428,437,2021-10-13 00:00:00,2021-10-22 00:00:00,9,3607.42000000,3972.20000000,0.133333,0.1002388163,1.0133651755,TURTLE_ATR,true
SOLUSDT,435,439,2021-10-20 00:00:00,2021-10-24 00:00:00,4,176.72000000,202.14000000,0.133333,0.1429286592,1.0190571546,TURTLE_ATR,true
SOLUSDT,440,442,2021-10-25 00:00:00,2021-10-27 00:00:00,2,209.70000000,184.49000000,0.133333,-0.1209229041,0.9838769461,TURTLE_ATR,true
DOGEUSDT,439,442,2021-10-24 00:00:00,2021-10-27 00:00:00,3,0.27560000,0.23790000,0.133333,-0.1374827428,0.9816689676,TURTLE_ATR,true
DOGEUSDT,443,444,2021-10-28 00:00:00,2021-10-29 00:00:00,1,0.29970000,0.28820000,0.133333,-0.0391407001,0.9947812400,TURTLE_ATR,true
ETHUSDT,438,450,2021-10-23 00:00:00,2021-11-04 00:00:00,12,4167.12000000,4532.32000000,0.133333,0.0867687021,1.0115691603,HOLD_MAX,true
XRPUSDT,449,452,2021-11-03 00:00:00,2021-11-06 00:00:00,3,1.21010000,1.15100000,0.133333,-0.0495995635,0.9933867249,TURTLE_ATR,true
SOLUSDT,448,456,2021-11-02 00:00:00,2021-11-10 00:00:00,8,220.82000000,233.09000000,0.133333,0.0547215042,1.0072962006,TURTLE_ATR,true
