bar,equity
0,1.00000000
1,1.00000000
2,0.84429697
3,0.84429697
4,0.84429697
5,0.71411467
6,0.71411467
7,0.71392669
8,0.71392669
9,0.44206192
10,0.44207207
11,0.44207207
12,0.47870408
13,0.47870408
14,0.47870408
15,0.47870408
16,0.47870408
17,0.51715670
18,0.51715670
19,0.54185919
20,0.54185919
21,0.54185919
22,0.58790603
23,0.58778707
24,0.58778707
25,0.49715608
26,0.49715608
27,0.49715608
28,0.49691800
29,0.38042071
30,0.30525034
31,0.30525034
32,0.35722340
33,0.30203152
34,0.30309768
35,0.33239459
36,0.36326125
37,0.30612069
38,0.30612069
39,0.25890304
40,0.26829977
41,0.26829977
42,0.26794874
43,0.26794874
44,0.24489559
45,0.28992859
46,0.28992859
47,0.28992859
48,0.28992859
49,0.28992859
50,0.28992859
51,0.28978682
52,0.34536587
53,0.34536587
54,0.34536587
55,0.34545357
56,0.34442462
57,0.23726155
58,0.23726155
59,0.23714472
60,0.23731845
61,0.23731845
62,0.23110042
63,0.18193013
64,0.18193013
65,0.18193013
66,0.18193013
67,0.18193013
68,0.18217355
69,0.12177319
70,0.12179452
71,0.12179452
72,0.12179452
73,0.12179452
74,0.12178298
75,0.08089403
76,0.06842096
77,0.06842123
78,0.06842123
79,0.06842123
80,0.06842123
81,0.06842123
82,0.06840359
83,0.06840359
84,0.06840359
85,0.06840359
86,0.06840359
87,0.06840359
88,0.05776337
89,0.05776337
90,0.05776337
91,0.06339681
92,0.06339387
93,0.06339854
94,0.06334816
95,0.06331821
96,0.06896073
97,0.06896073
98,0.06896073
99,0.06895921
100,0.06895921
101,0.06895921
102,0.07524131
103,0.07524131
104,0.07524131
105,0.07524128
106,0.07524128
107,0.07524128
108,0.08946576
109,0.08946576
110,0.08948080
111,0.08948310
112,0.05417883
113,0.04215580
114,0.04215580
115,0.02163955
116,0.02163955
117,0.02162786
118,0.02162786
119,0.02163132
120,0.02160351
121,0.02160351
122,0.02160351
123,0.02160351
124,0.02160351
125,0.02160351
126,0.02162314
127,0.02162314
128,0.02161024
129,0.02160943
130,0.02160943
131,0.02155416
132,0.02155416
133,0.02155416
134,0.02139341
135,0.02139341
136,0.02325848
137,0.02325848
138,0.02325663
139,0.02325663
140,0.02325663
141,0.02325663
142,0.02325963
143,0.02325963
144,0.02325963
145,0.02544251
146,0.02544347
147,0.02544374
148,0.02544374
149,0.02544374
150,0.02544374
151,0.02544374
152,0.02544374
153,0.02544374
154,0.02543625
155,0.02563833
156,0.02521051
157,0.02525015
158,0.02525015
159,0.02525015
160,0.02525015
161,0.02525015
162,0.02525015
163,0.02525015
164,0.02525015
165,0.02525015
166,0.02525015
167,0.02525955
168,0.02525955
169,0.02525955
170,0.02525955
171,0.02515936
172,0.02515936
173,0.02515707
174,0.02515281
175,0.02725791
176,0.02725791
177,0.02725791
178,0.02725791
179,0.02747371
180,0.01710466
181,0.01708069
182,0.01706916
183,0.01706916
184,0.01706916
185,0.01127754
186,0.01129567
187,0.01129567
188,0.01129567
189,0.01129567
190,0.01129567
191,0.01129562
192,0.01129488
193,0.01129488
194,0.01144195
195,0.01144195
196,0.01144195
197,0.01144194
198,0.01144194
199,0.01144943
200,0.01145096
201,0.01145096
202,0.01144699
203,0.01144518
204,0.01144130
205,0.01144130
206,0.01148159
207,0.01148159
208,0.01148159
209,0.01148050
210,0.01148050
211,0.01150158
212,0.01150158
213,0.01150158
214,0.01150158
215,0.01150158
216,0.01149527
217,0.01149527
218,0.01149527
219,0.01156386
220,0.01156386
221,0.01156386
222,0.01156386
223,0.01156386
224,0.01156365
225,0.01156365
226,0.01156365
227,0.01155281
228,0.01155531
229,0.01150172
230,0.01150172
231,0.01150172
232,0.01152739
233,0.01152792
234,0.01152792
235,0.01152497
236,0.01152485
237,0.01152597
238,0.01152597
239,0.01153804
240,0.01153804
241,0.01153593
242,0.01153593
243,0.01153593
244,0.01153593
245,0.01153593
246,0.01153593
247,0.01165379
248,0.01165379
249,0.01165379
250,0.01165379
251,0.01165379
252,0.01165379
253,0.01165379
254,0.01165379
255,0.01165379
256,0.01165379
257,0.01165379
258,0.01165379
259,0.01163894
260,0.01163894
261,0.01163894
262,0.01163894
263,0.01163894
264,0.01170329
265,0.01170329
266,0.01170358
267,0.01170358
268,0.01170358
269,0.01170358
270,0.01210296
271,0.01210296
272,0.01210296
273,0.01210296
274,0.01210319
275,0.01210319
276,0.01210081
277,0.01210081
278,0.01210081
279,0.01221556
280,0.01221556
281,0.01221556
282,0.01221556
283,0.01231202
284,0.01230646
285,0.00939183
286,0.00939183
287,0.00939183
288,0.00939183
289,0.00939926
290,0.00939926
291,0.00939926
292,0.00939926
293,0.00939926
294,0.00940670
295,0.00940670
296,0.00940381
297,0.00945825
298,0.00945825
299,0.00945825
300,0.00945825
301,0.00947551
302,0.00947551
303,0.00947512
304,0.00947512
305,0.00944884
306,0.00945037
307,0.00945037
308,0.00948283
309,0.00948175
310,0.00948175
311,0.00945112
312,0.00944784
313,0.00944784
314,0.00944788
315,0.00944788
316,0.00944788
317,0.00944788
318,0.00944459
319,0.00944459
320,0.00944539
321,0.00944539
322,0.00954468
323,0.00953698
324,0.00950626
325,0.00950626
326,0.00950626
327,0.00950626
328,0.00950626
329,0.00950271
330,0.00950271
331,0.00950271
332,0.00949835
333,0.00949481
334,0.00949481
335,0.00949481
336,0.00950875
337,0.00951032
338,0.00951032
339,0.00951032
340,0.00951032
341,0.00951032
342,0.00951032
343,0.00950980
344,0.00950980
345,0.00950980
346,0.00959092
347,0.00958999
348,0.00949052
349,0.00948965
350,0.00949508
351,0.00949508
352,0.00949508
353,0.00949508
354,0.00950767
355,0.00950767
356,0.00950767
357,0.00950767
358,0.00950771
359,0.00936941
360,0.00936941
361,0.00939382
362,0.00939382
363,0.00939597
364,0.00939597
365,0.00939597
366,0.00939597
367,0.00939597
368,0.00939597
369,0.00939597
370,0.00939597
371,0.00940118
372,0.00940040
373,0.00940040
374,0.00939913
375,0.00939913
376,0.00939627
377,0.00939627
378,0.00939627
379,0.00938869
380,0.00938869
381,0.00938868
382,0.00938868
383,0.00938868
384,0.00938868
385,0.00938868
386,0.00938868
387,0.01110023
388,0.01111314
389,0.00792892
390,0.00791969
391,0.00791969
392,0.00791969
393,0.00791969
394,0.00791456
395,0.00791456
396,0.00791456
397,0.00790362
398,0.00790307
399,0.00789732
400,0.00789732
401,0.00789732
402,0.00789728
403,0.01003167
404,0.01003167
405,0.01003100
406,0.01185964
407,0.01185964
408,0.01781127
409,0.01781127
410,0.02105824
411,0.02508057
412,0.02480466
413,0.02480466
414,0.02932652
415,0.03467099
416,0.03467099
417,0.04844754
418,0.04844754
419,0.04850939
420,0.04852241
421,0.04852241
422,0.04852241
423,0.04852250
424,0.04850062
425,0.04850062
426,0.05734223
427,0.05743893
428,0.05743893
429,0.05743893
430,0.05734613
431,0.05734613
432,0.05737776
433,0.06763138
434,0.06759116
435,0.08585903
436,0.08578370
437,0.08582711
438,0.08582480
439,0.12696549
440,0.12695767
441,0.12725458
442,0.15065872
443,0.17820806
444,0.21069500
445,0.24783574
446,0.24785543
447,0.29303919
448,0.37223895
449,0.44009769
450,0.44009769
451,0.55944212
452,0.56189193
453,0.56196075
454,0.66440555
455,0.66440532
456,0.65429019
457,0.65429019
458,0.65429019
459,0.65429019
460,0.65429019
461,0.65429019
462,0.65429019
463,0.65429019
464,0.65429019
465,0.65423471
466,0.65423471
467,0.65423471
