universe,min_trades,window_idx,cumulative_equity
Base5,1,0,4.178590
Base5,1,1,12.415397
Base5,1,2,19.623670
Base5,1,3,63.279823
Base5,1,4,62.122484
Base5,1,5,66.312104
Base5,2,0,4.178590
Base5,2,1,12.415397
Base5,2,2,19.623670
Base5,2,3,63.279823
Base5,2,4,62.122484
Base5,2,5,66.312104
Base5,3,0,4.178590
Base5,3,1,12.415397
Base5,3,2,19.623670
Base5,3,3,63.279823
Base5,3,4,62.122484
Base5,3,5,66.312104
NoDOGE,1,0,4.178590
NoDOGE,1,1,3.242580
NoDOGE,1,2,6.714471
NoDOGE,1,3,49.504354
NoDOGE,1,4,54.115337
NoDOGE,1,5,58.469225
NoDOGE,2,0,4.178590
NoDOGE,2,1,3.242580
NoDOGE,2,2,6.714471
NoDOGE,2,3,49.504354
NoDOGE,2,4,54.115337
NoDOGE,2,5,58.469225
NoDOGE,3,0,4.178590
NoDOGE,3,1,3.242580
NoDOGE,3,2,6.714471
NoDOGE,3,3,49.504354
NoDOGE,3,4,54.115337
NoDOGE,3,5,58.469225
Legacy4,1,0,2.594558
Legacy4,1,1,2.846037
Legacy4,1,2,4.371843
Legacy4,1,3,10.026280
Legacy4,1,4,9.969340
Legacy4,1,5,5.632345
Legacy4,2,0,2.594558
Legacy4,2,1,2.846037
Legacy4,2,2,4.371843
Legacy4,2,3,10.026280
Legacy4,2,4,9.969340
Legacy4,2,5,5.632345
Legacy4,3,0,2.594558
Legacy4,3,1,2.846037
Legacy4,3,2,4.371843
Legacy4,3,3,10.026280
Legacy4,3,4,9.969340
Legacy4,3,5,5.632345
Legacy5BNB,1,0,3.283954
Legacy5BNB,1,1,5.007321
Legacy5BNB,1,2,6.171628
Legacy5BNB,1,3,14.275733
Legacy5BNB,1,4,27.734663
Legacy5BNB,1,5,22.361808
Legacy5BNB,2,0,3.283954
Legacy5BNB,2,1,5.007321
Legacy5BNB,2,2,6.171628
Legacy5BNB,2,3,14.275733
Legacy5BNB,2,4,27.734663
Legacy5BNB,2,5,22.361808
Legacy5BNB,3,0,3.283954
Legacy5BNB,3,1,5.007321
Legacy5BNB,3,2,6.171628
Legacy5BNB,3,3,14.275733
Legacy5BNB,3,4,27.734663
Legacy5BNB,3,5,22.361808
OldGuardNoBNB,1,0,2.125959
OldGuardNoBNB,1,1,1.861989
OldGuardNoBNB,1,2,2.863461
OldGuardNoBNB,1,3,6.566992
OldGuardNoBNB,1,4,5.642962
OldGuardNoBNB,1,5,2.310200
OldGuardNoBNB,2,0,2.125959
OldGuardNoBNB,2,1,1.861989
OldGuardNoBNB,2,2,2.863461
OldGuardNoBNB,2,3,6.566992
OldGuardNoBNB,2,4,5.642962
OldGuardNoBNB,2,5,2.310200
OldGuardNoBNB,3,0,2.125959
OldGuardNoBNB,3,1,1.861989
OldGuardNoBNB,3,2,2.863461
OldGuardNoBNB,3,3,6.566992
OldGuardNoBNB,3,4,5.642962
OldGuardNoBNB,3,5,2.310200
LargeCaps5,1,0,5.364705
LargeCaps5,1,1,4.651064
LargeCaps5,1,2,5.799200
LargeCaps5,1,3,45.259953
LargeCaps5,1,4,71.707576
LargeCaps5,1,5,77.476861
LargeCaps5,2,0,5.364705
LargeCaps5,2,1,4.651064
LargeCaps5,2,2,5.799200
LargeCaps5,2,3,45.259953
LargeCaps5,2,4,71.707576
LargeCaps5,2,5,77.476861
LargeCaps5,3,0,5.364705
LargeCaps5,3,1,4.651064
LargeCaps5,3,2,5.799200
LargeCaps5,3,3,45.259953
LargeCaps5,3,4,71.707576
LargeCaps5,3,5,77.476861
Legacy3,1,0,2.622717
Legacy3,1,1,3.155289
Legacy3,1,2,4.973812
Legacy3,1,3,4.821215
Legacy3,1,4,2.481588
Legacy3,1,5,0.993917
Legacy3,2,0,2.622717
Legacy3,2,1,3.155289
Legacy3,2,2,4.973812
Legacy3,2,3,4.821215
Legacy3,2,4,2.481588
Legacy3,2,5,0.993917
Legacy3,3,0,2.622717
Legacy3,3,1,3.155289
Legacy3,3,2,4.973812
Legacy3,3,3,4.821215
Legacy3,3,4,2.481588
Legacy3,3,5,0.993917
LowVolume5,1,0,3.196603
LowVolume5,1,1,3.966749
LowVolume5,1,2,17.391927
LowVolume5,1,3,40.300459
LowVolume5,1,4,28.172146
LowVolume5,1,5,14.166950
LowVolume5,2,0,3.196603
LowVolume5,2,1,3.966749
LowVolume5,2,2,17.391927
LowVolume5,2,3,40.300459
LowVolume5,2,4,28.172146
LowVolume5,2,5,14.166950
LowVolume5,3,0,3.196603
LowVolume5,3,1,3.966749
LowVolume5,3,2,17.391927
LowVolume5,3,3,40.300459
LowVolume5,3,4,28.172146
LowVolume5,3,5,14.166950
OldGuard4,1,0,3.295700
OldGuard4,1,1,5.412648
OldGuard4,1,2,10.196441
OldGuard4,1,3,9.883612
OldGuard4,1,4,4.947524
OldGuard4,1,5,1.621828
OldGuard4,2,0,3.295700
OldGuard4,2,1,5.412648
OldGuard4,2,2,10.196441
OldGuard4,2,3,9.883612
OldGuard4,2,4,4.947524
OldGuard4,2,5,1.621828
OldGuard4,3,0,3.295700
OldGuard4,3,1,5.412648
OldGuard4,3,2,10.196441
OldGuard4,3,3,9.883612
OldGuard4,3,4,4.947524
OldGuard4,3,5,1.621828
