bar,equity
0,1.00000000
1,1.00000000
2,1.00000000
3,1.00000000
4,1.00000000
5,0.81113083
6,0.81113083
7,0.81077502
8,0.81077502
9,0.57918233
10,0.57920360
11,0.57920360
12,0.63980680
13,0.63980680
14,0.63980680
15,0.63980680
16,0.63980680
17,0.70468112
18,0.70468112
19,0.74676672
20,0.74676672
21,0.74676672
22,0.82691676
23,0.82663791
24,0.82663791
25,0.67051149
26,0.67051149
27,0.67051149
28,0.67005029
29,0.47982367
30,0.36422499
31,0.36422499
32,0.44332725
33,0.35937518
34,0.35937791
35,0.40331145
36,0.45670075
37,0.45660014
38,0.45660014
39,0.45655259
40,0.47736071
41,0.47736071
42,0.47636962
43,0.47636962
44,0.43067939
45,0.53185310
46,0.53185310
47,0.53185310
48,0.53185310
49,0.53185310
50,0.53185310
51,0.53148160
52,0.66600262
53,0.66600262
54,0.66600262
55,0.66624424
56,0.66341114
57,0.41728939
58,0.41728939
59,0.41699587
60,0.41743236
61,0.41743236
62,0.40220089
63,0.28773221
64,0.28773221
65,0.28773221
66,0.28773221
67,0.28773221
68,0.28839261
69,0.16420872
70,0.16424981
71,0.16424981
72,0.16424981
73,0.16424981
74,0.16422491
75,0.09848010
76,0.07988024
77,0.07988074
78,0.07988074
79,0.07988074
80,0.07988074
81,0.07988074
82,0.07988074
83,0.07988074
84,0.07988074
85,0.07988074
86,0.07988074
87,0.07988074
88,0.06479368
89,0.06479368
90,0.06479368
91,0.07281093
92,0.07280552
93,0.07281455
94,0.07275891
95,0.07270142
96,0.07270142
97,0.07270142
98,0.07270142
99,0.07269884
100,0.07269884
101,0.07269884
102,0.08112831
103,0.08112831
104,0.08112831
105,0.08112831
106,0.08112831
107,0.08112831
108,0.10075866
109,0.10075866
110,0.10078285
111,0.10078700
112,0.05181121
113,0.05197615
114,0.05197615
115,0.02258358
116,0.02258358
117,0.02259345
118,0.02259345
119,0.02259862
120,0.02256877
121,0.02256877
122,0.02256877
123,0.02256877
124,0.02256877
125,0.02256877
126,0.02260296
127,0.02260296
128,0.02258050
129,0.02257914
130,0.02257914
131,0.02256875
132,0.02256875
133,0.02256875
134,0.02233355
135,0.02233355
136,0.02232233
137,0.02232233
138,0.02231949
139,0.02231949
140,0.02231949
141,0.02231949
142,0.02231949
143,0.02231949
144,0.02231949
145,0.02496782
146,0.02496941
147,0.02496982
148,0.02496982
149,0.02496982
150,0.02496982
151,0.02496982
152,0.02496982
153,0.02496982
154,0.02495757
155,0.02524130
156,0.02465361
157,0.02465361
158,0.02465361
159,0.02465361
160,0.02465361
161,0.02465361
162,0.02465361
163,0.02465361
164,0.02465361
165,0.02465361
166,0.02465361
167,0.02466891
168,0.02466891
169,0.02466891
170,0.02466891
171,0.02462635
172,0.02462635
173,0.02462277
174,0.02461582
175,0.02721741
176,0.02721741
177,0.02721741
178,0.02721741
179,0.02721741
180,0.01505196
181,0.01505196
182,0.01503503
183,0.01503503
184,0.01503503
185,0.00894651
186,0.00894651
187,0.00894651
188,0.00894651
189,0.00894651
190,0.00894651
191,0.00894645
192,0.00894551
193,0.00894551
194,0.00891733
195,0.00891733
196,0.00891733
197,0.00891733
198,0.00891733
199,0.00892707
200,0.00892866
201,0.00892866
202,0.00892424
203,0.00892223
204,0.00891741
205,0.00891741
206,0.00895871
207,0.00895871
208,0.00895871
209,0.00895803
210,0.00895803
211,0.00898435
212,0.00898435
213,0.00898435
214,0.00898435
215,0.00898435
216,0.00897732
217,0.00897732
218,0.00897732
219,0.00905357
220,0.00905357
221,0.00905357
222,0.00905357
223,0.00905357
224,0.00905334
225,0.00905334
226,0.00905334
227,0.00904122
228,0.00904401
229,0.00898414
230,0.00898414
231,0.00898414
232,0.00901223
233,0.00901289
234,0.00901289
235,0.00900959
236,0.00900947
237,0.00901086
238,0.00901086
239,0.00900900
240,0.00900900
241,0.00900625
242,0.00900625
243,0.00900625
244,0.00900625
245,0.00900625
246,0.00900625
247,0.00913533
248,0.00913533
249,0.00913533
250,0.00913533
251,0.00913533
252,0.00913533
253,0.00913533
254,0.00913533
255,0.00913533
256,0.00913533
257,0.00913533
258,0.00913533
259,0.00913533
260,0.00913533
261,0.00913533
262,0.00913533
263,0.00913533
264,0.00922156
265,0.00922156
266,0.00922192
267,0.00922192
268,0.00922192
269,0.00922192
270,0.00966548
271,0.00966548
272,0.00966548
273,0.00966548
274,0.00966577
275,0.00966577
276,0.00966305
277,0.00966305
278,0.00966305
279,0.00979158
280,0.00979158
281,0.00979158
282,0.00979158
283,0.00979158
284,0.00978878
285,0.00670490
286,0.00670490
287,0.00670490
288,0.00670490
289,0.00671339
290,0.00671339
291,0.00671339
292,0.00671339
293,0.00671339
294,0.00672073
295,0.00672073
296,0.00671779
297,0.00678273
298,0.00678273
299,0.00678273
300,0.00678273
301,0.00680255
302,0.00680255
303,0.00680255
304,0.00680255
305,0.00677561
306,0.00677744
307,0.00677744
308,0.00677744
309,0.00677744
310,0.00677744
311,0.00677744
312,0.00677368
313,0.00677368
314,0.00677368
315,0.00677368
316,0.00677368
317,0.00677368
318,0.00676976
319,0.00676976
320,0.00677070
321,0.00677070
322,0.00687422
323,0.00686885
324,0.00683202
325,0.00683202
326,0.00683202
327,0.00683202
328,0.00683202
329,0.00682777
330,0.00682777
331,0.00682777
332,0.00682276
333,0.00681852
334,0.00681852
335,0.00681852
336,0.00683283
337,0.00683459
338,0.00683459
339,0.00683459
340,0.00683459
341,0.00683459
342,0.00683459
343,0.00683396
344,0.00683396
345,0.00683396
346,0.00683396
347,0.00683285
348,0.00673183
349,0.00673183
350,0.00673183
351,0.00673183
352,0.00673183
353,0.00673183
354,0.00674458
355,0.00674458
356,0.00674458
357,0.00674458
358,0.00674458
359,0.00674458
360,0.00674458
361,0.00676970
362,0.00676970
363,0.00677191
364,0.00677191
365,0.00677191
366,0.00677191
367,0.00677191
368,0.00677191
369,0.00677191
370,0.00677191
371,0.00677728
372,0.00677647
373,0.00677647
374,0.00677517
375,0.00677517
376,0.00677222
377,0.00677222
378,0.00677222
379,0.00676442
380,0.00676442
381,0.00676441
382,0.00676441
383,0.00676441
384,0.00676441
385,0.00676441
386,0.00676441
387,0.00833948
388,0.00835565
389,0.00828495
390,0.00826897
391,0.00826897
392,0.00826897
393,0.00826897
394,0.00826121
395,0.00826121
396,0.00826121
397,0.00824219
398,0.00824124
399,0.00824124
400,0.00824124
401,0.00824124
402,0.00824117
403,0.01151976
404,0.01151976
405,0.01151976
406,0.01420210
407,0.01420210
408,0.02447463
409,0.02447463
410,0.03017347
411,0.03758708
412,0.03699777
413,0.03699777
414,0.04561258
415,0.05621020
416,0.05621020
417,0.08543451
418,0.08543451
419,0.08561636
420,0.08565467
421,0.08565467
422,0.08565467
423,0.08565492
424,0.08559313
425,0.08559313
426,0.10552321
427,0.10583042
428,0.10583042
429,0.10583042
430,0.10572441
431,0.10572441
432,0.10581772
433,0.12981499
434,0.12981499
435,0.18145936
436,0.18118306
437,0.18131388
438,0.18130574
439,0.30776157
440,0.30773123
441,0.30893165
442,0.38182291
443,0.47104787
444,0.58072910
445,0.70988298
446,0.70997319
447,0.70997319
448,0.99242225
449,0.99242225
450,0.99242225
451,0.99360350
452,0.99982506
