min_trades,avg_sharpe,pass_count,total_windows,pass_rate_pct,avg_return_pct,avg_max_dd_pct,total_trades,avg_win_rate_pct
1,2.8317,37,54,68.5,94.5,33.2,903,47.0
2,2.8317,37,54,68.5,94.5,33.2,903,47.0
3,2.8317,37,54,68.5,94.5,33.2,903,47.0
4,2.8317,37,54,68.5,94.5,33.2,903,47.0
5,2.8317,37,54,68.5,94.5,33.2,903,47.0
6,2.8317,37,54,68.5,94.5,33.2,903,47.0
7,2.8317,37,54,68.5,94.5,33.2,903,47.0
8,2.8317,37,54,68.5,94.5,33.2,903,47.0
10,2.8317,37,54,68.5,94.5,33.2,903,47.0
12,2.8317,36,54,66.7,94.5,33.2,903,47.0
15,2.8317,31,54,57.4,94.5,33.2,903,47.0
20,2.8317,7,54,13.0,94.5,33.2,903,47.0
