universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
Base5,W0,315.59,7.05,45.68,10,70.0,true
Base5,W1,87.25,3.61,45.59,11,27.3,true
Base5,W2,13.01,2.18,35.75,10,40.0,true
Base5,W3,-45.86,-1.93,60.45,15,53.3,false
Base5,W4,188.37,9.53,11.68,10,70.0,true
Base5,W5,56.72,5.70,16.24,9,55.6,true
Base5,W6,351.92,7.79,16.24,19,63.2,true
NoDOGE,W0,315.59,7.05,45.68,10,70.0,true
NoDOGE,W1,5.99,2.27,19.72,7,42.9,true
NoDOGE,W2,186.64,7.69,28.76,9,66.7,true
NoDOGE,W3,-30.28,-1.00,49.06,14,57.1,false
NoDOGE,W4,188.37,9.53,11.68,10,70.0,true
NoDOGE,W5,7.97,1.96,16.24,8,50.0,true
NoDOGE,W6,211.34,6.58,16.24,18,61.1,true
Legacy4,W0,1.88,1.36,33.58,10,40.0,true
Legacy4,W1,77.16,7.28,11.77,11,63.6,true
Legacy4,W2,58.86,3.91,26.61,10,50.0,true
Legacy4,W3,124.44,6.22,41.61,10,70.0,true
Legacy4,W4,55.40,6.21,23.38,10,60.0,true
Legacy4,W5,-1.88,1.06,22.37,6,50.0,false
Legacy4,W6,52.48,3.77,24.81,16,56.2,true
Legacy5BNB,W0,-16.37,-0.25,33.58,11,36.4,false
Legacy5BNB,W1,49.80,4.60,27.24,14,50.0,true
Legacy5BNB,W2,58.86,3.91,26.61,10,50.0,true
Legacy5BNB,W3,124.44,6.22,41.61,10,70.0,true
Legacy5BNB,W4,174.07,13.27,12.14,11,81.8,true
Legacy5BNB,W5,10.60,3.51,16.15,5,60.0,true
Legacy5BNB,W6,203.13,9.79,16.15,16,75.0,true
OldGuardNoBNB,W0,15.19,2.22,20.97,11,36.4,true
OldGuardNoBNB,W1,48.12,4.10,27.22,12,58.3,true
OldGuardNoBNB,W2,32.64,2.74,38.85,12,50.0,true
OldGuardNoBNB,W3,124.44,6.22,41.61,10,70.0,true
OldGuardNoBNB,W4,55.40,6.21,23.38,10,60.0,true
OldGuardNoBNB,W5,55.02,5.04,22.37,8,62.5,true
OldGuardNoBNB,W6,140.89,5.28,24.81,18,61.1,true
LargeCaps5,W0,241.13,6.08,45.68,11,63.6,true
LargeCaps5,W1,36.27,4.34,20.70,10,50.0,true
LargeCaps5,W2,186.64,7.69,28.76,9,66.7,true
LargeCaps5,W3,-30.28,-1.00,49.06,14,57.1,false
LargeCaps5,W4,250.73,8.58,20.93,12,66.7,true
LargeCaps5,W5,7.97,1.96,16.24,8,50.0,true
LargeCaps5,W6,278.67,6.42,33.70,20,60.0,true
Legacy3,W0,1.88,1.36,33.58,10,40.0,true
Legacy3,W1,90.99,7.31,23.19,11,63.6,true
Legacy3,W2,125.64,5.77,24.67,11,54.5,true
Legacy3,W3,212.38,7.56,40.13,11,72.7,true
Legacy3,W4,16.52,2.57,35.07,10,50.0,true
Legacy3,W5,6.09,2.56,22.37,4,50.0,true
Legacy3,W6,23.61,2.55,35.07,14,50.0,true
LowVolume5,W0,9.74,1.88,36.19,13,30.8,true
LowVolume5,W1,77.27,5.52,43.19,10,60.0,true
LowVolume5,W2,213.29,6.91,24.89,12,58.3,true
LowVolume5,W3,91.31,4.41,40.13,14,64.3,true
LowVolume5,W4,3.06,1.57,35.07,11,45.5,true
LowVolume5,W5,66.78,7.39,11.78,6,50.0,true
LowVolume5,W6,71.89,3.70,35.29,17,47.1,true
OldGuard4,W0,29.47,3.26,18.41,11,45.5,true
OldGuard4,W1,127.81,7.15,27.22,11,72.7,true
OldGuard4,W2,81.90,4.29,23.35,12,58.3,true
OldGuard4,W3,168.07,6.42,40.13,12,66.7,true
OldGuard4,W4,75.87,5.69,35.07,11,54.5,true
OldGuard4,W5,83.95,7.95,16.27,7,57.1,true
OldGuard4,W6,223.52,6.57,35.07,18,55.6,true
