step,cap_1,cap_2,cap_3,cap_4,cap_5,cap_6,cap_7,cap_8,cap_9,cap_10
0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.309725,1.309725,1.309725,1.309725,1.309725,1.309725,1.309725,1.309725,1.309725
3,1.156298,1.309725,1.309725,1.309725,1.103489,1.103489,1.103489,1.103489,1.103489,1.103489
4,1.156298,1.309725,1.309725,1.309725,1.103489,1.103489,1.103489,1.103489,1.103489,1.103489
5,1.156298,1.309725,1.309725,1.309725,1.103489,1.103489,1.103489,1.103489,1.103489,1.103489
6,1.156298,1.309725,1.309725,1.309725,1.103489,1.103489,1.103489,1.103489,1.103489,1.103489
7,1.156298,1.309725,0.894807,0.894807,1.103489,1.103489,1.103489,1.103489,1.103489,1.103489
8,1.156298,1.309725,0.894807,0.894807,1.103489,1.103489,1.103489,1.103489,1.103489,1.103489
9,1.156298,1.309725,0.894807,0.894807,1.103489,1.103489,1.103489,1.103489,1.103489,1.103489
10,1.156298,1.309725,0.894807,0.894807,1.103489,1.103489,1.103489,1.103489,1.103489,1.103489
11,1.156298,1.309725,0.894807,0.894807,1.103489,1.335791,1.335791,1.335791,1.335791,1.335791
12,1.156298,1.309725,0.894807,0.894807,1.103489,1.307835,1.307835,1.307835,1.307835,1.307835
13,1.156298,1.309725,0.894807,0.864789,1.066471,1.307835,1.307835,1.307835,1.307835,1.307835
14,1.156298,1.309725,0.894807,0.864789,1.066471,1.307835,1.307835,1.307835,1.307835,1.307835
15,1.156298,1.309725,0.894807,0.864789,1.066471,1.549070,1.549070,1.549070,1.549070,1.549070
16,0.676506,0.766270,0.894807,0.864789,1.066471,1.234343,1.234343,1.234343,1.234343,1.234343
17,0.676506,0.766270,0.894807,0.864789,0.982817,1.440008,1.440008,1.440008,1.440008,1.440008
18,0.676506,0.766270,0.894807,0.864789,0.982817,2.651000,2.651000,2.651000,2.651000,2.651000
19,0.676506,0.766270,0.894807,0.864789,0.982817,4.322543,4.322543,4.322543,4.322543,4.322543
20,0.676506,0.766270,0.894807,0.864789,0.982817,4.496448,4.496448,4.496448,4.496448,4.496448
21,0.676506,0.766270,0.894807,0.864789,0.982817,4.496448,4.496448,4.496448,4.496448,4.496448
22,0.676506,0.766270,0.894807,0.864789,0.982817,4.496448,4.496448,4.496448,4.496448,4.496448
23,0.676506,0.766270,0.894807,0.864789,0.982817,4.640932,4.640932,4.640932,4.640932,4.640932
24,0.676506,0.766270,0.894807,0.864789,0.896971,4.226687,4.226687,4.226687,4.226687,4.226687
