step,cap_3,cap_1,cap_2,cap_4
0,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000
2,1.309725,1.000000,1.309725,1.309725
3,1.309725,1.156298,1.309725,1.309725
4,1.309725,1.156298,1.309725,1.309725
5,1.309725,1.156298,1.309725,1.309725
6,1.309725,1.156298,1.309725,1.309725
7,0.894807,1.156298,1.309725,0.894807
8,0.894807,1.156298,1.309725,0.894807
9,0.894807,1.156298,1.309725,0.894807
10,0.894807,1.156298,1.309725,0.894807
11,0.894807,1.156298,1.309725,0.894807
12,0.894807,1.156298,1.309725,0.894807
13,0.894807,1.156298,1.309725,0.864789
14,0.894807,1.156298,1.309725,0.864789
15,0.894807,1.156298,1.309725,0.864789
16,0.894807,0.676506,0.766270,0.864789
17,0.894807,0.676506,0.766270,0.864789
18,0.894807,0.676506,0.766270,0.864789
19,0.894807,0.676506,0.766270,0.864789
20,0.894807,0.676506,0.766270,0.864789
21,0.894807,0.676506,0.766270,0.864789
22,0.894807,0.676506,0.766270,0.864789
23,0.894807,0.676506,0.766270,0.864789
24,0.894807,0.676506,0.766270,0.864789
25,0.894807,0.676506,0.766270,0.864789
26,0.894807,0.676506,0.766270,0.864789
27,0.894807,0.676506,0.766270,0.864789
28,0.894807,0.676506,0.766270,1.024302
29,0.894807,0.676506,0.766270,0.816193
30,0.894807,0.676506,0.766270,0.816193
31,0.894807,0.676506,0.766270,0.816193
32,0.894807,0.676506,0.766270,0.816193
33,0.894807,0.676506,0.766270,0.816193
34,0.894807,0.676506,0.766270,0.816193
35,0.894807,0.676506,0.766270,0.744949
36,0.894807,0.676506,0.766270,1.262320
37,0.894807,0.676506,0.766270,1.262320
38,0.894807,0.676506,0.766270,1.184802
39,0.894807,0.676506,0.766270,1.184802
40,0.894807,0.676506,0.766270,1.184802
41,1.059857,0.676506,0.766270,1.184802
42,0.844524,0.676506,0.766270,1.184802
43,0.844524,0.676506,0.766270,1.184802
44,0.844524,0.676506,0.766270,1.184802
45,0.844524,0.676506,0.766270,1.184802
46,0.844524,0.676506,0.766270,1.213570
47,0.844524,0.676506,0.766270,1.491639
48,0.844524,0.676506,0.766270,1.491639
49,0.844524,0.676506,0.766270,1.491639
50,1.072869,0.676506,0.766270,1.491639
51,1.792982,0.676506,0.766270,1.491639
52,3.829294,0.676506,0.766270,1.491639
53,3.829294,0.676506,0.766270,1.491639
54,3.829294,0.676506,0.766270,1.863873
55,3.829294,0.676506,0.766270,1.677539
56,3.829294,0.676506,0.766270,1.677539
57,3.829294,0.676506,0.766270,1.677539
58,3.829294,0.676506,0.766270,1.677539
59,3.922274,0.676506,0.766270,1.677539
60,4.820994,0.676506,0.766270,1.677539
61,4.820994,0.676506,0.766270,1.677539
62,4.820994,0.676506,0.766270,1.677539
63,4.820994,0.676506,0.766270,1.677539
64,4.820994,0.676506,0.766270,1.677539
65,4.820994,0.676506,0.766270,1.537172
66,4.820994,0.676506,0.766270,1.537172
67,6.024060,0.676506,0.766270,1.537172
68,5.421827,0.676506,0.766270,1.537172
69,5.421827,0.676506,0.766270,1.537172
70,5.421827,0.676506,0.766270,1.537172
71,5.421827,0.676506,0.766270,1.537172
72,5.421827,0.676506,0.766270,2.163985
73,5.421827,0.676506,0.766270,2.163985
74,5.421827,0.676506,0.766270,2.163985
75,5.421827,0.676506,0.766270,2.163985
76,5.421827,0.859422,0.973457,2.163985
77,5.421827,1.436268,1.626844,2.163985
78,4.968157,3.067456,3.474470,2.163985
79,4.968157,3.067456,3.474470,2.163985
80,4.968157,3.067456,3.474470,2.163985
81,4.968157,3.067456,3.474470,2.163985
82,4.968157,3.067456,3.474470,2.163985
83,4.968157,3.067456,3.474470,2.163985
84,4.968157,3.067456,3.474470,2.163985
85,6.994026,3.067456,3.558835,2.163985
86,6.994026,3.067456,4.374279,2.163985
87,6.994026,3.067456,4.374279,2.163985
88,6.994026,3.067456,4.374279,2.163985
89,6.994026,3.067456,4.374279,2.163985
90,6.994026,3.067456,4.374279,2.163985
91,6.994026,3.067456,4.374279,2.163985
92,6.994026,3.067456,4.374279,2.163985
93,6.994026,3.067456,5.465869,2.163985
94,6.994026,3.067456,4.919439,2.163985
95,6.994026,3.067456,4.919439,2.163985
96,6.994026,3.067456,4.919439,2.163985
97,6.994026,3.067456,4.919439,2.170610
98,6.994026,3.067456,4.919439,2.028962
99,6.994026,3.067456,4.919439,2.028962
100,6.994026,3.067456,4.919439,2.028962
101,6.994026,3.067456,4.919439,2.028962
102,6.994026,2.793658,4.919439,2.028962
103,6.994026,2.793658,4.919439,2.028962
104,6.994026,2.793658,4.507806,2.028962
105,6.994026,2.793658,4.507806,2.028962
106,6.994026,3.490808,4.507806,2.028962
107,6.994026,3.141828,4.507806,2.028962
108,6.994026,3.141828,4.507806,2.028962
109,6.994026,3.141828,4.507806,2.028962
110,6.994026,3.141828,4.507806,2.028962
111,6.994026,3.141828,6.345958,2.028962
112,6.994026,3.141828,6.345958,2.028962
113,6.994026,3.141828,6.345958,2.028962
114,6.994026,3.141828,6.345958,2.028962
115,6.994026,3.141828,6.345958,2.028962
116,6.994026,3.141828,6.345958,4.033115
117,6.994026,2.878936,6.345958,3.370234
118,6.994026,2.878936,6.345958,3.370234
119,6.994026,2.878936,6.345958,3.370234
120,6.994026,2.878936,6.345958,3.370234
121,6.994026,2.878936,6.345958,3.370234
122,6.994026,2.878936,6.345958,3.370234
123,6.994026,2.878936,6.345958,3.370234
124,6.537616,2.878936,6.345958,3.370234
125,6.537616,2.878936,6.345958,3.370234
126,6.537616,2.878936,6.345958,3.370234
127,6.537616,2.878936,6.345958,3.370234
128,6.537616,2.878936,6.345958,3.370234
129,6.537616,3.611860,6.345958,3.076115
130,6.537616,3.611860,6.345958,2.843542
131,6.537616,3.611860,6.345958,2.843542
132,6.537616,3.611860,6.345958,18.053542
133,6.537616,3.611860,6.345958,18.053542
134,6.537616,3.611860,6.345958,18.053542
135,6.537616,3.611860,6.345958,18.053542
136,6.537616,3.611860,6.345958,18.053542
137,6.537616,3.611860,6.345958,18.053542
138,6.537616,3.611860,6.345958,18.053542
139,6.537616,3.611860,6.345958,18.053542
140,6.537616,3.611860,6.345958,18.053542
141,6.537616,3.611860,6.345958,18.053542
142,12.995293,3.611860,6.345958,18.053542
143,12.995293,3.611860,6.345958,18.053542
144,12.995293,3.611860,6.345958,18.053542
145,12.995293,3.611860,6.345958,18.053542
146,14.345371,3.611860,6.345958,21.009706
147,14.345371,3.611860,6.345958,21.009706
148,14.345371,3.611860,6.345958,21.009706
149,14.345371,3.611860,6.345958,21.009706
150,14.345371,3.611860,5.931839,21.009706
151,14.345371,3.611860,5.931839,21.009706
152,14.345371,3.611860,5.931839,21.009706
153,14.345371,3.611860,5.931839,21.009706
154,14.345371,3.611860,5.931839,21.009706
155,13.093456,3.611860,5.931839,21.009706
156,12.103512,3.611860,5.931839,21.009706
157,12.103512,3.611860,5.931839,21.009706
158,76.844739,3.611860,5.931839,21.009706
159,76.844739,3.611860,5.931839,21.009706
160,76.844739,3.611860,5.931839,21.009706
161,76.844739,3.611860,5.931839,21.009706
162,76.844739,3.611860,5.931839,23.565373
163,76.844739,3.611860,5.931839,23.565373
164,76.844739,3.611860,5.931839,23.565373
165,76.844739,3.611860,5.931839,23.565373
166,76.844739,3.611860,5.931839,23.565373
167,76.844739,3.611860,5.931839,23.565373
168,76.844739,3.376160,11.791146,23.565373
169,76.844739,3.376160,11.791146,23.565373
170,76.844739,3.376160,11.791146,23.565373
171,76.844739,3.376160,11.791146,24.766038
172,89.427626,3.376160,13.016125,23.392567
173,89.427626,3.376160,13.016125,23.392567
174,89.427626,3.376160,13.016125,23.392567
175,89.427626,3.376160,13.016125,23.392567
176,89.427626,3.376160,13.016125,23.392567
177,89.427626,3.376160,13.016125,23.392567
178,89.427626,3.376160,13.016125,23.392567
179,89.427626,3.376160,13.016125,23.392567
180,89.427626,3.376160,13.016125,23.392567
181,89.427626,3.376160,13.016125,23.392567
182,89.427626,3.376160,13.016125,23.392567
183,89.427626,3.376160,13.016125,23.392567
184,89.427626,3.376160,13.016125,23.392567
185,89.427626,3.376160,13.016125,23.392567
186,89.427626,6.711038,13.016125,20.206080
187,89.427626,6.711038,13.016125,20.206080
188,100.305796,6.711038,13.016125,20.206080
189,100.305796,6.711038,13.016125,20.206080
190,100.305796,6.711038,13.016125,20.206080
191,100.305796,6.711038,13.016125,20.206080
192,100.305796,6.711038,13.016125,20.206080
193,100.305796,6.711038,13.860073,20.206080
194,100.305796,6.711038,13.860073,20.206080
195,100.305796,6.711038,13.860073,19.692012
196,100.305796,6.711038,13.860073,19.692012
197,105.416420,5.736388,13.860073,19.692012
198,99.570252,5.736388,13.860073,22.279085
199,99.570252,5.736388,13.860073,23.134212
200,99.570252,5.736388,13.860073,23.134212
201,99.570252,5.736388,13.860073,23.134212
202,99.570252,5.736388,13.860073,23.134212
203,99.570252,5.736388,13.860073,23.134212
204,99.570252,5.736388,39.877699,23.134212
205,99.570252,5.736388,39.877699,23.134212
206,99.570252,5.736388,39.877699,23.134212
207,99.570252,5.736388,39.877699,23.134212
208,99.570252,5.736388,39.877699,20.759836
209,99.570252,5.736388,39.877699,20.759836
210,99.570252,5.736388,39.877699,20.759836
211,99.570252,6.108327,46.407444,20.759836
212,99.570252,6.108327,46.407444,20.759836
213,99.570252,6.108327,46.407444,20.759836
214,124.450459,6.108327,46.407444,20.759836
215,124.450459,6.108327,46.407444,20.759836
216,124.450459,6.108327,46.407444,20.759836
