position_cap,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
1,Base5,0,261.185953,9.383443,41.493828,10,60.000000,true
2,Base5,0,534.595778,11.862702,41.493828,11,72.727273,true
3,Base5,0,599.402617,11.005179,35.519001,13,69.230769,true
4,Base5,0,116.398529,6.324578,43.121697,14,50.000000,true
5,Base5,0,531.836654,10.686522,31.514590,15,66.666667,true
6,Base5,0,331.884878,8.403868,27.281546,17,70.588235,true
7,Base5,0,331.884878,8.403868,27.281546,17,70.588235,true
8,Base5,0,331.884878,8.403868,27.281546,17,70.588235,true
9,Base5,0,331.884878,8.403868,27.281546,17,70.588235,true
10,Base5,0,331.884878,8.403868,27.281546,17,70.588235,true
1,Base5,1,480.919933,10.506312,14.523092,8,62.500000,true
2,Base5,1,714.232396,11.233861,6.525711,9,77.777778,true
3,Base5,1,1323.647118,7.776850,15.627753,10,60.000000,true
4,Base5,1,980.994746,7.015425,29.495129,11,54.545455,true
5,Base5,1,173.682279,6.026334,32.678315,14,42.857143,true
6,Base5,1,56.255762,4.495538,30.951445,16,43.750000,true
7,Base5,1,56.255762,4.495538,30.951445,16,43.750000,true
8,Base5,1,56.255762,4.495538,30.951445,16,43.750000,true
9,Base5,1,56.255762,4.495538,30.951445,16,43.750000,true
10,Base5,1,56.255762,4.495538,30.951445,16,43.750000,true
1,Base5,2,30.852155,5.199780,15.842750,10,50.000000,true
2,Base5,2,181.772305,17.332977,4.756168,11,72.727273,true
3,Base5,2,434.789732,19.087014,4.664837,12,83.333333,true
4,Base5,2,50.527915,4.644990,33.212144,13,46.153846,true
5,Base5,2,64.726679,5.215701,38.604120,14,57.142857,true
6,Base5,2,97.577954,6.296624,17.962492,16,56.250000,true
7,Base5,2,97.577954,6.296624,17.962492,16,56.250000,true
8,Base5,2,97.577954,6.296624,17.962492,16,56.250000,true
9,Base5,2,97.577954,6.296624,17.962492,16,56.250000,true
10,Base5,2,97.577954,6.296624,17.962492,16,56.250000,true
1,Base5,3,39.081869,5.267126,38.987166,10,40.000000,true
2,Base5,3,62.305781,5.735695,39.009651,12,66.666667,true
3,Base5,3,122.512432,7.600962,44.528095,14,64.285714,true
4,Base5,3,1226.215346,14.656671,17.177150,14,85.714286,true
5,Base5,3,2916.317846,15.618347,23.559025,17,82.352941,true
6,Base5,3,188.413264,6.207482,41.171215,17,52.941176,true
7,Base5,3,188.413264,6.207482,41.171215,17,52.941176,true
8,Base5,3,188.413264,6.207482,41.171215,17,52.941176,true
9,Base5,3,188.413264,6.207482,41.171215,17,52.941176,true
10,Base5,3,188.413264,6.207482,41.171215,17,52.941176,true
1,Base5,4,30.323394,5.515046,18.840727,9,55.555556,true
2,Base5,4,66.734642,9.989313,10.295762,9,55.555556,true
3,Base5,4,17.318937,3.423711,38.644871,11,63.636364,true
4,Base5,4,-24.377601,-0.989741,39.972063,13,53.846154,false
5,Base5,4,-32.055330,-1.848416,46.066531,14,50.000000,false
6,Base5,4,-48.853236,-3.011172,59.400458,14,50.000000,false
7,Base5,4,-48.853236,-3.011172,59.400458,14,50.000000,false
8,Base5,4,-48.853236,-3.011172,59.400458,14,50.000000,false
9,Base5,4,-48.853236,-3.011172,59.400458,14,50.000000,false
10,Base5,4,-48.853236,-3.011172,59.400458,14,50.000000,false
1,Base5,5,-34.841891,-15.992907,34.841891,7,28.571429,false
2,Base5,5,-59.179612,-17.055391,59.179612,10,20.000000,false
3,Base5,5,-24.310418,-1.463913,44.339821,12,33.333333,false
4,Base5,5,56.290774,4.389011,29.704646,13,53.846154,true
5,Base5,5,34.808715,3.413288,29.704646,15,53.333333,true
6,Base5,5,8.970860,2.132568,50.344333,17,47.058824,true
7,Base5,5,8.970860,2.132568,50.344333,17,47.058824,true
8,Base5,5,8.970860,2.132568,50.344333,17,47.058824,true
9,Base5,5,8.970860,2.132568,50.344333,17,47.058824,true
10,Base5,5,8.970860,2.132568,50.344333,17,47.058824,true
1,NoDOGE,0,261.185953,9.383443,41.493828,10,60.000000,true
2,NoDOGE,0,534.595778,11.862702,41.493828,11,72.727273,true
3,NoDOGE,0,599.402617,11.005179,35.519001,13,69.230769,true
4,NoDOGE,0,116.398529,6.324578,43.121697,14,50.000000,true
5,NoDOGE,0,531.836654,10.686522,31.514590,15,66.666667,true
6,NoDOGE,0,531.836654,10.686522,31.514590,15,66.666667,true
7,NoDOGE,0,531.836654,10.686522,31.514590,15,66.666667,true
8,NoDOGE,0,531.836654,10.686522,31.514590,15,66.666667,true
9,NoDOGE,0,531.836654,10.686522,31.514590,15,66.666667,true
10,NoDOGE,0,531.836654,10.686522,31.514590,15,66.666667,true
1,NoDOGE,1,22.337498,9.677359,6.525711,6,66.666667,true
2,NoDOGE,1,22.337498,9.677359,6.525711,6,66.666667,true
3,NoDOGE,1,-26.116493,-5.495674,35.734146,8,37.500000,false
4,NoDOGE,1,-7.746248,0.207738,37.269862,10,50.000000,false
