position_cap,avg_sharpe,median_sharpe,avg_return,avg_max_dd,avg_win_rate,pass_rate,total_trades,positive_universes,base5_pass_rate,windows
3,4.577109,6.701778,148.872829,32.943707,55.509018,72.222222,658,9,83.333333,54
1,2.266066,5.515046,44.668522,27.425288,48.378895,70.370370,445,8,83.333333,54
2,4.813590,9.157139,111.258136,27.903569,55.901506,68.518519,572,8,83.333333,54
4,4.442194,5.499275,168.146545,36.959841,55.134202,61.111111,725,9,83.333333,54
5,4.713839,4.535463,251.275383,37.147708,56.441671,59.259259,778,9,83.333333,54
6,4.290934,4.399318,188.786421,38.266208,55.389122,57.407407,802,9,83.333333,54
7,4.290934,4.399318,188.786421,38.266208,55.389122,57.407407,802,9,83.333333,54
8,4.290934,4.399318,188.786421,38.266208,55.389122,57.407407,802,9,83.333333,54
9,4.290934,4.399318,188.786421,38.266208,55.389122,57.407407,802,9,83.333333,54
10,4.290934,4.399318,188.786421,38.266208,55.389122,57.407407,802,9,83.333333,54
