day,ad_equity,small_equity,ddbudget_equity,turtle_equity
0,1.000000,1.000000,1.000000,1.000000
1,1.000000,1.000000,1.000000,1.000000
2,1.000000,1.000000,1.000000,1.000000
3,1.000000,1.000000,1.000000,1.000000
4,1.000000,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000,1.000000
6,1.000000,1.000000,1.000000,1.000000
7,1.000000,1.000000,1.000000,1.000000
8,1.000000,1.000000,1.000000,1.000000
9,1.000000,1.000000,1.000000,1.000000
10,1.000000,1.000000,1.000000,1.000000
11,1.000000,1.000000,1.000000,1.000000
12,1.000000,1.000000,1.000000,1.000000
13,1.000000,1.000000,1.000000,1.000000
14,1.000000,1.000000,1.000000,1.000000
15,1.000000,1.000000,1.000000,1.000000
16,1.000000,1.000000,1.000000,1.000000
17,1.000000,1.000000,1.000000,1.000000
18,1.000000,1.000000,1.000000,1.000000
19,1.000000,1.000000,1.000000,1.000000
20,1.000000,1.000000,1.000000,1.000000
21,1.000000,1.000000,1.000000,1.000000
22,1.000000,1.000000,1.000000,1.000000
23,1.000000,1.000000,1.000000,1.000000
24,1.000000,1.000000,1.000000,1.000000
25,1.000000,1.000000,1.000000,1.000000
26,1.000000,1.000000,1.000000,1.000000
27,1.000000,1.000000,1.000000,1.000000
28,1.000000,1.000000,1.000000,1.000000
29,1.000000,1.000000,1.000000,1.000000
30,1.000000,1.000000,1.000000,1.000000
31,1.000000,1.000000,1.000000,1.000000
32,1.000000,1.000000,1.000000,1.000000
33,1.000000,1.000000,1.000000,1.000000
34,1.000000,1.000000,1.000000,1.000000
35,1.000000,1.000000,1.000000,1.000000
36,1.000000,1.000000,1.000000,1.000000
37,1.000000,1.000000,1.000000,1.000000
38,1.000000,1.000000,1.000000,1.000000
39,1.000000,1.000000,1.000000,1.000000
40,1.000000,1.000000,1.000000,1.000000
41,1.000000,1.000000,1.000000,1.000000
42,1.000000,1.000000,1.000000,1.000000
43,1.000000,1.000000,1.000000,1.000000
44,1.000000,1.000000,1.000000,1.000000
45,1.000000,1.000000,1.000000,1.000000
46,1.000000,1.000000,1.000000,1.000000
47,1.000000,1.000000,1.000000,1.000000
48,1.000000,1.000000,1.000000,1.000000
49,1.000000,1.000000,1.000000,1.000000
50,1.000000,1.000000,1.000000,1.000000
51,1.000000,1.000000,1.000000,1.000000
52,1.000000,1.000000,1.000000,1.000000
53,1.000000,1.000000,1.000000,1.000000
54,1.000000,1.000000,1.000000,1.000000
55,1.000000,1.000000,1.000000,1.000000
56,1.000000,1.000000,1.000000,1.000000
57,1.000000,1.000000,1.000000,1.000000
58,1.000000,1.000000,1.000000,1.000000
59,1.000000,1.000000,1.000000,1.000000
60,1.000000,1.000000,1.000000,1.000000
61,1.000000,1.000000,1.000000,1.000000
62,1.000000,1.000000,1.000000,1.000000
63,1.000000,1.000000,1.000000,1.000000
64,1.000000,1.000000,1.000000,1.000000
65,1.000000,1.000000,1.000000,1.000000
66,1.000000,1.000000,1.000000,1.000000
67,1.000000,1.000000,1.000000,1.000000
68,1.000000,1.000000,1.000000,1.000000
69,1.000000,1.000000,1.000000,1.000000
70,1.000000,1.000000,1.000000,1.000000
71,1.000000,1.000000,1.000000,1.000000
72,1.000000,1.000000,1.000000,1.000000
73,1.000000,1.000000,1.000000,1.000000
74,1.000000,1.000000,1.000000,1.000000
75,1.000000,1.000000,1.000000,1.000000
76,1.000000,1.000000,1.000000,1.000000
77,1.000000,1.000000,1.000000,1.000000
78,1.000000,1.000000,1.000000,1.000000
79,1.000000,1.000000,1.000000,1.118851
80,1.000000,1.000000,1.000000,1.118851
81,1.000000,1.000000,1.000000,1.118851
82,1.000000,1.000000,1.000000,1.118851
83,1.000000,1.000000,1.000000,1.118851
84,1.000000,1.000000,1.000000,1.118851
85,1.000000,1.000000,1.000000,1.118851
86,1.000000,1.000000,1.000000,1.118851
87,1.000000,1.000000,1.000000,1.118851
88,1.000000,1.000000,1.000000,1.118851
89,1.000000,1.000000,1.000000,1.118851
90,1.000000,1.000000,1.000000,1.118851
91,1.000000,1.000000,1.000000,1.033038
92,1.000000,1.000000,1.000000,1.033038
93,1.000000,1.000000,1.000000,1.033038
94,1.000000,1.000000,1.000000,0.922942
95,1.000000,1.000000,1.000000,0.922942
96,1.000000,1.000000,1.000000,0.922942
97,1.000000,1.000000,1.000000,0.922942
98,1.000000,1.000000,1.000000,0.922942
99,1.000000,1.000000,1.000000,0.922942
100,1.000000,1.000000,1.000000,0.922942
101,1.000000,1.000000,1.000000,0.922942
102,1.000000,1.000000,1.000000,0.922942
103,1.000000,1.000000,1.000000,0.922942
104,1.000000,1.000000,1.000000,0.922942
105,1.000000,1.000000,1.000000,0.922942
106,1.000000,1.000000,1.000000,0.922942
107,1.000000,1.000000,1.000000,0.922942
108,1.000000,1.000000,1.000000,0.922942
109,1.000000,1.000000,1.000000,0.922942
110,1.000000,1.000000,1.000000,0.922942
111,1.000000,1.000000,1.000000,0.922942
112,1.000000,1.000000,1.000000,0.922942
113,1.000000,1.000000,1.000000,0.922942
114,1.000000,1.000000,1.000000,0.922942
115,1.000000,1.000000,1.000000,0.922942
116,1.000000,1.000000,1.000000,0.922942
117,1.000000,1.000000,1.000000,0.922942
118,1.000000,1.000000,1.000000,0.922942
119,1.000000,1.000000,1.000000,0.922942
120,1.000000,1.000000,1.000000,0.922942
121,1.000000,1.000000,1.000000,0.922942
122,1.000000,1.000000,1.000000,0.922942
123,1.000000,1.000000,1.000000,0.922942
124,1.000000,1.000000,1.000000,0.922942
125,1.000000,1.000000,1.000000,0.922942
126,1.000000,1.000000,1.000000,0.922942
127,1.000000,1.000000,1.000000,0.922942
128,1.000000,1.000000,1.000000,0.922942
129,1.000000,1.000000,1.000000,0.922942
130,1.000000,1.000000,1.000000,0.922942
131,1.000000,1.000000,1.000000,0.922942
132,1.000000,1.000000,1.000000,0.922942
133,1.000000,1.000000,1.000000,0.922942
134,1.000000,1.000000,1.000000,0.922942
135,1.000000,1.000000,1.000000,0.922942
136,1.000000,1.000000,1.000000,0.922942
137,1.000000,1.000000,1.000000,0.922942
138,1.000000,1.000000,1.000000,0.922942
139,1.000000,1.000000,1.000000,0.922942
140,1.000000,1.000000,1.000000,1.161528
141,1.000000,1.000000,1.000000,1.161528
142,1.000000,1.000000,1.000000,1.161528
143,1.000000,1.000000,1.000000,1.161528
144,1.000000,1.000000,1.000000,1.161528
145,1.000000,1.000000,1.000000,1.161528
146,1.000000,1.000000,1.000000,1.161528
147,1.000000,1.000000,1.000000,1.161528
148,1.000000,1.000000,1.000000,1.161528
149,1.000000,1.000000,1.000000,1.161528
150,1.000000,1.000000,1.000000,1.161528
151,1.000000,1.000000,1.000000,1.161528
152,1.000000,1.000000,1.000000,1.161528
153,1.000000,1.000000,1.000000,1.161528
154,1.000000,1.000000,1.000000,1.055070
155,1.000000,1.000000,1.000000,1.055070
156,1.000000,1.000000,1.000000,1.055070
157,1.000000,1.000000,1.000000,1.055070
158,1.000000,1.000000,1.000000,1.055070
159,1.000000,1.000000,1.000000,1.055070
160,1.000000,1.000000,1.000000,1.055070
161,1.000000,1.000000,1.000000,1.055070
162,1.000000,1.000000,1.000000,1.055070
163,1.000000,1.000000,1.000000,1.055070
164,1.000000,1.000000,1.000000,1.055070
165,1.000000,1.000000,1.000000,1.055070
166,1.000000,1.000000,1.000000,1.055070
167,1.000000,1.000000,1.000000,1.055070
168,1.000000,1.000000,1.000000,1.055070
169,1.000000,1.000000,1.000000,1.055070
170,1.000000,1.000000,1.000000,1.055070
171,1.000000,1.000000,1.000000,1.055070
172,1.000000,1.000000,1.000000,1.178562
173,1.000000,1.000000,1.000000,1.178562
174,1.000000,1.000000,1.000000,1.178562
175,1.000000,1.000000,1.000000,1.178562
176,1.000000,1.000000,1.000000,1.178562
177,1.000000,1.000000,1.000000,1.178562
178,1.000000,1.000000,1.000000,1.178562
179,1.000000,1.000000,1.000000,1.178562
180,1.000000,1.000000,1.000000,1.178562
181,1.000000,1.000000,1.000000,1.178562
182,1.000000,1.000000,1.000000,1.178562
183,1.000000,1.000000,1.000000,1.178562
184,1.000000,1.000000,1.000000,1.178562
185,1.000000,1.000000,1.000000,1.178562
186,1.000000,1.000000,1.000000,1.178562
187,1.000000,1.000000,1.000000,1.178562
188,1.000000,1.000000,1.000000,1.993495
189,1.000000,1.000000,1.000000,1.993495
190,1.000000,1.000000,1.000000,1.993495
191,1.000000,1.000000,1.000000,1.993495
192,1.000000,1.000000,1.000000,1.993495
193,1.000000,1.000000,1.000000,1.993495
194,1.000000,1.000000,1.000000,1.993495
195,1.000000,1.000000,1.000000,1.993495
196,1.000000,1.000000,1.000000,1.993495
197,1.000000,1.000000,1.000000,1.993495
198,1.000000,1.000000,1.000000,2.401694
199,1.000000,1.000000,1.000000,2.401694
200,1.000000,1.000000,1.000000,2.401694
201,1.000000,1.000000,1.000000,2.401694
202,1.000468,0.986391,1.000000,2.401694
203,1.000935,0.972967,1.002976,2.401694
204,1.001403,0.959725,1.005962,2.401694
205,1.001872,0.946664,1.008956,2.401694
206,1.002340,0.933781,1.011959,2.401694
207,1.002809,0.921073,1.014971,2.401694
208,1.003278,0.908538,1.017992,2.401694
209,1.003747,0.896173,1.021022,2.329163
210,1.004216,0.883977,1.027303,2.329163
211,1.004686,0.871947,1.033623,2.329163
212,1.005155,0.860080,1.039981,2.329163
213,1.005625,0.848375,1.038983,2.329163
214,1.006096,0.836829,1.037986,2.329163
215,1.006566,0.825441,1.036990,2.329163
216,1.007037,0.814207,1.035994,2.329163
