universe,type,interval,window,pass,sharpe,ret_pct,max_dd,trades,win_rate
Base5,none,5,0,true,4.936,46.1,77.5,29,59
Base5,none,5,1,true,4.582,127.1,61.1,18,44
Base5,none,5,2,true,7.434,191.9,70.4,24,79
Base5,none,5,3,true,6.157,66.3,70.4,35,60
Base5,none,5,4,false,-0.650,-2.6,73.2,26,50
Base5,none,5,5,true,3.824,34.5,72.9,25,32
Base5,close_losers,5,0,true,7.868,61.6,73.8,24,71
Base5,close_losers,5,1,true,6.359,116.5,60.8,12,67
Base5,close_losers,5,2,true,8.513,175.8,70.4,20,90
Base5,close_losers,5,3,true,13.407,56.7,70.7,25,76
Base5,close_losers,5,4,true,1.575,2.0,73.2,23,57
Base5,close_losers,5,5,true,7.435,35.7,72.3,18,44
Base5,trim_losers,5,0,true,4.936,54.4,72.0,29,59
Base5,trim_losers,5,1,true,4.582,49.6,61.1,18,44
Base5,trim_losers,5,2,true,7.434,171.5,68.5,24,79
Base5,trim_losers,5,3,true,6.157,73.4,70.4,35,60
Base5,trim_losers,5,4,true,-0.650,9.7,72.1,26,50
Base5,trim_losers,5,5,true,3.824,28.1,72.9,25,32
NoDOGE,none,5,0,true,4.936,46.1,77.5,29,59
NoDOGE,none,5,1,true,4.678,14.7,70.7,16,50
NoDOGE,none,5,2,true,6.567,204.2,70.4,27,63
NoDOGE,none,5,3,true,6.317,78.0,70.4,35,60
NoDOGE,none,5,4,false,-0.650,-2.6,73.2,26,50
NoDOGE,none,5,5,true,4.649,37.0,74.1,23,39
NoDOGE,close_losers,5,0,true,7.868,61.6,73.8,24,71
NoDOGE,close_losers,5,1,true,7.714,14.4,70.7,13,62
NoDOGE,close_losers,5,2,true,7.144,196.6,71.0,24,71
NoDOGE,close_losers,5,3,true,13.590,67.2,70.4,25,76
NoDOGE,close_losers,5,4,true,1.575,2.0,73.2,23,57
NoDOGE,close_losers,5,5,true,7.214,36.0,74.1,18,50
NoDOGE,trim_losers,5,0,true,4.936,54.4,72.0,29,59
NoDOGE,trim_losers,5,1,true,4.678,12.6,63.1,16,50
NoDOGE,trim_losers,5,2,true,6.567,203.7,70.4,27,63
NoDOGE,trim_losers,5,3,true,6.317,72.0,70.4,35,60
NoDOGE,trim_losers,5,4,true,-0.650,9.7,72.1,26,50
NoDOGE,trim_losers,5,5,true,4.649,26.0,68.2,23,39
Legacy4,none,5,0,true,3.698,28.5,72.4,32,50
Legacy4,none,5,1,true,3.989,13.2,71.6,25,52
Legacy4,none,5,2,true,4.861,208.4,70.4,29,62
Legacy4,none,5,3,true,8.117,222.9,70.4,34,62
Legacy4,none,5,4,true,3.957,25.7,70.4,22,45
Legacy4,none,5,5,true,4.146,104.4,75.5,24,25
Legacy4,close_losers,5,0,true,5.991,31.3,72.8,27,59
Legacy4,close_losers,5,1,true,6.864,9.8,72.2,20,65
Legacy4,close_losers,5,2,true,5.790,245.5,71.0,24,75
Legacy4,close_losers,5,3,true,13.728,223.5,70.4,24,83
Legacy4,close_losers,5,4,true,6.454,26.5,70.4,18,56
Legacy4,close_losers,5,5,true,5.231,105.7,75.3,19,32
Legacy4,trim_losers,5,0,true,3.698,17.6,73.4,32,50
Legacy4,trim_losers,5,1,true,3.989,16.6,71.0,25,52
Legacy4,trim_losers,5,2,true,4.861,258.6,70.4,29,62
Legacy4,trim_losers,5,3,true,8.117,208.3,70.4,34,62
Legacy4,trim_losers,5,4,true,3.957,30.8,70.4,22,45
Legacy4,trim_losers,5,5,true,4.146,94.2,76.3,24,25
Legacy5BNB,none,5,0,true,3.747,416.9,70.8,32,56
Legacy5BNB,none,5,1,true,2.476,4.0,73.8,23,48
Legacy5BNB,none,5,2,true,4.988,185.0,70.4,29,66
Legacy5BNB,none,5,3,true,9.146,255.1,70.4,33,67
Legacy5BNB,none,5,4,true,7.159,69.1,72.3,26,62
Legacy5BNB,none,5,5,true,4.160,105.5,74.5,25,28
Legacy5BNB,close_losers,5,0,true,4.190,402.1,70.4,27,63
Legacy5BNB,close_losers,5,1,true,5.473,3.7,73.8,19,58
Legacy5BNB,close_losers,5,2,true,5.629,175.8,71.0,25,76
Legacy5BNB,close_losers,5,3,true,14.778,242.3,73.3,24,88
Legacy5BNB,close_losers,5,4,true,8.554,58.9,72.5,23,70
Legacy5BNB,close_losers,5,5,true,5.438,106.9,74.3,19,37
Legacy5BNB,trim_losers,5,0,true,3.747,142.5,71.7,32,56
Legacy5BNB,trim_losers,5,1,true,2.476,7.5,73.1,23,48
Legacy5BNB,trim_losers,5,2,true,4.988,215.4,70.4,29,66
Legacy5BNB,trim_losers,5,3,true,9.146,219.1,70.4,33,67
Legacy5BNB,trim_losers,5,4,true,7.159,71.6,71.5,26,62
Legacy5BNB,trim_losers,5,5,true,4.160,95.1,75.2,25,28
OldGuardNoBNB,none,5,0,true,1.153,22.8,71.9,33,39
OldGuardNoBNB,none,5,1,false,0.785,-10.4,74.4,21,48
OldGuardNoBNB,none,5,2,true,4.585,274.7,70.4,29,62
OldGuardNoBNB,none,5,3,true,6.236,91.8,70.4,34,59
OldGuardNoBNB,none,5,4,true,4.349,15.5,70.4,22,45
OldGuardNoBNB,none,5,5,true,4.500,89.8,75.0,26,27
OldGuardNoBNB,close_losers,5,0,true,3.969,26.4,71.4,25,56
OldGuardNoBNB,close_losers,5,1,false,6.016,-7.0,73.9,16,56
OldGuardNoBNB,close_losers,5,2,true,5.341,273.6,71.0,24,75
OldGuardNoBNB,close_losers,5,3,true,11.621,92.1,70.4,24,79
OldGuardNoBNB,close_losers,5,4,true,9.171,16.2,70.4,18,56
OldGuardNoBNB,close_losers,5,5,true,6.707,98.3,74.9,19,37
OldGuardNoBNB,trim_losers,5,0,true,1.153,3.6,71.9,33,39
OldGuardNoBNB,trim_losers,5,1,true,0.785,3.8,64.6,21,48
OldGuardNoBNB,trim_losers,5,2,true,4.585,310.8,70.4,29,62
OldGuardNoBNB,trim_losers,5,3,true,6.236,114.4,70.4,34,59
OldGuardNoBNB,trim_losers,5,4,true,4.349,20.2,70.4,22,45
OldGuardNoBNB,trim_losers,5,5,true,4.500,69.5,74.8,26,27
LargeCaps5,none,5,0,true,4.737,210.7,77.5,32,56
LargeCaps5,none,5,1,true,4.313,12.1,71.3,16,50
LargeCaps5,none,5,2,true,6.693,211.9,71.8,28,68
LargeCaps5,none,5,3,true,5.808,51.8,70.4,35,57
LargeCaps5,none,5,4,true,0.921,6.9,73.2,28,54
LargeCaps5,none,5,5,true,4.649,37.0,74.1,23,39
LargeCaps5,close_losers,5,0,true,6.349,228.6,73.8,24,71
LargeCaps5,close_losers,5,1,true,7.206,11.8,71.3,13,62
LargeCaps5,close_losers,5,2,true,6.981,204.2,71.8,26,73
LargeCaps5,close_losers,5,3,true,14.325,42.7,75.7,24,79
LargeCaps5,close_losers,5,4,true,3.169,12.1,73.2,25,60
LargeCaps5,close_losers,5,5,true,7.214,36.0,74.1,18,50
LargeCaps5,trim_losers,5,0,true,4.737,135.9,72.0,32,56
LargeCaps5,trim_losers,5,1,true,4.313,11.7,63.2,16,50
LargeCaps5,trim_losers,5,2,true,6.693,213.1,71.7,28,68
LargeCaps5,trim_losers,5,3,true,5.808,49.6,70.6,35,57
LargeCaps5,trim_losers,5,4,true,0.921,15.7,72.1,28,54
LargeCaps5,trim_losers,5,5,true,4.649,26.0,68.2,23,39
Legacy3,none,5,0,true,4.640,449.6,70.4,28,64
Legacy3,none,5,1,true,1.166,3.9,71.0,26,46
Legacy3,none,5,2,true,4.587,45.2,69.0,28,50
Legacy3,none,5,3,true,7.784,274.5,70.4,28,64
Legacy3,none,5,4,true,3.018,21.6,69.2,21,38
Legacy3,none,5,5,true,3.323,55.1,76.1,26,23
Legacy3,close_losers,5,0,true,5.479,458.0,70.4,23,78
Legacy3,close_losers,5,1,true,5.288,3.4,71.5,20,60
Legacy3,close_losers,5,2,true,8.621,72.0,68.4,21,67
Legacy3,close_losers,5,3,true,13.541,290.7,70.4,19,89
Legacy3,close_losers,5,4,true,6.200,20.8,69.2,15,47
Legacy3,close_losers,5,5,true,3.981,57.2,75.7,22,27
Legacy3,trim_losers,5,0,true,4.640,377.4,70.4,28,64
Legacy3,trim_losers,5,1,true,1.166,6.4,70.4,26,46
Legacy3,trim_losers,5,2,true,4.587,64.9,69.4,28,50
Legacy3,trim_losers,5,3,true,7.784,304.2,70.4,28,64
Legacy3,trim_losers,5,4,true,3.018,26.0,68.9,21,38
Legacy3,trim_losers,5,5,true,3.323,28.7,71.0,26,23
LowVolume5,none,5,0,true,4.350,68.1,63.5,28,54
LowVolume5,none,5,1,false,-1.153,-5.9,71.4,27,44
LowVolume5,none,5,2,true,5.633,74.5,70.4,29,45
LowVolume5,none,5,3,true,6.073,121.7,70.4,26,58
LowVolume5,none,5,4,false,-7.112,-37.8,71.0,19,32
LowVolume5,none,5,5,false,-1.630,-23.2,74.8,30,33
LowVolume5,close_losers,5,0,true,7.417,73.4,63.0,22,68
LowVolume5,close_losers,5,1,false,3.745,-4.7,72.7,20,55
LowVolume5,close_losers,5,2,true,10.651,91.4,73.0,20,65
LowVolume5,close_losers,5,3,true,11.171,130.6,70.4,17,82
LowVolume5,close_losers,5,4,false,-6.848,-41.5,65.2,14,29
LowVolume5,close_losers,5,5,false,-0.131,-20.9,75.6,27,37
LowVolume5,trim_losers,5,0,true,4.350,41.4,61.0,28,54
LowVolume5,trim_losers,5,1,true,-1.153,2.9,71.2,27,44
LowVolume5,trim_losers,5,2,true,5.633,70.9,70.4,29,45
LowVolume5,trim_losers,5,3,true,6.073,137.9,70.4,26,58
LowVolume5,trim_losers,5,4,false,-7.112,-33.3,63.6,19,32
LowVolume5,trim_losers,5,5,false,-1.630,-16.5,73.8,30,33
OldGuard4,none,5,0,true,1.829,18.2,70.3,31,48
OldGuard4,none,5,1,false,-0.968,-2.8,71.4,26,46
OldGuard4,none,5,2,true,4.250,41.3,68.2,27,48
OldGuard4,none,5,3,true,5.565,122.4,70.4,28,61
OldGuard4,none,5,4,false,0.908,-4.2,69.2,22,41
OldGuard4,none,5,5,true,2.427,22.2,73.2,31,23
OldGuard4,close_losers,5,0,true,4.252,18.7,69.8,25,60
OldGuard4,close_losers,5,1,false,6.018,-3.1,72.7,17,65
OldGuard4,close_losers,5,2,true,8.688,62.4,68.0,19,68
OldGuard4,close_losers,5,3,true,10.532,132.1,70.4,19,84
OldGuard4,close_losers,5,4,false,3.569,-1.5,69.2,16,44
OldGuard4,close_losers,5,5,true,3.621,24.7,72.7,25,28
OldGuard4,trim_losers,5,0,false,1.829,-0.1,65.5,31,48
OldGuard4,trim_losers,5,1,true,-0.968,3.8,70.1,26,46
OldGuard4,trim_losers,5,2,true,4.250,59.5,65.4,27,48
OldGuard4,trim_losers,5,3,true,5.565,181.1,70.4,28,61
OldGuard4,trim_losers,5,4,true,0.908,0.2,68.9,22,41
OldGuard4,trim_losers,5,5,true,2.427,7.8,68.2,31,23
