type,interval,window,pass,sharpe,ret_pct,max_dd,trades,win_rate
none,5,0,true,4.937,46.1,77.5,29,59
none,5,1,true,4.582,127.1,61.1,18,44
none,5,2,true,7.434,191.9,70.4,24,79
none,5,3,true,6.157,66.3,70.4,35,60
none,5,4,false,-0.649,-2.6,73.2,26,50
none,5,5,true,3.824,34.5,72.9,25,32
none,10,0,true,4.937,46.1,77.5,29,59
none,10,1,true,4.582,127.1,61.1,18,44
none,10,2,true,7.434,191.9,70.4,24,79
none,10,3,true,6.157,66.3,70.4,35,60
none,10,4,false,-0.649,-2.6,73.2,26,50
none,10,5,true,3.824,34.5,72.9,25,32
none,15,0,true,4.937,46.1,77.5,29,59
none,15,1,true,4.582,127.1,61.1,18,44
none,15,2,true,7.434,191.9,70.4,24,79
none,15,3,true,6.157,66.3,70.4,35,60
none,15,4,false,-0.649,-2.6,73.2,26,50
none,15,5,true,3.824,34.5,72.9,25,32
none,21,0,true,4.937,46.1,77.5,29,59
none,21,1,true,4.582,127.1,61.1,18,44
none,21,2,true,7.434,191.9,70.4,24,79
none,21,3,true,6.157,66.3,70.4,35,60
none,21,4,false,-0.649,-2.6,73.2,26,50
none,21,5,true,3.824,34.5,72.9,25,32
none,30,0,true,4.937,46.1,77.5,29,59
none,30,1,true,4.582,127.1,61.1,18,44
none,30,2,true,7.434,191.9,70.4,24,79
none,30,3,true,6.157,66.3,70.4,35,60
none,30,4,false,-0.649,-2.6,73.2,26,50
none,30,5,true,3.824,34.5,72.9,25,32
none,42,0,true,4.937,46.1,77.5,29,59
none,42,1,true,4.582,127.1,61.1,18,44
none,42,2,true,7.434,191.9,70.4,24,79
none,42,3,true,6.157,66.3,70.4,35,60
none,42,4,false,-0.649,-2.6,73.2,26,50
none,42,5,true,3.824,34.5,72.9,25,32
redistribute,5,0,true,1.972,606.7,100.2,41,15
redistribute,5,1,true,-14.703,8.6,100.2,54,13
redistribute,5,2,true,2.427,245.8,100.1,31,16
