config,window,ret_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
baseline,0,382.2486,9.535644,54.9578,14,64.2857,true
rae_1.1_0.9,0,485.5159,10.179170,45.3126,14,71.4286,true
rae_1.2_0.8,0,493.1077,10.163811,45.3126,14,71.4286,true
rae_1.15_0.85,0,493.1077,10.163811,45.3126,14,71.4286,true
baseline,1,747.4586,7.268416,19.4036,11,63.6364,true
rae_1.1_0.9,1,546.0284,7.023387,20.1227,11,54.5455,true
rae_1.2_0.8,1,173.4683,5.269712,46.9098,12,50.0000,true
rae_1.15_0.85,1,173.4683,5.269712,46.9098,12,50.0000,true
baseline,2,20.1538,1.606761,19.9331,15,60.0000,true
rae_1.1_0.9,2,-10.6361,0.198886,29.6717,15,60.0000,false
rae_1.2_0.8,2,4.1788,1.243871,26.0464,14,50.0000,true
rae_1.15_0.85,2,-5.1401,0.644296,29.6717,14,50.0000,false
baseline,3,924.9688,15.588898,14.6989,14,78.5714,true
rae_1.1_0.9,3,989.6645,16.024688,14.6989,14,78.5714,true
rae_1.2_0.8,3,989.6645,16.024688,14.6989,14,78.5714,true
rae_1.15_0.85,3,989.6645,16.024688,14.6989,14,78.5714,true
baseline,4,98.1767,9.261603,15.0057,12,75.0000,true
rae_1.1_0.9,4,104.1175,8.124240,15.0035,12,75.0000,true
rae_1.2_0.8,4,91.7943,8.290859,15.0035,13,61.5385,true
rae_1.15_0.85,4,104.1175,8.124240,15.0035,12,75.0000,true
baseline,5,9.1759,2.108757,23.5259,12,50.0000,true
rae_1.1_0.9,5,13.1870,2.530830,23.2376,12,50.0000,true
rae_1.2_0.8,5,26.1042,3.892134,17.9394,12,50.0000,true
rae_1.15_0.85,5,18.7431,3.083662,23.2376,12,50.0000,true
baseline,6,-7.7702,-0.395372,23.0240,13,46.1538,false
rae_1.1_0.9,6,-3.7541,0.222337,23.0240,13,46.1538,false
rae_1.2_0.8,6,0.5890,0.753488,19.5504,13,46.1538,true
rae_1.15_0.85,6,-0.5936,0.710856,20.4962,13,46.1538,false
