universe,ap,pass_count,total,pass_rate,avg_sharpe,avg_ret
Base5,12,7,7,100.0%,7.1444,141.11
Base5,64,6,7,85.7%,4.4702,101.37
NoDOGE,12,7,7,100.0%,6.4289,64.88
NoDOGE,64,7,7,100.0%,9.4908,66.44
Legacy4,12,6,7,85.7%,7.7654,100.48
Legacy4,64,7,7,100.0%,8.8161,101.46
Legacy5BNB,12,6,7,85.7%,7.6270,92.90
Legacy5BNB,64,6,7,85.7%,11.0104,108.48
OldGuardNoBNB,12,5,7,71.4%,3.4820,77.86
OldGuardNoBNB,64,6,7,85.7%,3.7067,83.98
LargeCaps5,12,7,7,100.0%,6.0816,50.50
LargeCaps5,64,7,7,100.0%,9.1714,47.46
Legacy3,12,6,7,85.7%,6.1657,77.35
Legacy3,64,6,7,85.7%,6.1152,67.87
LowVolume5,12,4,7,57.1%,1.7678,114.12
LowVolume5,64,5,7,71.4%,0.8046,43.18
OldGuard4,12,5,7,71.4%,2.3903,49.75
OldGuard4,64,5,7,71.4%,2.1061,44.31
