ap,universe,window,equity,sharpe,dd_pct,trades
6,Base5,0,5.730039,13.8077,0.00,10
6,Base5,1,2.877082,5.7659,0.00,11
6,Base5,2,2.317899,9.7808,0.00,11
6,Base5,3,5.206053,13.4695,0.00,14
6,Base5,4,1.299499,6.2403,0.00,8
6,Base5,5,1.013976,1.6998,0.00,9
6,Base5,6,1.040648,1.7657,0.00,10
6,NoDOGE,0,5.730039,13.8077,0.00,10
6,NoDOGE,1,1.379752,8.3164,0.00,9
6,NoDOGE,2,1.847266,6.8322,0.00,12
6,NoDOGE,3,5.206053,13.4695,0.00,14
6,NoDOGE,4,1.299499,6.2403,0.00,8
6,NoDOGE,5,1.013976,1.6998,0.00,9
6,NoDOGE,6,1.346101,7.9119,0.00,9
6,Legacy4,0,2.253213,17.4067,0.00,8
6,Legacy4,1,1.242814,4.3856,0.00,11
6,Legacy4,2,14.943733,13.8630,0.00,11
6,Legacy4,3,1.739789,7.3165,0.00,12
6,Legacy4,4,0.792351,-4.3004,20.76,7
6,Legacy4,5,1.309493,4.6674,0.00,9
6,Legacy4,6,1.187613,3.9460,0.00,11
6,Legacy5BNB,0,2.378246,18.3044,0.00,7
6,Legacy5BNB,1,1.041623,1.7396,0.00,10
6,Legacy5BNB,2,14.943733,13.8630,0.00,11
6,Legacy5BNB,3,1.946831,9.7607,0.00,10
6,Legacy5BNB,4,0.939682,-1.2840,6.03,4
6,Legacy5BNB,5,0.863654,-0.7619,13.63,9
6,Legacy5BNB,6,1.187613,3.9460,0.00,11
6,OldGuardNoBNB,0,1.179396,3.2208,0.00,11
6,OldGuardNoBNB,1,1.489540,7.3893,0.00,8
6,OldGuardNoBNB,2,14.943733,13.8630,0.00,11
6,OldGuardNoBNB,3,1.739789,7.3165,0.00,12
6,OldGuardNoBNB,4,0.782613,-4.2921,21.74,8
6,OldGuardNoBNB,5,0.962901,1.0997,3.71,8
6,OldGuardNoBNB,6,1.187613,3.9460,0.00,11
6,LargeCaps5,0,5.243802,13.0147,0.00,10
6,LargeCaps5,1,1.379752,8.3164,0.00,9
6,LargeCaps5,2,1.847266,6.8322,0.00,12
6,LargeCaps5,3,2.495624,10.3388,0.00,12
6,LargeCaps5,4,1.299499,6.2403,0.00,8
6,LargeCaps5,5,1.013976,1.6998,0.00,9
6,LargeCaps5,6,1.346101,7.9119,0.00,9
6,Legacy3,0,2.290929,10.9831,0.00,12
6,Legacy3,1,1.408839,4.5371,0.00,13
6,Legacy3,2,5.124289,8.2478,0.00,13
6,Legacy3,3,1.318889,4.6581,0.00,10
6,Legacy3,4,0.727268,-12.6103,27.27,5
6,Legacy3,5,1.284244,4.3023,0.00,10
6,Legacy3,6,0.963652,0.5826,3.63,11
6,LowVolume5,0,0.867484,-0.0578,13.25,12
