ap,global_pass,global_total,global_pass_pct,avg_sharpe,avg_ret_pct,avg_dd_pct,total_trades,base5_pass,base5_total,base5_sharpe,positive_universes
6,56,63,88.9,5.5895,-0.00,0.00,639,7,7,7.5042,4
8,52,63,82.5,5.2476,-0.00,0.00,631,6,7,7.1295,1
10,46,63,73.0,4.0929,-0.00,0.00,610,6,7,7.8751,0
11,51,63,81.0,5.8181,-0.00,0.00,579,6,7,7.5815,1
12,54,63,85.7,7.6519,-0.00,0.00,556,7,7,9.3440,4
13,54,63,85.7,6.2749,-0.00,0.00,571,7,7,6.9693,4
14,53,63,84.1,6.3963,-0.00,0.00,559,6,7,7.2974,2
16,57,63,90.5,6.9266,-0.00,0.00,556,7,7,7.0217,4
18,56,63,88.9,6.9718,-0.00,0.00,547,7,7,6.8897,4
20,51,63,81.0,5.6814,-0.00,0.00,547,6,7,5.5920,1
