atr_period,bar,equity
6,0,1.000000
6,1,1.000000
6,2,0.841667
6,3,0.841667
6,4,0.841667
6,5,0.841667
6,6,0.646088
6,7,0.646088
6,8,0.646088
6,9,0.646088
6,10,0.646088
6,11,0.646088
6,12,0.646088
6,13,0.646088
6,14,0.638171
6,15,0.638171
6,16,0.479838
6,17,0.321504
6,18,0.340827
6,19,0.340827
6,20,0.340827
6,21,0.332910
6,22,0.332910
6,23,0.332910
6,24,0.308907
6,25,0.150574
6,26,0.152395
6,27,0.152395
6,28,0.152395
6,29,0.160771
6,30,0.160771
6,31,0.160771
6,32,0.160771
6,33,0.133130
6,34,0.133130
6,35,-0.033120
6,36,-0.041433
6,37,-0.030740
6,38,-0.031105
6,39,-0.031105
6,40,-0.031105
6,41,-0.050142
6,42,-0.050213
6,43,-0.050213
6,44,-0.051613
6,45,-0.051723
6,46,-0.051723
6,47,-0.059813
6,48,-0.061392
6,49,-0.061292
6,50,-0.061218
6,51,-0.061218
6,52,-0.061218
6,53,-0.059434
6,54,-0.059353
6,55,-0.059353
6,56,-0.059313
6,57,-0.059313
6,58,-0.059316
6,59,-0.059316
6,60,-0.059257
6,61,-0.060865
6,62,-0.060865
6,63,-0.060866
6,64,-0.060866
6,65,-0.060866
6,66,-0.060866
6,67,-0.060866
6,68,-0.060857
6,69,-0.061402
6,70,-0.061402
6,71,-0.061402
6,72,-0.061628
6,73,-0.061662
6,74,-0.061662
6,75,-0.061662
6,76,-0.061662
6,77,-0.061662
6,78,-0.061743
6,79,-0.061743
6,80,-0.061743
6,81,-0.061743
6,82,-0.061743
6,83,-0.061743
6,84,-0.061743
6,85,-0.061743
6,86,-0.061743
6,87,-0.061743
6,88,-0.061743
6,89,-0.061743
6,90,-0.061743
6,91,-0.061743
6,92,-0.061743
6,93,-0.061743
6,94,-0.061743
6,95,-0.061743
6,96,-0.061743
6,97,-0.061743
6,98,-0.061743
6,99,-0.061743
6,100,-0.061743
6,101,-0.061743
6,102,-0.061743
6,103,-0.061743
6,104,-0.061743
6,105,-0.061743
6,106,-0.061743
6,107,-0.061743
6,108,-0.061743
6,109,-0.061743
6,110,-0.061743
6,111,-0.061743
6,112,-0.061743
6,113,-0.061743
6,114,-0.061743
6,115,-0.061743
6,116,-0.061743
6,117,-0.061743
6,118,-0.061743
6,119,-0.061743
6,120,-0.061743
6,121,-0.061743
6,122,-0.061743
6,123,-0.061743
6,124,-0.061743
6,125,-0.061743
6,126,-0.061743
6,127,-0.061743
6,128,-0.061743
6,129,-0.061743
6,130,-0.061743
6,131,-0.061743
6,132,-0.061743
6,133,-0.061743
6,134,-0.061743
6,135,-0.061743
6,136,-0.061743
6,137,-0.061743
6,138,-0.061743
6,139,-0.061743
6,140,-0.061743
6,141,-0.061743
6,142,-0.061743
6,143,-0.061743
6,144,-0.061743
6,145,-0.061743
6,146,-0.061743
6,147,-0.061743
6,148,-0.061743
6,149,-0.061743
6,150,-0.061743
6,151,-0.061743
6,152,-0.061743
6,153,-0.061743
6,154,-0.061743
6,155,-0.061743
6,156,-0.061743
6,157,-0.061743
6,158,-0.061743
6,159,-0.061743
6,160,-0.061743
6,161,-0.061743
6,162,-0.061743
6,163,-0.061743
6,164,-0.061743
6,165,-0.061743
6,166,-0.061743
6,167,-0.061743
6,168,-0.061743
6,169,-0.061743
6,170,-0.061743
6,171,-0.061743
6,172,-0.061743
6,173,-0.061743
6,174,-0.061743
6,175,-0.061743
6,176,-0.061743
6,177,-0.061743
6,178,-0.061743
6,179,-0.061743
6,180,-0.061743
6,181,-0.061743
6,182,-0.061743
6,183,-0.061743
6,184,-0.061743
6,185,-0.061743
6,186,-0.061743
6,187,-0.061743
6,188,-0.061743
6,189,-0.061743
6,190,-0.061743
6,191,-0.061743
6,192,-0.061743
6,193,-0.061743
6,194,-0.061743
6,195,-0.061743
6,196,-0.061743
6,197,-0.061743
6,198,-0.061743
6,199,-0.061743
6,200,-0.061743
6,201,-0.061743
6,202,-0.061743
6,203,-0.061743
6,204,-0.061743
6,205,-0.061743
6,206,-0.061743
6,207,-0.061743
6,208,-0.061743
6,209,-0.061743
6,210,-0.061743
6,211,-0.061743
6,212,-0.061743
6,213,-0.061743
6,214,-0.061743
6,215,-0.061743
6,216,-0.061743
6,217,-0.061743
6,218,-0.061743
6,219,-0.061743
6,220,-0.061743
6,221,-0.061743
6,222,-0.061743
6,223,-0.061743
6,224,-0.061743
6,225,-0.061743
6,226,-0.061743
6,227,-0.061743
6,228,-0.061743
6,229,-0.061743
6,230,-0.061743
6,231,-0.061743
6,232,-0.061743
6,233,-0.061743
6,234,-0.061743
6,235,-0.061743
6,236,-0.061743
6,237,-0.061743
6,238,-0.061743
6,239,-0.061743
6,240,-0.061743
6,241,-0.061743
6,242,-0.061743
