atr_period,universe,pass,total,pass_pct,avg_sharpe,avg_ret,avg_dd,avg_trades,win_rate,universe_pass
6,Base5,0,13,0.0,0.000,-106.1,106.2,4,33.9,false
6,NoDOGE,0,13,0.0,0.000,-106.2,106.2,4,30.2,false
6,Legacy4,0,13,0.0,0.000,-101.9,101.9,6,40.4,false
6,Legacy5BNB,0,13,0.0,0.000,-102.6,102.6,4,41.6,false
6,OldGuardNoBNB,0,13,0.0,0.000,-101.9,101.9,7,46.0,false
6,LargeCaps5,0,13,0.0,0.000,-106.8,106.8,4,28.9,false
6,Legacy3,0,13,0.0,0.000,-104.5,104.6,3,20.1,false
6,LowVolume5,0,13,0.0,0.000,-104.3,104.7,3,36.9,false
6,OldGuard4,0,13,0.0,0.000,-101.4,101.4,4,39.6,false
7,Base5,0,13,0.0,0.000,-106.2,106.2,4,33.9,false
7,NoDOGE,0,13,0.0,0.000,-106.3,106.3,4,30.2,false
7,Legacy4,0,13,0.0,0.000,-102.0,102.0,4,43.0,false
7,Legacy5BNB,0,13,0.0,0.000,-104.2,104.2,4,42.2,false
7,OldGuardNoBNB,0,13,0.0,0.000,-102.0,102.0,5,48.6,false
7,LargeCaps5,0,13,0.0,0.000,-108.3,108.4,4,28.9,false
7,Legacy3,0,13,0.0,0.000,-104.5,104.6,3,20.1,false
7,LowVolume5,0,13,0.0,0.000,-104.3,104.7,3,36.9,false
7,OldGuard4,0,13,0.0,0.000,-101.4,101.4,4,39.6,false
8,Base5,0,13,0.0,0.000,-104.1,104.1,4,42.3,false
8,NoDOGE,0,13,0.0,0.000,-104.1,104.1,4,38.6,false
8,Legacy4,0,13,0.0,0.000,-102.0,102.0,6,39.8,false
8,Legacy5BNB,0,13,0.0,0.000,-104.1,104.1,4,41.6,false
8,OldGuardNoBNB,0,13,0.0,0.000,-102.0,102.0,7,45.4,false
8,LargeCaps5,0,13,0.0,0.000,-106.2,106.2,4,37.2,false
8,Legacy3,0,13,0.0,0.000,-104.5,104.6,3,20.1,false
8,LowVolume5,0,13,0.0,0.000,-104.3,104.6,3,28.6,false
8,OldGuard4,0,13,0.0,0.000,-101.4,101.4,4,39.6,false
9,Base5,0,13,0.0,0.000,-104.0,104.0,4,42.3,false
9,NoDOGE,0,13,0.0,0.000,-104.0,104.0,4,38.6,false
9,Legacy4,0,13,0.0,0.000,-101.9,101.9,6,44.5,false
9,Legacy5BNB,0,13,0.0,0.000,-102.6,102.6,4,44.1,false
9,OldGuardNoBNB,0,13,0.0,0.000,-101.9,101.9,7,46.4,false
9,LargeCaps5,0,13,0.0,0.000,-104.7,104.7,4,37.2,false
9,Legacy3,0,13,0.0,0.000,-104.5,104.6,3,20.1,false
9,LowVolume5,0,13,0.0,0.000,-104.3,104.6,3,30.0,false
9,OldGuard4,0,13,0.0,0.000,-101.4,101.4,4,40.4,false
10,Base5,0,13,0.0,0.000,-104.1,104.1,3,44.2,false
10,NoDOGE,0,13,0.0,0.000,-104.1,104.1,4,39.8,false
10,Legacy4,0,13,0.0,0.000,-102.0,102.0,6,40.1,false
10,Legacy5BNB,0,13,0.0,0.000,-104.1,104.1,4,39.7,false
10,OldGuardNoBNB,0,13,0.0,0.000,-102.0,102.0,6,45.6,false
10,LargeCaps5,0,13,0.0,0.000,-106.2,106.2,4,38.4,false
10,Legacy3,0,13,0.0,0.000,-104.5,104.6,3,20.1,false
10,LowVolume5,0,13,0.0,0.000,-104.3,104.6,3,30.0,false
10,OldGuard4,0,13,0.0,0.000,-101.4,101.4,4,39.6,false
11,Base5,0,13,0.0,0.000,-104.1,104.1,3,44.2,false
11,NoDOGE,0,13,0.0,0.000,-104.1,104.1,4,39.8,false
11,Legacy4,0,13,0.0,0.000,-102.0,102.0,7,42.9,false
11,Legacy5BNB,0,13,0.0,0.000,-104.1,104.1,5,43.6,false
11,OldGuardNoBNB,0,13,0.0,0.000,-102.0,102.0,7,46.4,false
11,LargeCaps5,0,13,0.0,0.000,-106.2,106.2,4,38.4,false
11,Legacy3,0,13,0.0,0.000,-104.5,104.6,3,20.1,false
11,LowVolume5,0,13,0.0,0.000,-104.3,104.6,3,30.0,false
