atr_period,universes_positive,total_universes,pass_pct_global,avg_sharpe,avg_ret,avg_dd,avg_trades,win_rate
6,0,9,0.0,0.000,-104.0,104.0,4,35.3
7,0,9,0.0,0.000,-104.4,104.4,3,35.9
8,0,9,0.0,0.000,-103.6,103.7,4,37.0
9,0,9,0.0,0.000,-103.2,103.3,4,38.2
10,0,9,0.0,0.000,-103.6,103.7,4,37.5
11,0,9,0.0,0.000,-103.6,103.7,4,38.4
12,0,9,0.0,0.000,-103.8,103.8,4,38.6
13,0,9,0.0,0.000,-103.8,103.8,4,38.6
14,0,9,0.0,0.000,-103.8,103.8,4,38.6
15,0,9,0.0,0.000,-103.7,103.8,4,41.6
16,0,9,0.0,0.000,-103.5,103.5,4,41.4
17,0,9,0.0,0.000,-103.5,103.5,4,41.1
18,0,9,0.0,0.000,-103.2,103.3,4,39.6
19,0,9,0.0,0.000,-103.2,103.3,4,39.8
20,0,9,0.0,0.000,-101.8,101.9,4,45.1
21,0,9,0.0,0.000,-103.1,103.1,3,38.2
22,0,9,0.0,0.000,-101.6,101.7,4,44.4
24,0,9,0.0,0.000,-102.0,102.1,4,43.7
28,0,9,0.0,0.000,-103.3,103.3,3,36.0
32,0,9,0.0,0.000,-101.9,101.9,4,45.6
36,0,9,0.0,0.000,-101.9,101.9,4,43.9
42,0,9,0.0,0.000,-102.8,102.9,4,42.6
48,0,9,0.0,0.000,-105.1,105.2,3,32.7
56,0,9,0.0,0.000,-103.0,103.1,3,36.0
64,0,9,0.0,0.000,-104.9,104.9,3,31.0
