atr_period,lookback,threshold,pass,total,pass_pct,sharpe,ret_pct,dd_pct,trades,win_rate
5,21,0,29,45,64.4,0.855,119.3,32.6,14,0.536
5,21,5,28,45,62.2,0.500,58.7,37.8,13,0.526
5,21,10,29,45,64.4,0.596,62.7,36.0,12,0.525
5,21,15,28,45,62.2,0.779,85.7,33.6,12,0.549
5,21,20,26,45,57.8,0.987,104.2,31.1,12,0.551
5,21,25,29,45,64.4,0.977,107.0,32.1,11,0.550
5,21,30,30,45,66.7,1.032,94.5,26.5,11,0.570
5,21,40,35,45,77.8,0.877,67.4,29.0,10,0.569
5,42,0,29,45,64.4,0.855,119.3,32.6,14,0.536
5,42,5,27,45,60.0,0.744,110.5,34.5,13,0.526
5,42,10,28,45,62.2,0.948,122.2,31.9,12,0.562
5,42,15,27,45,60.0,0.990,116.8,30.6,12,0.562
5,42,20,33,45,73.3,1.038,93.2,29.2,12,0.567
5,42,25,34,45,75.6,1.025,99.7,25.5,11,0.561
5,42,30,30,45,66.7,0.782,73.7,28.2,11,0.547
5,42,40,32,45,71.1,0.883,74.5,27.0,10,0.581
5,63,0,29,45,64.4,0.855,119.3,32.6,14,0.536
5,63,5,30,45,66.7,1.052,139.9,30.7,13,0.553
5,63,10,30,45,66.7,1.000,155.0,29.7,12,0.579
5,63,15,32,45,71.1,1.023,146.6,27.9,12,0.571
5,63,20,31,45,68.9,0.909,139.9,28.9,12,0.561
5,63,25,29,45,64.4,0.668,89.7,29.9,11,0.525
5,63,30,27,45,60.0,0.222,44.4,32.4,11,0.517
5,63,40,36,45,80.0,0.661,60.9,26.7,9,0.555
5,126,0,29,45,64.4,0.855,119.3,32.6,14,0.536
5,126,5,30,45,66.7,1.138,152.2,29.3,13,0.574
5,126,10,27,45,60.0,0.897,158.0,31.9,12,0.557
5,126,15,27,45,60.0,0.646,89.9,29.1,12,0.547
5,126,20,25,45,55.6,0.636,69.8,30.5,11,0.531
5,126,25,25,45,55.6,0.638,62.3,29.5,11,0.536
5,126,30,25,45,55.6,0.487,58.9,31.8,11,0.543
5,126,40,27,45,60.0,0.348,76.5,33.6,10,0.547
5,252,0,29,45,64.4,0.855,119.3,32.6,14,0.536
5,252,5,26,45,57.8,0.786,157.5,30.6,13,0.562
5,252,10,24,45,53.3,0.520,93.3,31.9,12,0.542
5,252,15,25,45,55.6,0.584,95.1,30.6,12,0.546
5,252,20,29,45,64.4,0.822,96.0,29.2,12,0.552
5,252,25,32,45,71.1,0.750,92.8,30.8,11,0.563
5,252,30,31,45,68.9,0.943,89.1,28.0,11,0.573
5,252,40,31,45,68.9,0.659,87.1,27.1,9,0.559
5,504,0,29,45,64.4,0.855,119.3,32.6,14,0.536
5,504,5,25,45,55.6,0.982,149.4,31.3,13,0.551
5,504,10,27,45,60.0,0.790,107.3,31.7,13,0.542
5,504,15,27,45,60.0,0.664,99.3,31.8,13,0.539
5,504,20,29,45,64.4,0.719,100.2,30.5,13,0.534
5,504,25,30,45,66.7,0.771,105.9,30.7,12,0.530
5,504,30,26,45,57.8,0.589,92.7,32.3,12,0.520
5,504,40,31,45,68.9,0.759,86.4,31.4,12,0.553
6,21,0,29,45,64.4,0.855,119.3,32.6,14,0.536
6,21,5,29,45,64.4,0.552,81.0,36.9,12,0.530
6,21,10,33,45,73.3,1.102,100.7,33.5,12,0.550
6,21,15,32,45,71.1,0.937,108.0,33.7,12,0.535
6,21,20,32,45,71.1,0.898,96.0,29.9,11,0.542
6,21,25,34,45,75.6,0.989,83.8,27.7,10,0.573
6,21,30,35,45,77.8,1.050,92.5,26.0,10,0.564
6,21,40,35,45,77.8,0.945,74.6,21.9,9,0.603
6,42,0,29,45,64.4,0.855,119.3,32.6,14,0.536
6,42,5,33,45,73.3,1.101,123.5,32.8,13,0.550
6,42,10,33,45,73.3,1.202,123.7,31.7,12,0.557
