ap,pass_count,total_trades,avg_return_pct,avg_sharpe,avg_dd_pct
5,50,676,115.3855,4.470648,29.7630
6,50,653,118.0670,4.688209,30.8352
7,42,653,95.5051,2.722602,34.6697
8,42,652,97.0725,3.454038,33.0408
9,47,624,79.5957,3.608169,34.2568
10,40,629,63.5829,2.070359,36.4960
11,45,597,76.2656,4.062441,31.0310
12,53,574,85.4388,5.428148,26.6954
13,51,581,88.0657,5.030937,26.6984
14,50,581,78.8623,4.410557,27.5036
15,52,582,72.5808,4.039906,28.8278
16,49,582,98.3254,4.348060,25.8572
17,46,565,100.6876,4.104397,26.5744
18,46,568,96.6676,4.088800,26.7671
19,44,561,96.9632,3.847807,27.2492
20,43,579,92.2556,3.327022,28.2459
21,46,570,101.1400,4.452784,25.8015
22,42,576,92.2370,3.661372,27.0926
23,40,583,83.7620,3.113080,28.8709
24,44,592,92.4084,3.408178,27.5400
25,44,589,88.1217,2.589697,28.6406
26,51,591,96.9884,4.419758,24.1858
27,49,591,92.4145,4.427079,24.9511
28,45,586,84.8457,3.575652,27.8303
29,45,591,82.6062,3.556959,27.9187
30,47,566,98.3955,4.112100,26.1487
31,45,574,95.6140,3.698483,27.8075
32,44,579,88.2746,3.214733,27.7195
33,43,551,97.5655,4.318067,24.7162
34,48,558,100.2185,4.587777,23.1111
35,47,556,95.0604,4.365718,23.7624
36,48,564,86.1395,5.015104,21.9805
37,47,565,76.0586,4.561893,22.5093
38,49,566,73.5453,4.520455,25.7871
39,55,550,67.9011,4.959373,25.8796
40,52,542,71.8978,5.188220,24.1078
41,53,535,73.0416,5.468378,22.9115
42,51,516,59.5706,4.735743,23.1845
43,49,517,68.7890,4.747483,22.9353
44,48,526,66.0059,3.414900,25.1416
45,51,504,72.8681,4.849004,20.3818
46,45,514,63.9674,3.707751,22.6660
47,41,547,62.6476,2.575768,23.9325
48,45,517,68.5515,2.741593,26.1070
49,45,506,81.8924,3.088681,24.6838
50,44,517,79.1518,2.824017,26.3741
51,42,530,89.1614,2.754567,24.2444
52,48,513,77.4729,4.353867,23.3610
53,49,521,84.4389,4.057155,24.5040
54,48,520,74.0162,3.253778,26.0814
55,50,505,76.8245,3.606002,24.9381
56,52,503,75.5738,4.020817,22.8458
57,51,507,72.6903,3.765469,23.0673
58,50,497,81.4397,3.803907,22.9439
59,50,501,70.5562,3.438953,23.1614
60,49,500,72.4545,3.198524,23.5286
61,49,479,59.9643,2.637609,22.6223
62,49,473,56.9921,3.353031,22.2663
63,52,459,64.6831,5.271460,20.5443
64,55,464,73.8393,6.187942,19.7050
65,46,467,67.8042,3.070754,22.3069
66,51,463,64.8569,4.100982,21.4092
67,46,467,62.7777,-2.056374,23.3882
68,47,462,61.1369,-1.982362,22.9220
69,47,441,61.0559,1.167537,22.3792
70,46,452,76.7295,2.888291,22.9220
71,49,456,68.1652,4.223784,22.4080
72,41,443,64.1895,1.455465,23.3231
73,44,440,70.7524,4.100399,22.9651
74,45,455,72.3124,4.855419,22.9810
75,42,460,64.7068,4.893637,24.4380
76,47,461,71.0394,4.219511,22.7756
77,51,485,83.3679,5.613522,21.2665
78,50,493,71.6311,4.827299,23.2636
79,47,505,60.5617,3.466216,28.1422
80,46,501,75.2589,3.973540,25.8079
