universe,window,ap,return_pct,sharpe,max_dd_pct,trades,pass
Base5,0,5,445.7454,13.461402,27.1220,10,1
Base5,0,6,473.0039,13.807671,27.1220,10,1
Base5,0,7,392.3803,12.602486,25.5952,10,1
Base5,0,8,412.1577,11.710795,25.5952,9,1
Base5,0,9,825.2189,13.690871,25.5952,10,1
Base5,0,10,311.5999,10.110956,28.5842,10,1
Base5,0,11,393.9610,13.106596,7.9306,8,1
Base5,0,12,182.4490,11.001817,7.9306,8,1
Base5,0,13,279.5914,12.136479,26.1610,9,1
Base5,0,14,279.5914,12.136479,26.1610,9,1
Base5,0,15,263.4122,11.809130,26.1610,9,1
Base5,0,16,186.9163,10.554991,26.1610,10,1
Base5,0,17,220.8794,12.248002,26.1610,9,1
Base5,0,18,220.8794,12.248002,26.1610,9,1
Base5,0,19,248.5192,14.510512,19.8007,8,1
Base5,0,20,248.5192,14.510512,19.8007,8,1
Base5,0,21,258.0095,14.041181,19.8007,8,1
Base5,0,22,210.2591,14.471266,19.8007,8,1
Base5,0,23,146.0975,11.205287,19.8007,8,1
Base5,0,24,146.0975,11.205287,19.8007,8,1
Base5,0,25,146.0975,11.205287,19.8007,8,1
Base5,0,26,146.0975,11.205287,19.8007,8,1
Base5,0,27,146.0975,11.205287,19.8007,8,1
Base5,0,28,146.0975,11.205287,19.8007,8,1
Base5,0,29,146.0975,11.205287,19.8007,8,1
Base5,0,30,219.8348,10.192546,19.8007,8,1
Base5,0,31,219.8348,10.192546,19.8007,8,1
Base5,0,32,188.7612,8.750438,28.5842,9,1
Base5,0,33,224.2762,10.301786,19.8007,8,1
Base5,0,34,209.0393,9.217454,23.5691,9,1
Base5,0,35,204.8067,9.121205,23.5691,9,1
Base5,0,36,209.0393,9.217454,23.5691,9,1
Base5,0,37,122.0741,10.305496,23.5691,8,1
Base5,0,38,119.0325,10.134596,23.5691,8,1
Base5,0,39,119.0325,10.134596,23.5691,8,1
Base5,0,40,102.7956,11.304408,23.5691,8,1
Base5,0,41,102.7956,11.304408,23.5691,8,1
Base5,0,42,43.0047,6.631860,23.5691,8,1
Base5,0,43,68.7679,8.939198,23.5691,8,1
Base5,0,44,38.8300,6.652050,23.5691,7,1
Base5,0,45,38.8300,6.652050,23.5691,7,1
Base5,0,46,38.8300,6.652050,23.5691,7,1
Base5,0,47,38.8300,6.652050,23.5691,7,1
Base5,0,48,38.8300,6.652050,23.5691,7,1
Base5,0,49,38.8300,6.652050,23.5691,7,1
Base5,0,50,38.8300,6.652050,23.5691,7,1
Base5,0,51,64.9469,9.176495,23.5691,7,1
Base5,0,52,38.8300,6.652050,23.5691,7,1
Base5,0,53,38.8300,6.652050,23.5691,7,1
Base5,0,54,38.8300,6.652050,23.5691,7,1
Base5,0,55,38.8300,6.652050,23.5691,7,1
Base5,0,56,38.8300,6.652050,23.5691,7,1
Base5,0,57,38.8300,6.652050,23.5691,7,1
Base5,0,58,38.8300,6.652050,23.5691,7,1
Base5,0,59,38.8300,6.652050,23.5691,7,1
Base5,0,60,38.8300,6.652050,23.5691,7,1
Base5,0,61,38.8300,6.652050,23.5691,7,1
Base5,0,62,38.8300,6.652050,23.5691,7,1
Base5,0,63,38.8300,6.652050,23.5691,7,1
Base5,0,64,38.8300,6.652050,23.5691,7,1
Base5,0,65,38.8300,6.652050,23.5691,7,1
Base5,0,66,38.8300,6.652050,23.5691,7,1
Base5,0,67,38.8300,6.652050,23.5691,7,1
Base5,0,68,38.8300,6.652050,23.5691,7,1
Base5,0,69,38.8300,6.652050,23.5691,7,1
Base5,0,70,38.8300,6.652050,23.5691,7,1
Base5,0,71,38.8300,6.652050,23.5691,7,1
Base5,0,72,40.7578,6.878287,23.5691,7,1
Base5,0,73,40.7578,6.878287,23.5691,7,1
Base5,0,74,40.7578,6.878287,23.5691,7,1
Base5,0,75,40.7578,6.878287,23.5691,7,1
Base5,0,76,40.7578,6.878287,23.5691,7,1
Base5,0,77,179.2355,9.888058,23.5691,8,1
Base5,0,78,179.2355,9.888058,23.5691,8,1
Base5,0,79,179.2355,9.888058,23.5691,8,1
Base5,0,80,179.2355,9.888058,23.5691,8,1
Base5,1,5,273.6047,6.427167,42.4798,11,1
Base5,1,6,273.6047,6.427167,42.4798,11,1
Base5,1,7,293.6495,6.561967,42.4798,11,1
Base5,1,8,273.6047,6.427167,42.4798,11,1
Base5,1,9,273.6047,6.427167,42.4798,11,1
Base5,1,10,201.4065,5.852398,42.4798,11,1
Base5,1,11,201.4065,5.852398,42.4798,11,1
