universe,window,step,equity,atr_lookback,atr_trend_pct,label
Base5,0,0,1.000000,100,0.25,candidate_lb100_p0.25
Base5,0,1,1.000000,100,0.25,candidate_lb100_p0.25
Base5,0,2,1.260974,100,0.25,candidate_lb100_p0.25
Base5,0,3,1.260974,100,0.25,candidate_lb100_p0.25
Base5,0,4,1.260974,100,0.25,candidate_lb100_p0.25
Base5,0,5,1.260974,100,0.25,candidate_lb100_p0.25
Base5,0,6,1.260974,100,0.25,candidate_lb100_p0.25
Base5,0,7,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,8,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,9,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,10,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,11,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,12,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,13,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,14,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,15,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,16,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,17,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,18,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,19,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,20,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,21,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,22,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,23,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,24,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,25,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,26,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,27,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,28,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,29,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,30,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,31,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,32,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,33,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,34,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,35,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,36,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,37,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,38,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,39,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,40,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,41,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,42,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,43,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,44,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,45,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,46,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,47,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,48,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,49,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,50,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,51,0.788162,100,0.25,candidate_lb100_p0.25
Base5,0,52,0.843138,100,0.25,candidate_lb100_p0.25
Base5,0,53,0.843138,100,0.25,candidate_lb100_p0.25
Base5,0,54,0.843138,100,0.25,candidate_lb100_p0.25
Base5,0,55,0.843138,100,0.25,candidate_lb100_p0.25
Base5,0,56,0.843138,100,0.25,candidate_lb100_p0.25
Base5,0,57,0.843138,100,0.25,candidate_lb100_p0.25
Base5,0,58,0.843138,100,0.25,candidate_lb100_p0.25
Base5,0,59,0.843138,100,0.25,candidate_lb100_p0.25
Base5,0,60,0.843138,100,0.25,candidate_lb100_p0.25
Base5,0,61,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,62,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,63,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,64,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,65,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,66,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,67,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,68,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,69,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,70,0.693047,100,0.25,candidate_lb100_p0.25
Base5,0,71,0.693047,100,0.25,candidate_lb100_p0.25
