atr_lookback,atr_trend_pct,avg_sharpe,avg_ret,worst_dd,total_trades,pass_count,total_windows,global_pass_rate,sparse_count,is_baseline,score
100,0.25,+4.247000,+38.0410,61.0779,631,41,54,75.9259,0,false,+5.7655
100,0.30,+4.063691,+41.3531,61.0779,590,41,54,75.9259,0,false,+5.5822
50,0.25,+4.046239,+30.3282,68.7742,621,38,54,70.3704,0,false,+5.4536
50,0.20,+3.944926,+30.5806,68.7742,649,37,54,68.5185,0,false,+5.3153
20,0.30,+3.642333,+25.3525,55.1066,487,36,54,66.6667,0,false,+4.9757
20,0.20,+3.409998,+30.3542,57.0631,545,37,54,68.5185,0,false,+4.7804
100,0.35,+3.567848,+23.7600,58.8357,556,31,54,57.4074,0,false,+4.7160
100,0.20,+3.238983,+37.2757,61.0779,660,39,54,72.2222,0,false,+4.6834
50,0.45,+3.271243,+36.6280,43.4052,456,36,54,66.6667,1,false,+4.6046
50,0.40,+3.195269,+37.6238,52.7565,496,36,54,66.6667,0,false,+4.5286
20,0.25,+3.043579,+23.9812,55.8656,530,35,54,64.8148,0,false,+4.3399
100,0.40,+2.983965,+28.2740,55.5116,467,29,54,53.7037,0,false,+4.0580
50,0.35,+2.618500,+32.1144,52.4028,527,35,54,64.8148,0,false,+3.9148
50,0.30,+2.581438,+30.0704,57.5854,567,32,54,59.2593,0,false,+3.7666
20,0.90,-1.153565,+10.8783,45.2501,173,22,54,40.7407,23,true,-999.0000
20,0.85,+0.723190,+18.0419,43.3011,200,22,54,40.7407,21,false,-999.0000
20,0.80,-2.087111,+26.3786,44.6659,244,28,54,51.8519,11,false,-999.0000
20,0.75,+2.358846,+18.2211,41.7259,297,24,54,44.4444,11,false,-999.0000
20,0.70,+1.178235,+12.6405,41.2725,314,21,54,38.8889,11,false,-999.0000
20,0.65,+1810510816830986.250000,+13.1433,48.2124,337,25,54,46.2963,11,false,-999.0000
20,0.60,+1810510816830987.750000,+15.8444,45.5467,348,28,54,51.8519,11,false,-999.0000
20,0.55,+6.547458,+15.5492,56.6738,388,29,54,53.7037,8,false,-999.0000
20,0.50,+7.091245,+21.6409,57.3967,403,29,54,53.7037,8,false,-999.0000
20,0.45,+4.961232,+25.2080,48.6569,419,32,54,59.2593,5,false,-999.0000
20,0.40,+4.102420,+24.7319,49.2197,443,32,54,59.2593,5,false,-999.0000
20,0.35,+4.908052,+30.0755,44.0968,464,35,54,64.8148,5,false,-999.0000
50,0.90,+10415608125885004.000000,+1.2941,36.4458,134,16,54,29.6296,28,false,-999.0000
50,0.85,+11119898201930602.000000,+0.5343,39.0989,156,12,54,22.2222,24,false,-999.0000
50,0.80,-0.429365,+2.4514,34.4185,184,14,54,25.9259,20,false,-999.0000
50,0.75,+0.793561,+4.1918,34.4185,202,15,54,27.7778,18,false,-999.0000
50,0.70,+3843222610627687.000000,+7.4781,34.4185,234,19,54,35.1852,14,false,-999.0000
50,0.65,+3843222610627685.500000,+6.4270,39.7886,257,20,54,37.0370,13,false,-999.0000
50,0.60,+8.038482,+13.1878,47.2908,315,26,54,48.1481,10,false,-999.0000
50,0.55,+12.610880,+32.9677,43.3229,337,25,54,46.2963,10,false,-999.0000
50,0.50,+8.901669,+36.5286,43.4052,405,32,54,59.2593,7,false,-999.0000
100,0.90,-7.732623,-0.3711,22.2942,92,11,54,20.3704,43,false,-999.0000
100,0.85,-5.887524,-2.5656,32.7646,110,11,54,20.3704,27,false,-999.0000
100,0.80,-8.160983,-3.1635,43.1685,122,11,54,20.3704,27,false,-999.0000
100,0.75,+2514883987453553.000000,+11.2301,42.2102,156,16,54,29.6296,21,false,-999.0000
100,0.70,+8.520562,+13.2282,38.4393,194,21,54,38.8889,16,false,-999.0000
100,0.65,+5.241740,+12.5831,50.9907,232,23,54,42.5926,12,false,-999.0000
100,0.60,-0.380465,+17.1610,42.5652,264,26,54,48.1481,11,false,-999.0000
100,0.55,+0.566364,+19.1267,45.7271,331,27,54,50.0000,7,false,-999.0000
100,0.50,+1.785072,+18.9475,57.1761,389,32,54,59.2593,4,false,-999.0000
100,0.45,+2.060781,+19.9479,56.5485,417,31,54,57.4074,4,false,-999.0000
