lb,pass,total,pass_pct,avg_sharpe,avg_ret_pct,avg_dd_pct,trades,pos_universes
5,47,63,74.60,3.5146,81.26,27.61,623,9
6,47,63,74.60,3.6134,81.39,27.71,624,9
7,48,63,76.19,3.7927,82.63,27.68,625,9
8,46,63,73.02,3.5900,81.81,27.57,625,9
9,52,63,82.54,5.4360,71.81,24.43,581,9
10,51,63,80.95,5.3739,73.46,25.15,585,9
11,53,63,84.13,5.7116,74.98,24.71,587,9
12,51,63,80.95,5.4926,73.98,24.73,587,9
13,50,63,79.37,3.6320,71.67,24.76,566,9
14,50,63,79.37,3.7092,73.22,24.76,572,9
15,51,63,80.95,3.9758,73.69,24.76,573,9
16,51,63,80.95,3.9778,73.73,24.64,574,9
17,53,63,84.13,3.8169,70.89,23.84,551,9
18,53,63,84.13,3.7413,70.35,24.15,552,9
19,53,63,84.13,3.7417,70.37,24.16,553,9
20,53,63,84.13,3.8798,70.74,24.05,555,9
21,50,63,79.37,3.2102,64.61,25.35,532,9
22,50,63,79.37,3.2102,64.61,25.35,532,9
23,49,63,77.78,3.1251,64.16,25.60,537,9
24,49,63,77.78,3.1251,64.16,25.60,537,9
25,45,63,71.43,3.0496,63.61,25.94,546,9
26,51,63,80.95,3.4306,67.79,24.91,515,9
27,47,63,74.60,2.9712,66.46,25.29,520,9
28,47,63,74.60,2.9712,66.46,25.29,520,9
29,47,63,74.60,2.9712,66.46,25.29,520,9
30,48,63,76.19,2.4864,50.36,25.75,497,9
31,48,63,76.19,2.4864,50.36,25.75,497,9
32,48,63,76.19,2.5565,51.30,25.75,498,9
33,48,63,76.19,2.5662,51.32,25.75,499,9
34,49,63,77.78,3.8375,51.74,24.10,471,9
35,50,63,79.37,3.9627,52.51,23.44,471,9
36,50,63,79.37,3.9627,52.51,23.44,471,9
37,50,63,79.37,3.9627,52.51,23.44,471,9
38,53,63,84.13,5.6297,67.15,19.82,460,9
39,53,63,84.13,5.6065,67.08,19.87,462,9
40,53,63,84.13,5.7306,71.12,19.87,467,9
41,53,63,84.13,5.7306,71.12,19.87,467,9
42,55,63,87.30,6.1879,73.84,19.71,464,9
43,55,63,87.30,6.1879,73.84,19.71,464,9
44,55,63,87.30,6.1879,73.84,19.71,464,9
45,55,63,87.30,6.1879,73.84,19.71,464,9
46,54,63,85.71,4.4623,69.23,20.21,461,9
47,54,63,85.71,4.3229,67.29,20.63,464,9
48,54,63,85.71,4.3229,67.29,20.63,464,9
49,54,63,85.71,4.3537,72.86,20.71,475,9
50,54,63,85.71,4.3637,73.46,20.71,475,9
51,45,63,71.43,2.8153,67.07,23.74,475,9
52,45,63,71.43,2.8153,67.07,23.74,475,9
53,45,63,71.43,2.7299,65.66,24.09,476,9
54,45,63,71.43,2.7299,65.66,24.09,476,9
55,48,63,76.19,3.2742,68.95,22.89,457,9
56,48,63,76.19,3.3423,78.21,23.28,458,9
57,48,63,76.19,3.3423,78.21,23.28,458,9
58,48,63,76.19,3.3589,78.13,23.28,458,9
59,46,63,73.02,-2.4286,77.22,23.87,440,9
60,46,63,73.02,-2.4286,77.22,23.87,440,9
61,46,63,73.02,-2.4286,77.22,23.87,440,9
62,46,63,73.02,-2.4286,77.22,23.87,440,9
63,46,63,73.02,-2.3988,77.46,23.87,440,9
64,46,63,73.02,-2.3763,76.68,23.85,445,9
65,46,63,73.02,-2.4295,75.96,24.06,445,9
66,46,63,73.02,-2.4295,75.96,24.06,445,9
67,45,63,71.43,0.4980,73.39,24.13,444,9
68,45,63,71.43,0.3402,70.01,24.13,444,9
69,45,63,71.43,0.3402,70.01,24.13,444,9
70,45,63,71.43,0.3402,70.01,24.13,444,9
71,45,63,71.43,-0.1416,68.57,24.95,443,9
72,45,63,71.43,-0.1416,68.57,24.95,443,9
73,45,63,71.43,-0.1146,68.88,24.82,444,9
74,45,63,71.43,-0.1052,68.79,24.82,449,9
75,45,63,71.43,-0.0678,69.62,24.62,450,9
76,45,63,71.43,1.5581,71.22,23.78,447,9
77,45,63,71.43,1.5475,71.14,23.78,448,9
78,45,63,71.43,1.5475,71.14,23.78,448,9
79,45,63,71.43,1.5475,71.14,23.78,448,9
80,43,63,68.25,0.9420,66.69,25.05,448,9
81,43,63,68.25,0.9420,66.69,25.05,448,9
82,43,63,68.25,0.9420,66.69,25.05,448,9
83,43,63,68.25,0.9420,66.69,25.05,448,9
84,45,63,71.43,1.6054,66.65,23.23,436,9
85,45,63,71.43,1.6054,66.65,23.23,436,9
86,45,63,71.43,1.5698,66.94,23.26,440,9
87,45,63,71.43,1.6978,69.22,23.25,443,9
88,45,63,71.43,1.7133,68.10,23.05,440,9
89,45,63,71.43,1.7133,68.10,23.05,440,9
90,46,63,73.02,1.9654,70.74,22.36,445,9
91,46,63,73.02,2.0444,72.40,22.36,446,9
92,45,63,71.43,2.1388,69.98,22.36,446,9
93,45,63,71.43,2.0891,69.46,22.75,447,9
94,45,63,71.43,2.0205,68.50,23.08,449,9
95,45,63,71.43,2.0205,68.50,23.08,449,9
96,46,63,73.02,2.5436,74.09,22.46,449,9
97,46,63,73.02,2.4057,70.03,22.46,457,9
98,46,63,73.02,2.0962,68.93,23.14,463,9
99,46,63,73.02,2.1779,73.14,23.14,463,9
100,46,63,73.02,2.2417,76.80,23.14,463,9
101,46,63,73.02,2.2242,76.03,23.14,463,9
102,46,63,73.02,2.2242,76.03,23.14,463,9
103,46,63,73.02,2.2242,76.03,23.14,463,9
104,45,63,71.43,1.9672,75.27,23.91,468,9
105,43,63,68.25,1.5279,70.24,24.14,462,9
106,42,63,66.67,1.3010,69.12,24.93,466,9
107,42,63,66.67,1.2893,68.55,24.93,467,9
108,42,63,66.67,1.0678,67.17,25.87,471,9
109,40,63,63.49,-0.2996,65.89,26.07,470,9
110,40,63,63.49,-0.2996,65.89,26.07,470,9
111,40,63,63.49,-0.2996,65.89,26.07,470,9
112,40,63,63.49,-0.3047,65.46,26.07,470,9
113,40,63,63.49,1.2382,64.24,26.19,470,9
114,40,63,63.49,1.2382,64.24,26.19,470,9
115,40,63,63.49,1.2382,64.24,26.19,470,9
116,40,63,63.49,1.2382,64.24,26.19,470,9
117,40,63,63.49,1.5623,64.77,25.77,462,9
118,40,63,63.49,1.5659,65.08,25.77,462,9
119,40,63,63.49,1.6375,65.16,25.70,464,9
120,37,63,58.73,1.2659,63.86,26.73,468,9
121,37,63,58.73,1.2659,63.86,26.73,468,9
122,40,63,63.49,1.9049,65.92,25.71,470,9
123,40,63,63.49,1.8805,65.44,25.87,471,9
124,40,63,63.49,1.8805,65.44,25.87,471,9
125,40,63,63.49,1.9828,65.62,25.72,475,9
126,41,63,65.08,1.8535,47.33,26.04,473,9
127,41,63,65.08,1.8535,47.33,26.04,473,9
128,42,63,66.67,2.1404,47.88,25.87,473,9
129,42,63,66.67,2.1404,47.88,25.87,473,9
130,42,63,66.67,-7358856365793778.0000,48.04,25.57,472,9
131,42,63,66.67,-7358856365793778.0000,48.04,25.57,472,9
132,42,63,66.67,-7358856365793778.0000,48.04,25.57,472,9
133,42,63,66.67,-7358856365793778.0000,48.04,25.57,472,9
134,42,63,66.67,-7358856365793778.0000,72.53,25.40,464,9
135,42,63,66.67,-7358856365793778.0000,72.53,25.40,464,9
136,42,63,66.67,-7358856365793778.0000,72.47,25.45,465,9
137,42,63,66.67,-7358856365793778.0000,72.47,25.45,465,9
138,40,63,63.49,-7358856365793778.0000,71.22,25.53,465,9
139,40,63,63.49,-7358856365793778.0000,71.22,25.53,465,9
140,40,63,63.49,-7358856365793778.0000,71.11,25.53,466,9
141,40,63,63.49,-7358856365793778.0000,71.11,25.53,466,9
142,42,63,66.67,-7358856365793778.0000,72.55,24.07,458,9
143,42,63,66.67,-7358856365793778.0000,72.55,24.07,458,9
144,42,63,66.67,-7358856365793778.0000,72.55,24.07,458,9
145,42,63,66.67,-7358856365793778.0000,72.55,24.07,458,9
146,42,63,66.67,-7358856365793778.0000,72.66,24.11,456,9
147,42,63,66.67,-7358856365793778.0000,72.66,24.11,456,9
148,42,63,66.67,-7358856365793778.0000,72.66,24.11,456,9
149,42,63,66.67,-7358856365793778.0000,72.66,24.11,456,9
150,42,63,66.67,-7358856365793778.0000,72.81,23.96,457,9
151,42,63,66.67,-8830627638952533.0000,67.60,22.43,444,9
152,42,63,66.67,-8830627638952533.0000,67.65,22.42,446,9
153,44,63,69.84,-8830627638952533.0000,68.23,22.54,451,9
154,41,63,65.08,-8830627638952533.0000,67.47,22.82,454,9
155,42,63,66.67,-8830627638952533.0000,67.96,22.61,445,9
156,44,63,69.84,-8830627638952533.0000,68.80,22.39,445,9
157,43,63,68.25,-8830627638952533.0000,67.58,22.63,461,9
158,41,63,65.08,-8830627638952533.0000,68.32,23.36,467,9
159,41,63,65.08,-3673869603107133.5000,69.36,22.43,465,9
160,42,63,66.67,-3673869603107133.5000,69.59,22.28,465,9
161,42,63,66.67,-3673869603107133.5000,69.45,22.28,466,9
162,41,63,65.08,-3673869603107133.5000,67.79,23.63,470,9
163,41,63,65.08,-10399769713155410.0000,67.05,23.81,470,9
164,41,63,65.08,-10399769713155410.0000,67.05,23.81,470,9
165,41,63,65.08,-10399769713155410.0000,67.05,23.81,470,9
166,41,63,65.08,-10399769713155410.0000,67.05,23.81,470,9
167,43,63,68.25,-10399769713155410.0000,69.45,23.65,465,9
168,43,63,68.25,-10399769713155410.0000,69.45,23.65,465,9
169,43,63,68.25,-10399769713155410.0000,69.45,23.65,465,9
170,43,63,68.25,-10399769713155410.0000,71.84,23.49,465,9
171,43,63,68.25,-10399769713155410.0000,71.46,23.49,464,9
172,43,63,68.25,-10399769713155410.0000,70.41,23.69,465,9
173,43,63,68.25,-10399769713155410.0000,70.41,23.69,465,9
174,43,63,68.25,-10399769713155410.0000,70.41,23.69,465,9
175,43,63,68.25,-10399769713155410.0000,70.41,23.69,465,9
176,43,63,68.25,-8830627638952533.0000,70.55,23.52,465,9
177,43,63,68.25,-8830627638952533.0000,70.85,23.25,465,9
178,43,63,68.25,-8830627638952533.0000,70.85,23.25,465,9
179,43,63,68.25,-8830627638952533.0000,70.82,23.48,466,9
180,43,63,68.25,-8830627638952533.0000,70.82,23.48,466,9
181,43,63,68.25,-8830627638952533.0000,70.85,23.48,466,9
182,43,63,68.25,-8830627638952533.0000,70.85,23.48,466,9
183,47,63,74.60,-8830627638952533.0000,74.07,22.22,468,9
184,47,63,74.60,-8830627638952533.0000,74.07,22.22,468,9
185,47,63,74.60,-8830627638952533.0000,74.07,22.22,468,9
186,47,63,74.60,-8830627638952533.0000,66.50,22.04,479,9
187,47,63,74.60,-8830627638952533.0000,66.26,22.04,479,9
188,47,63,74.60,-10302398912111288.0000,66.25,22.10,479,9
189,47,63,74.60,-10302398912111288.0000,66.25,22.10,479,9
190,47,63,74.60,-10302398912111288.0000,66.52,22.10,479,9
191,47,63,74.60,-10302398912111288.0000,66.52,22.10,479,9
192,47,63,74.60,-10302398912111288.0000,66.52,22.10,479,9
193,47,63,74.60,-10302398912111288.0000,66.52,22.10,479,9
194,47,63,74.60,-10302398912111288.0000,70.86,22.10,479,9
195,47,63,74.60,-10302398912111288.0000,70.86,22.10,479,9
196,47,63,74.60,-10302398912111288.0000,70.86,22.10,479,9
197,47,63,74.60,-10302398912111288.0000,70.86,22.10,479,9
198,48,63,76.19,-10302398912111288.0000,72.55,22.10,484,9
199,48,63,76.19,-10302398912111288.0000,72.55,22.10,484,9
200,48,63,76.19,-10302398912111288.0000,71.83,22.27,486,9
