strategy,threshold,regime,days,nonzero_days,trades,equity,return_pct,sharpe
prod_atr_rank_5,5.0,all_days,1794,604,154,114.186122,11318.612,1.678058
prod_atr_rank_5,5.0,bull_21d,1003,469,110,6.328408,532.841,1.799254
prod_atr_rank_5,5.0,bear_21d,791,135,44,18.043420,1704.342,1.799654
prod_atr_rank_5,5.0,chop_vol_q1,449,102,22,1.377228,37.723,1.070175
prod_atr_rank_5,5.0,trend_vol_q4,449,140,39,1.762362,76.236,1.157980
no_gate_t0,0.0,all_days,1794,762,189,206.946946,20594.695,1.747134
no_gate_t0,0.0,bull_21d,1003,587,133,12.420230,1142.023,1.883112
no_gate_t0,0.0,bear_21d,791,175,56,16.662086,1566.209,1.735110
no_gate_t0,0.0,chop_vol_q1,449,180,44,2.840729,184.073,1.711337
no_gate_t0,0.0,trend_vol_q4,449,163,40,1.328526,32.853,0.701463
