symbol,phase,old_pass,new_pass,old_ret_pct,new_ret_pct,old_sharpe,new_sharpe,old_dd,new_dd,old_trades,new_trades
BTCUSDT,P1-2020,true,true,4079513585.31,1479724546.42,0.1711,0.1711,47.05,47.05,9,10
BTCUSDT,P2-2021,true,true,32806720.39,32806720.39,0.5317,0.5317,51.26,51.26,10,10
BTCUSDT,P3-2019,true,true,7081.69,7081.69,1.0856,1.0856,33.63,33.63,10,10
ETHUSDT,P1-2020,true,true,4246830693.60,65230202931.47,0.3831,0.3783,36.73,53.08,12,13
ETHUSDT,P2-2021,true,true,79990039900792.59,929357877804174.62,0.4986,0.4986,42.40,42.06,9,8
ETHUSDT,P3-2019,true,true,3355.64,3896.81,1.2291,1.2276,35.69,26.56,10,11
SOLUSDT,P2-2021,true,true,16637972374907242496.00,31955172762542132309111341056.00,0.5584,0.5584,57.07,57.07,13,12
XRPUSDT,P1-2020,true,true,8625.73,5658.65,0.8054,0.9555,71.09,79.82,13,13
XRPUSDT,P2-2021,true,true,6041.01,44936.33,1.1325,0.8085,61.28,61.28,11,10
DOGEUSDT,P2-2021,true,true,30636.23,30636.23,1.3389,1.3389,76.93,76.93,13,13
ADAUSDT,P1-2020,true,true,862579288399.92,493740874890.48,0.6567,0.6442,57.44,75.64,11,11
ADAUSDT,P2-2021,true,true,127758285271.74,21007506001688500.00,0.8105,0.8103,53.92,53.92,12,10
LTCUSDT,P1-2020,true,true,1304197.85,1724216.13,0.4144,0.4023,60.11,60.11,12,12
LTCUSDT,P2-2021,true,true,3170192.57,84966485.24,0.8651,0.6775,31.76,23.64,10,9
LTCUSDT,P3-2019,true,true,1169092.75,18868274.87,1.1061,1.0550,19.48,19.48,10,9
EOSUSDT,P1-2020,true,true,220817.29,695652.69,1.2980,1.3217,31.75,31.75,10,10
EOSUSDT,P2-2021,true,true,27435.30,27435.30,0.9196,0.9196,68.32,68.32,12,12
BNBUSDT,P1-2020,true,true,465226714497.81,474715052210.59,0.7085,0.7084,28.51,28.51,10,10
BNBUSDT,P2-2021,true,true,16117543295.47,469765870386.71,0.4493,0.4448,39.14,34.79,10,9
BNBUSDT,P3-2019,true,true,44610936235.40,208729352221.96,0.7386,0.7381,42.65,42.65,11,11
BCHUSDT,P2-2021,true,true,202184.47,202184.47,0.8090,0.8090,58.52,58.52,8,8
