universe,window,ret,sharpe,max_dd,trades,win_rate,pass
Base5,W00,157.29,7.1806,38.42,13,53.8,true
Base5,W01,3030.25,9.2045,15.63,10,70.0,true
Base5,W02,290.75,7.9064,23.86,14,57.1,true
Base5,W03,140.35,7.9179,33.30,15,66.7,true
Base5,W04,-2.10,1.2394,38.94,12,50.0,false
Base5,W05,12.54,2.5860,31.51,13,38.5,true
NoDOGE,W00,157.29,7.1806,38.42,13,53.8,true
NoDOGE,W01,-46.27,-7.6230,51.74,10,40.0,false
NoDOGE,W02,78.21,6.0439,24.41,13,46.2,true
NoDOGE,W03,808.26,15.0368,17.18,15,80.0,true
NoDOGE,W04,8.96,2.5272,38.94,11,54.5,true
NoDOGE,W05,-11.95,0.1712,43.54,12,41.7,false
Legacy4,W00,157.23,8.5735,33.97,15,60.0,true
Legacy4,W01,44.78,4.9755,27.89,12,58.3,true
Legacy4,W02,96.21,11.2176,10.80,11,63.6,true
Legacy4,W03,65.36,5.7041,65.41,14,64.3,true
Legacy4,W04,27.23,4.4867,30.28,11,63.6,true
Legacy4,W05,-50.14,-5.2663,52.39,13,38.5,false
Legacy5BNB,W00,296.43,10.7334,33.97,16,68.8,true
Legacy5BNB,W01,77.53,7.5979,14.21,11,63.6,true
Legacy5BNB,W02,64.95,7.4396,25.02,12,58.3,true
Legacy5BNB,W03,265.68,12.2531,25.14,14,64.3,true
Legacy5BNB,W04,66.73,9.9893,10.30,9,55.6,true
Legacy5BNB,W05,-47.23,-8.4997,51.64,11,36.4,false
OldGuardNoBNB,W00,173.06,8.1507,22.46,14,57.1,true
OldGuardNoBNB,W01,-19.31,-1.8800,35.70,12,50.0,false
OldGuardNoBNB,W02,96.21,11.2176,10.80,11,63.6,true
OldGuardNoBNB,W03,65.36,5.7041,65.41,14,64.3,true
OldGuardNoBNB,W04,-2.31,0.7951,30.28,12,50.0,false
OldGuardNoBNB,W05,-46.38,-2.6122,61.85,13,46.2,false
LargeCaps5,W00,131.31,6.6156,38.42,13,53.8,true
LargeCaps5,W01,-41.23,-6.1740,51.74,10,50.0,false
LargeCaps5,W02,40.60,3.8252,36.45,15,40.0,true
LargeCaps5,W03,520.83,13.1084,20.62,15,73.3,true
LargeCaps5,W04,-8.59,0.4461,38.94,11,45.5,false
LargeCaps5,W05,-11.95,0.1712,43.54,12,41.7,false
Legacy3,W00,207.24,11.1881,18.27,14,64.3,true
Legacy3,W01,91.10,7.6116,25.70,12,75.0,true
Legacy3,W02,202.43,7.4127,21.17,14,50.0,true
Legacy3,W03,-28.76,1.5983,72.43,15,40.0,false
Legacy3,W04,-34.03,-7.1606,37.82,10,40.0,false
Legacy3,W05,-25.49,-1.4197,45.52,13,46.2,false
LowVolume5,W00,150.67,7.1566,37.06,15,60.0,true
LowVolume5,W01,-26.26,-0.7291,63.64,13,46.2,false
LowVolume5,W02,271.85,9.6611,35.98,15,53.3,true
LowVolume5,W03,302.51,8.8921,44.53,14,50.0,true
LowVolume5,W04,-76.58,-10.7759,76.58,13,30.8,false
LowVolume5,W05,3.20,1.9305,47.23,15,40.0,true
OldGuard4,W00,245.35,9.4747,22.46,14,57.1,true
OldGuard4,W01,92.76,9.5443,7.51,11,72.7,true
OldGuard4,W02,58.41,3.9760,36.75,15,40.0,true
OldGuard4,W03,-28.76,1.5983,72.43,15,40.0,false
OldGuard4,W04,-38.85,-8.1643,42.36,11,36.4,false
OldGuard4,W05,14.11,2.5922,45.52,14,50.0,true
