universe,window,return_pct,sharpe,max_dd,trades,win_rate,pass
Base5,W0,0.0000,0.0000,0.0000,0,0.0000,FAIL
Base5,W1,0.0000,0.0000,0.0000,0,0.0000,FAIL
Base5,W2,0.0000,0.0000,0.0000,0,0.0000,FAIL
Base5,W3,42.0293,4.2193,0.0000,3,1.0000,PASS
Base5,W4,47.1713,4.2193,0.0000,3,1.0000,PASS
Base5,W5,47.1713,4.2193,0.0000,3,1.0000,PASS
Base5,W6,47.1713,4.2193,0.0000,3,1.0000,PASS
Base5,W7,47.1713,4.2193,0.0000,3,1.0000,PASS
Base5,W8,0.0000,0.0000,0.0000,0,0.0000,FAIL
Base5,W9,0.0000,0.0000,0.0000,0,0.0000,FAIL
Base5,W10,7.9196,3.7468,0.0000,1,1.0000,PASS
Base5,W11,7.9196,3.7468,0.0000,1,1.0000,PASS
Base5,W12,7.9196,3.7468,0.0000,1,1.0000,PASS
Base5,W13,7.9196,3.7468,0.0000,1,1.0000,PASS
Base5,W14,7.9196,3.7468,0.0000,1,1.0000,PASS
Base5,W15,0.0000,0.0000,0.0000,0,0.0000,FAIL
Base5,W16,0.0000,0.0000,0.0000,0,0.0000,FAIL
Base5,W17,0.0000,0.0000,0.0000,0,0.0000,FAIL
Base5,W18,0.0000,0.0000,0.0000,0,0.0000,FAIL
Base5,W19,0.0000,0.0000,0.0000,0,0.0000,FAIL
Base5,W20,0.0000,0.0000,0.0000,0,0.0000,FAIL
Base5,W21,0.0000,0.0000,0.0000,0,0.0000,FAIL
Base5,W22,0.0000,0.0000,0.0000,0,0.0000,FAIL
Base5,W23,0.0000,0.0000,0.0000,0,0.0000,FAIL
Base5,W24,0.0000,0.0000,0.0000,0,0.0000,FAIL
Base5,W25,0.0000,0.0000,0.0000,0,0.0000,FAIL
Base5,W26,0.0000,0.0000,0.0000,0,0.0000,FAIL
Base5,W27,0.0000,0.0000,0.0000,0,0.0000,FAIL
NoDOGE,W0,0.0000,0.0000,0.0000,0,0.0000,FAIL
NoDOGE,W1,0.0000,0.0000,0.0000,0,0.0000,FAIL
NoDOGE,W2,0.0000,0.0000,0.0000,0,0.0000,FAIL
NoDOGE,W3,42.0293,4.2193,0.0000,3,1.0000,PASS
NoDOGE,W4,47.1713,4.2193,0.0000,3,1.0000,PASS
NoDOGE,W5,47.1713,4.2193,0.0000,3,1.0000,PASS
NoDOGE,W6,47.1713,4.2193,0.0000,3,1.0000,PASS
NoDOGE,W7,47.1713,4.2193,0.0000,3,1.0000,PASS
NoDOGE,W8,0.0000,0.0000,0.0000,0,0.0000,FAIL
NoDOGE,W9,0.0000,0.0000,0.0000,0,0.0000,FAIL
NoDOGE,W10,7.9196,3.7468,0.0000,1,1.0000,PASS
NoDOGE,W11,7.9196,3.7468,0.0000,1,1.0000,PASS
NoDOGE,W12,7.9196,3.7468,0.0000,1,1.0000,PASS
NoDOGE,W13,7.9196,3.7468,0.0000,1,1.0000,PASS
NoDOGE,W14,7.9196,3.7468,0.0000,1,1.0000,PASS
NoDOGE,W15,0.0000,0.0000,0.0000,0,0.0000,FAIL
NoDOGE,W16,0.0000,0.0000,0.0000,0,0.0000,FAIL
NoDOGE,W17,0.0000,0.0000,0.0000,0,0.0000,FAIL
NoDOGE,W18,0.0000,0.0000,0.0000,0,0.0000,FAIL
NoDOGE,W19,0.0000,0.0000,0.0000,0,0.0000,FAIL
NoDOGE,W20,0.0000,0.0000,0.0000,0,0.0000,FAIL
NoDOGE,W21,0.0000,0.0000,0.0000,0,0.0000,FAIL
NoDOGE,W22,0.0000,0.0000,0.0000,0,0.0000,FAIL
NoDOGE,W23,0.0000,0.0000,0.0000,0,0.0000,FAIL
NoDOGE,W24,0.0000,0.0000,0.0000,0,0.0000,FAIL
