size_mult,pass_count,total_windows,pass_pct,avg_sharpe,avg_return_pct,avg_dd_pct,total_trades
0.00,53,63,84.1,7.064326,69.6930,13.7355,556
0.05,53,63,84.1,7.253213,73.7744,14.0091,556
0.10,53,63,84.1,7.408714,77.9738,14.3578,556
0.15,53,63,84.1,7.529775,82.2933,14.8156,556
0.20,53,63,84.1,7.618952,86.7348,15.2734,556
0.25,54,63,85.7,7.680735,91.3001,15.7301,556
0.30,53,63,84.1,7.720091,95.9912,16.1855,556
0.35,54,63,85.7,7.741663,100.8100,16.6398,556
0.40,54,63,85.7,7.749458,105.7583,17.1448,556
0.45,54,63,85.7,7.746794,110.8381,17.6938,556
0.50,54,63,85.7,7.736339,116.0512,18.2417,556
0.55,54,63,85.7,7.720192,121.3995,18.7902,556
0.60,54,63,85.7,7.699973,126.8849,19.3710,556
0.65,54,63,85.7,7.676909,132.5090,19.9792,556
0.70,54,63,85.7,7.651917,138.2739,20.5857,556
0.75,54,63,85.7,7.625676,144.1813,21.1904,556
0.80,54,63,85.7,7.598681,150.2330,21.7934,556
0.85,54,63,85.7,7.571291,156.4307,22.3947,556
0.90,54,63,85.7,7.543762,162.7763,23.0110,556
0.95,54,63,85.7,7.516277,169.2716,23.6269,556
1.00,55,63,87.3,7.488963,175.9182,24.2410,556
