universe,window,size_mult,return_pct,sharpe,max_dd_pct,trades,pass
Base5,0,0.00,435.1401,15.387141,0.0000,7,1
Base5,0,0.05,439.5681,15.479626,0.4275,7,1
Base5,0,0.10,443.9385,15.570295,0.8551,7,1
Base5,0,0.15,448.2512,15.659082,1.2826,7,1
Base5,0,0.20,452.5062,15.745923,1.7101,7,1
Base5,0,0.25,456.7036,15.830756,2.1376,7,1
Base5,0,0.30,460.8433,15.913519,2.5652,7,1
Base5,0,0.35,464.9253,15.994153,2.9927,7,1
Base5,0,0.40,468.9497,16.072604,3.4202,7,1
Base5,0,0.45,472.9164,16.148817,3.8477,7,1
Base5,0,0.50,476.8254,16.222741,4.2753,7,1
Base5,0,0.55,480.6767,16.294328,4.7028,7,1
Base5,0,0.60,484.4704,16.363533,5.1303,7,1
Base5,0,0.65,488.2064,16.430313,5.5579,7,1
Base5,0,0.70,491.8847,16.494629,5.9854,7,1
Base5,0,0.75,495.5053,16.556446,6.4129,7,1
Base5,0,0.80,499.0683,16.615732,6.8404,7,1
Base5,0,0.85,502.5736,16.672457,7.2680,7,1
Base5,0,0.90,506.0213,16.726597,7.6955,7,1
Base5,0,0.95,509.4112,16.778129,8.1230,7,1
Base5,0,1.00,512.7435,16.827036,8.5506,7,1
Base5,1,0.00,332.4181,5.717776,42.4798,11,1
Base5,1,0.05,328.4475,5.706518,42.4798,11,1
Base5,1,0.10,324.4917,5.695256,42.7780,11,1
Base5,1,0.15,320.5507,5.683988,43.3093,11,1
Base5,1,0.20,316.6244,5.672714,43.8386,11,1
Base5,1,0.25,312.7129,5.661436,44.3658,11,1
Base5,1,0.30,308.8162,5.650152,44.8911,11,1
Base5,1,0.35,304.9341,5.638863,45.4144,11,1
Base5,1,0.40,301.0667,5.627569,45.9358,11,1
Base5,1,0.45,297.2140,5.616270,46.4551,11,1
Base5,1,0.50,293.3759,5.604966,46.9725,11,1
Base5,1,0.55,289.5524,5.593658,47.4879,11,1
Base5,1,0.60,285.7435,5.582344,48.0013,11,1
Base5,1,0.65,281.9491,5.571026,48.5128,11,1
Base5,1,0.70,278.1693,5.559703,49.0223,11,1
Base5,1,0.75,274.4041,5.548375,49.5299,11,1
Base5,1,0.80,270.6533,5.537043,50.0355,11,1
Base5,1,0.85,266.9169,5.525707,50.5392,11,1
Base5,1,0.90,263.1951,5.514366,51.0409,11,1
Base5,1,0.95,259.4876,5.503020,51.5407,11,1
Base5,1,1.00,255.7946,5.491671,52.0385,11,1
Base5,2,0.00,64.2943,12.486947,0.0000,10,1
Base5,2,0.05,67.8318,13.114169,1.9422,10,1
Base5,2,0.10,71.2562,13.529380,3.8665,10,1
Base5,2,0.15,74.5648,13.721583,5.7728,10,1
Base5,2,0.20,77.7550,13.709914,7.6611,10,1
Base5,2,0.25,80.8244,13.534115,9.5314,10,1
Base5,2,0.30,83.7704,13.241320,11.3838,10,1
Base5,2,0.35,86.5908,12.875492,13.2182,10,1
Base5,2,0.40,89.2832,12.471972,15.0347,10,1
Base5,2,0.45,91.8454,12.056310,16.8331,10,1
Base5,2,0.50,94.2752,11.645470,18.6137,10,1
Base5,2,0.55,96.5706,11.249823,20.3762,10,1
Base5,2,0.60,98.7296,10.875092,22.1208,10,1
Base5,2,0.65,100.7503,10.523914,23.8474,10,1
Base5,2,0.70,102.6307,10.196973,25.5560,10,1
Base5,2,0.75,104.3693,9.893782,27.2467,10,1
Base5,2,0.80,105.9642,9.613198,28.9194,10,1
Base5,2,0.85,107.4139,9.353742,30.5741,10,1
Base5,2,0.90,108.7169,9.113808,32.2109,10,1
Base5,2,0.95,109.8718,8.891779,33.8297,10,1
Base5,2,1.00,110.8773,8.686101,35.4305,10,1
Base5,3,0.00,108.9349,10.373229,3.9869,13,1
Base5,3,0.05,113.1757,10.659588,3.9869,13,1
Base5,3,0.10,117.1005,10.836480,4.6978,13,1
Base5,3,0.15,120.6953,10.903633,7.0466,13,1
Base5,3,0.20,123.9465,10.869935,9.3955,13,1
Base5,3,0.25,126.8411,10.750853,11.7444,13,1
Base5,3,0.30,129.3664,10.565064,14.0933,13,1
Base5,3,0.35,131.5102,10.331401,16.4421,13,1
Base5,3,0.40,133.2611,10.066755,18.7910,13,1
Base5,3,0.45,134.6077,9.785036,21.1399,13,1
Base5,3,0.50,135.5394,9.496954,23.4888,13,1
Base5,3,0.55,136.0462,9.210291,25.8377,13,1
Base5,3,0.60,136.1182,8.930396,28.1865,13,1
Base5,3,0.65,135.7464,8.660727,30.5354,13,1
Base5,3,0.70,134.9222,8.403331,32.8843,13,1
Base5,3,0.75,133.6372,8.159253,35.2332,13,1
Base5,3,0.80,131.8839,7.928837,37.5821,13,1
Base5,3,0.85,129.6552,7.711966,39.9309,13,1
Base5,3,0.90,126.9443,7.508226,42.2798,13,1
