slippage_bps,universe,window,return_pct,sharpe,max_dd_pct,trades,win_rate_pct,pass
0,Base5,0,147.71,6.4299,45.40,16,50.00,1
5,Base5,0,143.77,6.3473,45.67,16,50.00,1
10,Base5,0,139.91,6.2647,45.94,16,50.00,1
15,Base5,0,136.10,6.1823,46.21,16,50.00,1
20,Base5,0,132.35,6.0999,46.48,16,50.00,1
25,Base5,0,128.66,6.0177,46.75,16,50.00,1
30,Base5,0,125.03,5.9356,47.01,16,50.00,1
35,Base5,0,121.46,5.8536,47.28,16,50.00,1
40,Base5,0,117.95,5.7717,47.54,16,50.00,1
45,Base5,0,114.49,5.6899,47.80,16,50.00,1
50,Base5,0,111.08,5.6083,48.06,16,50.00,1
55,Base5,0,107.73,5.5267,48.32,16,50.00,1
60,Base5,0,104.43,5.4453,48.58,16,50.00,1
65,Base5,0,101.19,5.3640,48.84,16,50.00,1
70,Base5,0,97.99,5.2828,49.09,16,50.00,1
75,Base5,0,94.85,5.2017,49.35,16,50.00,1
80,Base5,0,91.76,5.1208,49.60,16,50.00,1
85,Base5,0,88.71,5.0399,49.85,16,50.00,1
90,Base5,0,85.72,4.9592,50.10,16,50.00,1
95,Base5,0,82.77,4.8785,50.35,16,50.00,1
100,Base5,0,79.87,4.7980,50.60,16,50.00,1
0,Base5,1,967.02,7.5633,16.26,11,81.82,1
5,Base5,1,955.35,7.5496,16.34,11,81.82,1
10,Base5,1,943.80,7.5360,16.43,11,81.82,1
15,Base5,1,932.38,7.5223,16.51,11,81.82,1
20,Base5,1,921.09,7.5086,16.59,11,81.82,1
25,Base5,1,909.92,7.4949,16.68,11,81.82,1
30,Base5,1,898.87,7.4812,16.76,11,81.82,1
35,Base5,1,887.94,7.4674,16.84,11,81.82,1
40,Base5,1,877.13,7.4536,16.93,11,81.82,1
45,Base5,1,866.44,7.4399,17.01,11,81.82,1
50,Base5,1,855.87,7.4261,17.09,11,81.82,1
55,Base5,1,845.41,7.4122,17.17,11,81.82,1
60,Base5,1,835.07,7.3984,17.26,11,81.82,1
65,Base5,1,824.84,7.3845,17.34,11,81.82,1
70,Base5,1,814.72,7.3707,17.42,11,81.82,1
75,Base5,1,804.72,7.3568,17.51,11,81.82,1
80,Base5,1,794.82,7.3429,17.59,11,81.82,1
85,Base5,1,785.03,7.3289,17.67,11,81.82,1
90,Base5,1,775.35,7.3150,17.75,11,81.82,1
95,Base5,1,765.77,7.3010,17.83,11,81.82,1
100,Base5,1,756.30,7.2870,17.92,11,81.82,1
0,Base5,2,555.12,10.9550,14.03,14,71.43,1
5,Base5,2,546.01,10.8882,14.12,14,71.43,1
10,Base5,2,537.03,10.8214,14.21,14,71.43,1
15,Base5,2,528.17,10.7546,14.29,14,71.43,1
20,Base5,2,519.44,10.6877,14.38,14,71.43,1
25,Base5,2,510.83,10.6209,14.46,14,71.43,1
30,Base5,2,502.33,10.5540,14.55,14,71.43,1
35,Base5,2,493.96,10.4872,14.63,14,71.43,1
40,Base5,2,485.70,10.4203,14.72,14,71.43,1
45,Base5,2,477.56,10.3534,14.80,14,71.43,1
50,Base5,2,469.53,10.2866,14.89,14,71.43,1
55,Base5,2,461.61,10.2197,14.97,14,71.43,1
60,Base5,2,453.80,10.1528,15.06,14,71.43,1
65,Base5,2,446.10,10.0859,15.14,14,71.43,1
70,Base5,2,438.51,10.0190,15.23,14,71.43,1
75,Base5,2,431.03,9.9522,15.64,14,71.43,1
80,Base5,2,423.64,9.8853,16.15,14,71.43,1
85,Base5,2,416.36,9.8184,16.65,14,71.43,1
90,Base5,2,409.18,9.7515,17.15,14,71.43,1
95,Base5,2,402.10,9.6846,17.64,14,71.43,1
100,Base5,2,395.12,9.6177,18.13,14,71.43,1
0,Base5,3,398.05,10.2787,24.13,16,62.50,1
5,Base5,3,390.14,10.1986,24.21,16,62.50,1
10,Base5,3,382.36,10.1184,24.29,16,62.50,1
15,Base5,3,374.70,10.0382,24.36,16,62.50,1
20,Base5,3,367.17,9.9579,24.44,16,62.50,1
25,Base5,3,359.75,9.8775,24.51,16,62.50,1
30,Base5,3,352.46,9.7972,24.59,16,62.50,1
35,Base5,3,345.27,9.7167,24.66,16,62.50,1
40,Base5,3,338.21,9.6362,24.74,16,62.50,1
45,Base5,3,331.25,9.5557,24.81,16,62.50,1
50,Base5,3,324.41,9.4751,24.89,16,62.50,1
55,Base5,3,317.67,9.3945,24.96,16,62.50,1
60,Base5,3,311.04,9.3138,25.04,16,62.50,1
65,Base5,3,304.51,9.2331,25.11,16,62.50,1
70,Base5,3,298.09,9.1523,25.19,16,62.50,1
75,Base5,3,291.77,9.0715,25.26,16,62.50,1
80,Base5,3,285.56,8.9906,25.34,16,62.50,1
85,Base5,3,279.44,8.9097,25.41,16,62.50,1
90,Base5,3,273.41,8.8287,25.49,16,62.50,1
95,Base5,3,267.48,8.7477,25.56,16,62.50,1
100,Base5,3,261.65,8.6666,25.64,16,62.50,1
0,Base5,4,-14.71,-0.4832,34.17,13,30.77,0
5,Base5,4,-15.81,-0.6245,34.43,13,30.77,0
10,Base5,4,-16.90,-0.7655,34.69,13,30.77,0
15,Base5,4,-17.97,-0.9063,34.95,13,30.77,0
20,Base5,4,-19.03,-1.0469,35.34,13,30.77,0
25,Base5,4,-20.08,-1.1872,36.11,13,30.77,0
30,Base5,4,-21.11,-1.3272,36.87,13,30.77,0
35,Base5,4,-22.13,-1.4670,37.63,13,30.77,0
40,Base5,4,-23.13,-1.6065,38.37,13,30.77,0
45,Base5,4,-24.13,-1.7457,39.11,13,30.77,0
50,Base5,4,-25.11,-1.8848,39.83,13,30.77,0
55,Base5,4,-26.07,-2.0235,40.55,13,30.77,0
60,Base5,4,-27.03,-2.1620,41.26,13,30.77,0
65,Base5,4,-27.97,-2.3002,41.96,13,30.77,0
70,Base5,4,-28.90,-2.4382,42.65,13,30.77,0
75,Base5,4,-29.82,-2.5759,43.34,13,30.77,0
80,Base5,4,-30.73,-2.7134,44.01,13,30.77,0
85,Base5,4,-31.62,-2.8506,44.68,13,30.77,0
90,Base5,4,-32.50,-2.9876,45.34,13,30.77,0
95,Base5,4,-33.38,-3.1243,45.99,13,30.77,0
100,Base5,4,-34.24,-3.2608,46.64,13,30.77,0
0,Base5,5,64.49,5.1524,20.90,12,41.67,1
5,Base5,5,62.53,5.0721,21.37,12,41.67,1
10,Base5,5,60.59,4.9917,21.84,12,41.67,1
15,Base5,5,58.68,4.9114,22.31,12,41.67,1
20,Base5,5,56.78,4.8311,22.78,12,41.67,1
25,Base5,5,54.91,4.7508,23.24,12,41.67,1
30,Base5,5,53.07,4.6705,23.70,12,41.67,1
35,Base5,5,51.24,4.5902,24.15,12,41.67,1
40,Base5,5,49.44,4.5099,24.61,12,41.67,1
45,Base5,5,47.65,4.4296,25.06,12,41.67,1
50,Base5,5,45.89,4.3494,25.51,12,41.67,1
55,Base5,5,44.15,4.2691,25.95,12,41.67,1
60,Base5,5,42.43,4.1889,26.40,12,41.67,1
65,Base5,5,40.73,4.1086,26.84,12,41.67,1
70,Base5,5,39.06,4.0284,27.27,12,41.67,1
75,Base5,5,37.40,3.9482,27.71,12,41.67,1
80,Base5,5,35.76,3.8680,28.14,12,41.67,1
85,Base5,5,34.14,3.7878,28.57,12,41.67,1
90,Base5,5,32.54,3.7076,29.00,12,41.67,1
95,Base5,5,30.96,3.6274,29.42,12,41.67,1
100,Base5,5,29.39,3.5473,29.85,12,41.67,1
0,Base5,6,151.70,6.7165,14.31,15,53.33,1
5,Base5,6,147.96,6.6330,14.57,15,53.33,1
10,Base5,6,144.27,6.5496,14.82,15,53.33,1
15,Base5,6,140.63,6.4662,15.08,15,53.33,1
20,Base5,6,137.05,6.3828,15.33,15,53.33,1
25,Base5,6,133.52,6.2995,15.58,15,53.33,1
30,Base5,6,130.04,6.2162,15.84,15,53.33,1
35,Base5,6,126.62,6.1330,16.11,15,46.67,1
40,Base5,6,123.24,6.0498,16.44,15,46.67,1
45,Base5,6,119.92,5.9667,16.78,15,46.67,1
50,Base5,6,116.64,5.8836,17.11,15,46.67,1
55,Base5,6,113.42,5.8006,17.44,15,46.67,1
60,Base5,6,110.24,5.7176,17.77,15,46.67,1
65,Base5,6,107.11,5.6346,18.10,15,46.67,1
70,Base5,6,104.03,5.5517,18.42,15,46.67,1
75,Base5,6,100.99,5.4689,18.75,15,46.67,1
80,Base5,6,98.00,5.3861,19.07,15,46.67,1
85,Base5,6,95.05,5.3034,19.40,15,46.67,1
90,Base5,6,92.14,5.2207,19.72,15,46.67,1
95,Base5,6,89.28,5.1381,20.04,15,46.67,1
100,Base5,6,86.47,5.0556,20.36,15,46.67,1
0,NoDOGE,0,147.71,6.4299,45.40,16,50.00,1
5,NoDOGE,0,143.77,6.3473,45.67,16,50.00,1
10,NoDOGE,0,139.91,6.2647,45.94,16,50.00,1
15,NoDOGE,0,136.10,6.1823,46.21,16,50.00,1
20,NoDOGE,0,132.35,6.0999,46.48,16,50.00,1
25,NoDOGE,0,128.66,6.0177,46.75,16,50.00,1
30,NoDOGE,0,125.03,5.9356,47.01,16,50.00,1
35,NoDOGE,0,121.46,5.8536,47.28,16,50.00,1
40,NoDOGE,0,117.95,5.7717,47.54,16,50.00,1
45,NoDOGE,0,114.49,5.6899,47.80,16,50.00,1
50,NoDOGE,0,111.08,5.6083,48.06,16,50.00,1
55,NoDOGE,0,107.73,5.5267,48.32,16,50.00,1
60,NoDOGE,0,104.43,5.4453,48.58,16,50.00,1
65,NoDOGE,0,101.19,5.3640,48.84,16,50.00,1
70,NoDOGE,0,97.99,5.2828,49.09,16,50.00,1
75,NoDOGE,0,94.85,5.2017,49.35,16,50.00,1
80,NoDOGE,0,91.76,5.1208,49.60,16,50.00,1
85,NoDOGE,0,88.71,5.0399,49.85,16,50.00,1
90,NoDOGE,0,85.72,4.9592,50.10,16,50.00,1
95,NoDOGE,0,82.77,4.8785,50.35,16,50.00,1
100,NoDOGE,0,79.87,4.7980,50.60,16,50.00,1
0,NoDOGE,1,-1.53,0.4747,15.34,9,55.56,0
5,NoDOGE,1,-2.42,0.2702,15.49,9,55.56,0
10,NoDOGE,1,-3.29,0.0661,15.75,9,55.56,0
15,NoDOGE,1,-4.16,-0.1374,16.00,9,55.56,0
20,NoDOGE,1,-5.02,-0.3405,16.25,9,55.56,0
25,NoDOGE,1,-5.87,-0.5432,16.50,9,55.56,0
30,NoDOGE,1,-6.71,-0.7453,16.75,9,55.56,0
35,NoDOGE,1,-7.55,-0.9470,17.13,9,55.56,0
40,NoDOGE,1,-8.37,-1.1483,17.55,9,55.56,0
45,NoDOGE,1,-9.20,-1.3490,17.96,9,55.56,0
50,NoDOGE,1,-10.01,-1.5493,18.37,9,55.56,0
55,NoDOGE,1,-10.82,-1.7491,18.78,9,55.56,0
60,NoDOGE,1,-11.61,-1.9485,19.18,9,55.56,0
65,NoDOGE,1,-12.41,-2.1474,19.58,9,55.56,0
70,NoDOGE,1,-13.19,-2.3458,19.98,9,55.56,0
75,NoDOGE,1,-13.97,-2.5438,20.38,9,55.56,0
80,NoDOGE,1,-14.74,-2.7413,20.78,9,55.56,0
85,NoDOGE,1,-15.50,-2.9384,21.18,9,55.56,0
90,NoDOGE,1,-16.26,-3.1350,21.57,9,55.56,0
95,NoDOGE,1,-17.01,-3.3311,21.96,9,55.56,0
100,NoDOGE,1,-17.76,-3.5268,22.35,9,55.56,0
0,NoDOGE,2,586.39,11.4647,17.16,13,69.23,1
5,NoDOGE,2,577.52,11.4022,17.32,13,69.23,1
10,NoDOGE,2,568.77,11.3397,17.49,13,69.23,1
15,NoDOGE,2,560.14,11.2772,17.65,13,69.23,1
20,NoDOGE,2,551.61,11.2147,17.82,13,69.23,1
25,NoDOGE,2,543.19,11.1522,17.98,13,69.23,1
30,NoDOGE,2,534.89,11.0897,18.14,13,69.23,1
35,NoDOGE,2,526.69,11.0272,18.31,13,69.23,1
40,NoDOGE,2,518.59,10.9647,18.59,13,69.23,1
45,NoDOGE,2,510.60,10.9021,18.99,13,69.23,1
50,NoDOGE,2,502.71,10.8396,19.40,13,69.23,1
55,NoDOGE,2,494.93,10.7771,19.80,13,69.23,1
60,NoDOGE,2,487.25,10.7145,20.20,13,69.23,1
65,NoDOGE,2,479.66,10.6519,20.60,13,69.23,1
70,NoDOGE,2,472.17,10.5894,20.99,13,69.23,1
75,NoDOGE,2,464.78,10.5268,21.39,13,69.23,1
80,NoDOGE,2,457.49,10.4642,21.78,13,69.23,1
85,NoDOGE,2,450.29,10.4016,22.17,13,69.23,1
90,NoDOGE,2,443.18,10.3390,22.56,13,69.23,1
95,NoDOGE,2,436.16,10.2765,22.94,13,69.23,1
100,NoDOGE,2,429.24,10.2139,23.33,13,69.23,1
0,NoDOGE,3,264.88,7.6004,52.28,18,61.11,1
5,NoDOGE,3,258.37,7.5248,52.42,18,61.11,1
10,NoDOGE,3,251.97,7.4492,52.57,18,61.11,1
15,NoDOGE,3,245.69,7.3736,52.71,18,61.11,1
20,NoDOGE,3,239.53,7.2980,52.85,18,61.11,1
25,NoDOGE,3,233.47,7.2223,52.99,18,61.11,1
30,NoDOGE,3,227.52,7.1467,53.13,18,61.11,1
35,NoDOGE,3,221.68,7.0710,53.27,18,61.11,1
40,NoDOGE,3,215.94,6.9954,53.41,18,61.11,1
45,NoDOGE,3,210.30,6.9197,53.55,18,61.11,1
50,NoDOGE,3,204.77,6.8440,53.69,18,61.11,1
55,NoDOGE,3,199.33,6.7683,53.83,18,61.11,1
60,NoDOGE,3,193.99,6.6927,53.97,18,61.11,1
65,NoDOGE,3,188.75,6.6169,54.11,18,61.11,1
70,NoDOGE,3,183.60,6.5412,54.24,18,61.11,1
75,NoDOGE,3,178.54,6.4655,54.38,18,61.11,1
80,NoDOGE,3,173.57,6.3898,54.52,18,61.11,1
85,NoDOGE,3,168.69,6.3140,54.65,18,61.11,1
90,NoDOGE,3,163.89,6.2383,54.79,18,61.11,1
95,NoDOGE,3,159.19,6.1625,54.93,18,61.11,1
100,NoDOGE,3,154.56,6.0867,55.06,18,61.11,1
0,NoDOGE,4,-4.93,0.6815,34.17,12,33.33,0
5,NoDOGE,4,-6.07,0.5413,34.43,12,33.33,0
10,NoDOGE,4,-7.19,0.4012,34.69,12,33.33,0
15,NoDOGE,4,-8.29,0.2614,34.95,12,33.33,0
20,NoDOGE,4,-9.39,0.1219,35.21,12,33.33,0
25,NoDOGE,4,-10.47,-0.0174,35.47,12,33.33,0
30,NoDOGE,4,-11.54,-0.1565,35.73,12,33.33,0
35,NoDOGE,4,-12.59,-0.2953,35.99,12,33.33,0
40,NoDOGE,4,-13.63,-0.4338,36.24,12,33.33,0
45,NoDOGE,4,-14.66,-0.5721,36.50,12,33.33,0
50,NoDOGE,4,-15.68,-0.7102,36.75,12,33.33,0
55,NoDOGE,4,-16.69,-0.8480,37.00,12,33.33,0
60,NoDOGE,4,-17.68,-0.9855,37.25,12,33.33,0
65,NoDOGE,4,-18.66,-1.1228,37.50,12,33.33,0
70,NoDOGE,4,-19.63,-1.2599,37.75,12,33.33,0
75,NoDOGE,4,-20.59,-1.3967,38.00,12,33.33,0
80,NoDOGE,4,-21.54,-1.5333,38.25,12,33.33,0
85,NoDOGE,4,-22.48,-1.6696,38.50,12,33.33,0
90,NoDOGE,4,-23.40,-1.8057,38.74,12,33.33,0
95,NoDOGE,4,-24.32,-1.9415,38.99,12,33.33,0
100,NoDOGE,4,-25.22,-2.0771,39.32,12,33.33,0
0,NoDOGE,5,4.78,1.6717,23.37,11,54.55,1
5,NoDOGE,5,3.64,1.5048,23.68,11,54.55,1
10,NoDOGE,5,2.50,1.3382,23.98,11,54.55,1
15,NoDOGE,5,1.38,1.1722,24.28,11,54.55,1
20,NoDOGE,5,0.27,1.0066,24.59,11,54.55,1
25,NoDOGE,5,-0.83,0.8415,24.89,11,54.55,0
30,NoDOGE,5,-1.91,0.6768,25.19,11,54.55,0
35,NoDOGE,5,-2.98,0.5127,25.49,11,54.55,0
40,NoDOGE,5,-4.05,0.3490,25.78,11,54.55,0
45,NoDOGE,5,-5.10,0.1858,26.08,11,54.55,0
50,NoDOGE,5,-6.13,0.0231,26.38,11,54.55,0
55,NoDOGE,5,-7.16,-0.1392,26.67,11,54.55,0
60,NoDOGE,5,-8.18,-0.3009,26.96,11,54.55,0
65,NoDOGE,5,-9.18,-0.4622,27.25,11,54.55,0
70,NoDOGE,5,-10.17,-0.6230,27.54,11,54.55,0
75,NoDOGE,5,-11.16,-0.7832,27.83,11,54.55,0
80,NoDOGE,5,-12.13,-0.9430,28.12,11,54.55,0
85,NoDOGE,5,-13.09,-1.1023,28.41,11,54.55,0
90,NoDOGE,5,-14.04,-1.2611,28.91,11,54.55,0
95,NoDOGE,5,-14.98,-1.4194,29.48,11,54.55,0
100,NoDOGE,5,-15.91,-1.5772,30.04,11,54.55,0
0,NoDOGE,6,22.99,3.1471,14.73,15,46.67,1
5,NoDOGE,6,21.16,2.9887,15.08,15,46.67,1
10,NoDOGE,6,19.36,2.8311,15.41,15,46.67,1
15,NoDOGE,6,17.58,2.6743,15.75,15,46.67,1
20,NoDOGE,6,15.83,2.5181,16.09,15,46.67,1
25,NoDOGE,6,14.11,2.3627,16.42,15,46.67,1
30,NoDOGE,6,12.41,2.2080,16.76,15,46.67,1
35,NoDOGE,6,10.74,2.0540,17.34,15,40.00,1
40,NoDOGE,6,9.09,1.9007,18.16,15,40.00,1
45,NoDOGE,6,7.46,1.7481,18.97,15,40.00,1
50,NoDOGE,6,5.86,1.5963,19.78,15,40.00,1
55,NoDOGE,6,4.29,1.4451,20.58,15,40.00,1
60,NoDOGE,6,2.73,1.2947,21.37,15,40.00,1
65,NoDOGE,6,1.20,1.1450,22.15,15,40.00,1
70,NoDOGE,6,-0.30,0.9960,22.92,15,40.00,0
75,NoDOGE,6,-1.79,0.8477,23.81,15,40.00,0
80,NoDOGE,6,-3.25,0.7001,24.71,15,40.00,0
85,NoDOGE,6,-4.69,0.5533,25.61,15,40.00,0
90,NoDOGE,6,-6.11,0.4071,26.50,15,40.00,0
95,NoDOGE,6,-7.51,0.2616,27.38,15,40.00,0
100,NoDOGE,6,-8.88,0.1169,28.24,15,40.00,0
0,Legacy4,0,25.03,3.1583,33.44,16,43.75,1
5,Legacy4,0,23.05,3.0216,33.84,16,43.75,1
10,Legacy4,0,21.10,2.8853,34.23,16,43.75,1
15,Legacy4,0,19.17,2.7493,34.63,16,43.75,1
20,Legacy4,0,17.28,2.6137,35.02,16,43.75,1
25,Legacy4,0,15.42,2.4784,35.41,16,43.75,1
30,Legacy4,0,13.59,2.3435,35.79,16,43.75,1
35,Legacy4,0,11.79,2.2088,36.18,16,43.75,1
