slip_bps,bar,equity_mean,equity_min,equity_max
0,0,1.000000,1.000000,1.000000
0,1,0.993531,0.888733,1.036712
0,2,1.010289,0.763764,1.307108
0,3,0.986122,0.763764,1.108252
0,4,0.990136,0.763764,1.156726
0,5,1.019608,0.763764,1.394578
0,6,1.034245,0.763764,1.775523
0,7,1.043489,0.681026,2.053403
0,8,1.088195,0.681026,3.060398
0,9,1.113905,0.681026,2.981362
0,10,1.111658,0.681026,3.266854
0,11,1.124397,0.681026,3.490481
0,12,1.116562,0.681026,3.237611
0,13,1.131111,0.681026,1.952445
0,14,1.125900,0.681026,1.952445
0,15,1.111545,0.644164,2.964047
0,16,1.138446,0.522840,2.248699
0,17,1.147791,0.726687,2.248699
0,18,1.168210,0.726687,2.646780
0,19,1.169296,0.716721,2.701650
0,20,1.158959,0.716721,2.701650
0,21,1.215079,0.699814,3.337756
0,22,1.210433,0.699814,2.961841
0,23,1.212740,0.551700,2.961841
0,24,1.220953,0.551700,2.961841
0,25,1.234604,0.641744,3.102199
0,26,1.232003,0.641744,3.478367
0,27,1.253222,0.641744,4.160162
0,28,1.232284,0.641744,3.478367
0,29,1.242007,0.641744,3.478367
0,30,1.302173,0.589615,5.262485
0,31,1.290479,0.589615,5.262485
0,32,1.271909,0.589615,4.614712
0,33,1.258188,0.589615,3.897553
0,34,1.268577,0.589615,3.897553
0,35,1.276592,0.589615,3.897553
0,36,1.289719,0.589615,4.984200
0,37,1.319985,0.589615,5.588576
0,38,1.356823,0.570841,5.588576
0,39,1.360065,0.570841,5.588576
0,40,1.353584,0.456638,5.588576
0,41,1.312888,0.456638,5.095067
0,42,1.331981,0.456638,5.095067
0,43,1.343909,0.385653,5.320060
0,44,1.357427,0.385653,5.320060
0,45,1.360907,0.385653,5.320060
0,46,1.398748,0.385653,5.320060
0,47,1.442346,0.289848,5.320060
0,48,1.450193,0.289848,5.972994
0,49,1.433154,0.289848,5.320060
0,50,1.436353,0.289848,5.320060
0,51,1.446193,0.289848,5.320060
0,52,1.454861,0.289848,5.320060
0,53,1.417489,0.289848,5.320060
0,54,1.404766,0.289848,5.320060
0,55,1.419700,0.289848,5.320060
0,56,1.436069,0.289848,5.320060
0,57,1.414734,0.289848,5.320060
0,58,1.416069,0.289848,5.320060
0,59,1.448516,0.266603,5.320060
0,60,1.475792,0.266603,5.320060
0,61,1.487746,0.266603,4.980451
0,62,1.443668,0.266603,4.233434
0,63,1.469853,0.266603,4.233434
0,64,1.511582,0.266603,5.383224
0,65,1.515018,0.266603,5.362885
0,66,1.550678,0.266603,5.362885
0,67,1.548408,0.266603,5.362885
0,68,1.545482,0.266603,5.362885
0,69,1.549226,0.266603,5.362885
0,70,1.561118,0.266603,5.362885
0,71,1.552045,0.253009,5.362885
0,72,1.634300,0.253009,5.362885
0,73,1.644333,0.253009,5.362885
0,74,1.697441,0.253009,5.362885
0,75,1.736001,0.276209,5.362885
0,76,1.734223,0.341744,5.362885
0,77,1.757297,0.361902,5.362885
0,78,1.830950,0.361902,5.362885
0,79,1.814099,0.361902,5.362885
0,80,1.883580,0.361902,5.362885
0,81,1.860383,0.361902,5.362885
0,82,1.870371,0.361902,5.020542
0,83,1.659827,0.361902,4.546672
0,84,1.647759,0.347811,4.546672
0,85,1.663964,0.553298,4.546672
0,86,1.677952,0.553298,4.546672
0,87,1.851034,0.553298,8.301015
0,88,1.852202,0.553298,8.301015
0,89,1.847126,0.553298,8.301015
0,90,1.848487,0.553298,8.301015
0,91,1.818589,0.553298,8.301015
0,92,1.844921,0.553298,8.301015
0,93,1.809105,0.553298,8.301015
0,94,1.808103,0.553298,8.301015
0,95,1.858933,0.553298,8.301015
0,96,1.872531,0.497039,8.301015
0,97,1.732057,0.497039,8.301015
0,98,1.718394,0.497039,8.301015
0,99,1.744015,0.497039,8.301015
0,100,1.731716,0.497039,8.301015
0,101,1.821778,0.497039,9.640958
0,102,1.831596,0.497039,9.640958
0,103,1.851735,0.497039,9.640958
0,104,1.799099,0.497039,9.640958
0,105,1.802216,0.497039,9.640958
0,106,1.845205,0.497039,9.640958
0,107,1.877646,0.497039,9.640958
0,108,2.021240,0.443455,9.640958
0,109,2.103453,0.443455,9.640958
0,110,1.721713,0.443455,9.640958
0,111,1.721713,0.443455,9.640958
0,112,1.721713,0.443455,9.640958
0,113,1.712177,0.391436,9.640958
0,114,1.775420,0.837394,9.640958
0,115,1.829488,0.848088,9.640958
0,116,1.871396,0.848088,9.640958
0,117,1.922109,0.848088,9.640958
