rank,symbol,entry_date,exit_date,bars_held,exit_reason,trade_return_pct,account_equity_mult,log_contribution,position_size,hedge_active,btc_regime_label,btc_21d_return_pct,btc_sma50_over_sma200_pct,btc_atr_percentile
1,SOLUSDT,2023-01-11,2023-01-14,3,TURTLE_ATR,48.05,1.1601592452,0.1485572760,0.333333,false,early_rebound_in_bear,6.65,-13.48,14.63
2,DOGEUSDT,2022-10-28,2022-10-29,1,TURTLE_ATR,45.06,1.1502032151,0.1399386355,0.333333,false,early_rebound_in_bear,5.44,-20.88,21.95
3,XRPUSDT,2021-07-28,2021-08-11,14,TURTLE_ATR,37.80,1.1260142501,0.1186841851,0.333333,false,early_rebound_in_bear,18.18,-22.45,12.20
4,SOLUSDT,2021-07-30,2021-08-14,15,HOLD_MAX,36.32,1.1210638779,0.1142781254,0.333333,false,early_rebound_in_bear,24.81,-22.16,19.51
5,SOLUSDT,2021-08-27,2021-08-30,3,TURTLE_ATR,25.21,1.0840412036,0.0806959130,0.333333,false,early_rebound_in_bear,14.55,-12.25,9.76
6,BTCUSDT,2021-10-04,2021-10-15,11,TURTLE_ATR,25.19,1.0839558280,0.0806171531,0.333333,false,bull_continuation,9.53,3.66,56.10
7,ADAUSDT,2021-08-04,2021-08-10,6,TURTLE_ATR,21.81,1.0726863147,0.0701660767,0.333333,false,early_rebound_in_bear,21.03,-22.03,53.66
8,ETHUSDT,2021-07-28,2021-08-04,7,TURTLE_ATR,18.33,1.0610921882,0.0592987439,0.333333,false,early_rebound_in_bear,18.18,-22.45,12.20
9,DOGEUSDT,2022-04-03,2022-04-05,2,TURTLE_ATR,17.71,1.0590311397,0.0573544710,0.333333,false,early_rebound_in_bear,22.84,-13.80,9.76
10,XRPUSDT,2025-07-14,2025-07-17,3,TURTLE_ATR,17.59,1.0586410648,0.0569860713,0.333333,false,bull_continuation,13.77,10.82,12.20
